path	task	dataset	model	fp_type	fp_types	search_strategy	n_iter	inner_k	scoring	fixed
configs/hi/drd2/decision_tree/dt_ecfp4_drd2_hi.yaml	hi	drd2	dt	ecfp4	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/drd2/decision_tree/dt_maccs_drd2_hi.yaml	hi	drd2	dt	maccs	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/drd2/dummy/dummy_drd2_hi.yaml	hi	drd2	dummy	ecfp4	None	grid	None	2	average_precision	{'strategy': 'most_frequent'}
configs/hi/drd2/gradient_boosting/gb_drd2_hi.yaml	hi	drd2	gb	None	['maccs']	random	80	2	average_precision	{'random_state': 42}
configs/hi/drd2/knn/knn_drd2_hi.yaml	hi	drd2	knn	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'algorithm': 'auto'}
configs/hi/drd2/lr/lr_drd2_hi.yaml	hi	drd2	lr	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'max_iter': 15000, 'random_state': 42, 'solver': 'saga', 'penalty': 'elasticnet'}
configs/hi/drd2/lr/lr_drd2_hi_rdkit_topo.yaml	hi	drd2	lr	rdkit_topo	None	grid	None	2	average_precision	{'max_iter': 15000, 'random_state': 42, 'solver': 'saga', 'penalty': 'elasticnet'}
configs/hi/drd2/random_forest/rf_drd2_hi.yaml	hi	drd2	rf	None	['ecfp4', 'maccs', 'rdkit_desc']	random	100	2	average_precision	{'random_state': 42}
configs/hi/drd2/svm/svm_linear_drd2_hi.yaml	hi	drd2	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'linear', 'probability': False}
configs/hi/drd2/svm/svm_poly_drd2_hi.yaml	hi	drd2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'poly', 'probability': False}
configs/hi/drd2/svm/svm_rbf_drd2_hi.yaml	hi	drd2	svm	None	['ecfp4', 'maccs', 'rdkit_desc']	grid	None	2	average_precision	{'kernel': 'rbf', 'probability': False}
configs/hi/drd2/svm/svm_tanimoto_drd2_hi.yaml	hi	drd2	svm	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'kernel': 'tanimoto', 'probability': False}
configs/hi/drd2/svm/svm_tanimoto_ecfp4_drd2_hi_finetune.yaml	hi	drd2	svm	None	['ecfp4']	grid	None	2	average_precision	{'kernel': 'tanimoto', 'probability': False}
configs/hi/drd2/xgboost/xgb_drd2_hi.yaml	hi	drd2	xgb	None	['ecfp4', 'maccs', 'rdkit_desc']	random	60	2	average_precision	{'random_state': 42, 'n_jobs': -1}
configs/hi/hiv/decision_tree/dt_ecfp4_hiv_hi.yaml	hi	hiv	dt	ecfp4	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/hiv/decision_tree/dt_maccs_hiv_hi.yaml	hi	hiv	dt	maccs	None	grid	None	2	average_precision	{'random_state': 42}
configs/hi/hiv/dummy/dummy_hiv_hi.yaml	hi	hiv	dummy	ecfp4	None	grid	None	2	average_precision	{'strategy': 'most_frequent'}
configs/hi/hiv/gradient_boosting/gb_hiv_hi.yaml	hi	hiv	gb	None	['maccs']	random	50	2	average_precision	{'random_state': 42}
configs/hi/hiv/knn/knn_hiv_hi.yaml	hi	hiv	knn	None	['ecfp4', 'maccs']	grid	None	2	average_precision	{'algorithm': 'auto'}
