,smiles,value,preds
383,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,True,0.8514389884777781
386,CC(C)Oc1ccccc1N1CCN(Cc2cccc(CN3CCCCC3=O)c2)CC1,True,0.8667381508024418
389,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,True,0.86574590091543
2695,COc1ccccc1N1CCN(CC2COCC(c3ccccc3)(c3ccccc3)O2)CC1,True,0.6246816663163903
2995,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,False,0.27303525282022995
4155,N#C/N=C(\NCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccncc1,False,0.18399392308878693
1298,CCOc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1,False,0.16561228204672834
50,C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.1722415842668947
56,C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,False,0.12682702197428647
3190,C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.15988598555417938
4152,Ic1cccn1C1CCN(Cc2ccccc2)CC1,False,0.19211692593114005
4161,N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.11196555070678851
4162,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,0.13132251852127286
5498,O=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.207763610520002
5499,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,0.212076074918874
6192,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,False,0.2677149149178033
6194,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,True,0.4615680222670076
51,C(#Cc1ccc2[nH]ccc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.941160951781651
52,C(#Cc1ccc2c(c1)OCCO2)CCN1CC=C(c2ccccc2)CC1,True,0.798464488352274
53,C(#Cc1ccc2occc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.8966654574997941
54,C(#Cc1ccccc1)CCN1CC=C(c2ccccc2)CC1,True,0.9298534378720336
55,C(#Cc1ccccn1)CCN1CC=C(c2ccccc2)CC1,True,0.9073556941162819
57,C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,True,0.9228932018815544
58,C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,True,0.9170877260157031
59,C(#Cc1cnc2ccccc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.9128317177821148
60,C(#Cc1cncc2ccccc12)CCN1CC=C(c2ccccc2)CC1,True,0.9115186516339525
2243,COc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.8069812416871238
4293,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.9064631019787653
4294,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1,True,0.8689941504153117
4295,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)nc1,True,0.8594173245246342
4304,Nc1cccc(C#CCCN2CC=C(c3ccccc3)CC2)c1,True,0.9003798257887283
4306,Nc1ccccc1C#CCCN1CC=C(c2ccccc2)CC1,True,0.8853694594958983
6061,Oc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.8548997419825295
76,C1=C(c2ccccc2)CCN(CCCCc2ccncc2)C1,True,0.8591325168906843
77,C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1,True,0.8632384187772946
78,C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1,True,0.7726636854926571
80,C1=C(c2ccccn2)CCN(CCCCc2ccncc2)C1,True,0.823724851403766
72,C1=C(c2ccc3ccccc3c2)CCN(CCCCc2ccncc2)C1,True,0.9041123319272475
81,C1=C(c2cccs2)CCN(CCCCc2ccncc2)C1,True,0.8445172616986439
2265,COc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,False,0.5053573115140336
