feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
967,ecfp4_bit_967,0.06680329335627878,1.0,True,0.06680329335627878,4,0.004794371266818418,0.0004816656139522961,average_precision,test,10,1
367,ecfp4_bit_367,0.1711610439805437,0.0,True,0.1711610439805437,1,0.004089669458289771,0.0011730709401460652,average_precision,test,10,2
711,ecfp4_bit_711,0.019344163546119363,6.0,True,0.019344163546119363,19,0.0017716358972864736,2.138189118599427e-05,average_precision,test,10,3
306,ecfp4_bit_306,0.027181527341359465,5.0,True,0.027181527341359465,12,0.0017113438310975525,0.00046821394648034677,average_precision,test,10,4
783,ecfp4_bit_783,0.06849385219133076,2.0,True,0.06849385219133076,3,0.001085149803140377,0.0004276641292887234,average_precision,test,10,5
616,ecfp4_bit_616,0.013457090403654615,6.0,True,0.013457090403654615,26,0.0005253765856713548,0.001001419540641727,average_precision,test,10,6
17,ecfp4_bit_17,0.017344201389069117,6.0,True,0.017344201389069117,22,0.0002473103230906569,0.00021197867777186455,average_precision,test,10,7
222,ecfp4_bit_222,0.04618277425113131,3.0,True,0.04618277425113131,7,0.00014949517505138537,8.828644477961742e-05,average_precision,test,10,8
635,ecfp4_bit_635,0.019241867382519495,7.0,True,0.019241867382519495,20,0.00013821079857565463,0.0002842359567782065,average_precision,test,10,9
795,ecfp4_bit_795,0.025704476528826233,2.0,True,0.025704476528826233,15,0.0001052639734369129,0.0002105279468738258,average_precision,test,10,10
722,ecfp4_bit_722,0.01676785193869605,7.0,True,0.01676785193869605,23,6.339856034598274e-05,4.5462915576624044e-05,average_precision,test,10,11
145,ecfp4_bit_145,0.0222153924023462,3.0,True,0.0222153924023462,17,5.035972849904147e-05,1.6786576166347158e-05,average_precision,test,10,12
0,ecfp4_bit_0,0.0,,False,0.0,27,0.0,0.0,average_precision,test,10,13
1,ecfp4_bit_1,0.0,,False,0.0,28,0.0,0.0,average_precision,test,10,14
2,ecfp4_bit_2,0.0,,False,0.0,29,0.0,0.0,average_precision,test,10,15
3,ecfp4_bit_3,0.0,,False,0.0,30,0.0,0.0,average_precision,test,10,16
4,ecfp4_bit_4,0.0,,False,0.0,31,0.0,0.0,average_precision,test,10,17
5,ecfp4_bit_5,0.0,,False,0.0,32,0.0,0.0,average_precision,test,10,18
6,ecfp4_bit_6,0.0,,False,0.0,33,0.0,0.0,average_precision,test,10,19
7,ecfp4_bit_7,0.0,,False,0.0,34,0.0,0.0,average_precision,test,10,20
8,ecfp4_bit_8,0.0,,False,0.0,35,0.0,0.0,average_precision,test,10,21
9,ecfp4_bit_9,0.0,,False,0.0,36,0.0,0.0,average_precision,test,10,22
10,ecfp4_bit_10,0.0,,False,0.0,37,0.0,0.0,average_precision,test,10,23
11,ecfp4_bit_11,0.0,,False,0.0,38,0.0,0.0,average_precision,test,10,24
12,ecfp4_bit_12,0.0,,False,0.0,39,0.0,0.0,average_precision,test,10,25
13,ecfp4_bit_13,0.0,,False,0.0,40,0.0,0.0,average_precision,test,10,26
14,ecfp4_bit_14,0.0,,False,0.0,41,0.0,0.0,average_precision,test,10,27
15,ecfp4_bit_15,0.0,,False,0.0,42,0.0,0.0,average_precision,test,10,28
16,ecfp4_bit_16,0.0,,False,0.0,43,0.0,0.0,average_precision,test,10,29
18,ecfp4_bit_18,0.0,,False,0.0,44,0.0,0.0,average_precision,test,10,30
19,ecfp4_bit_19,0.0,,False,0.0,45,0.0,0.0,average_precision,test,10,31
20,ecfp4_bit_20,0.0,,False,0.0,46,0.0,0.0,average_precision,test,10,32
21,ecfp4_bit_21,0.0,,False,0.0,47,0.0,0.0,average_precision,test,10,33
22,ecfp4_bit_22,0.0,,False,0.0,48,0.0,0.0,average_precision,test,10,34
23,ecfp4_bit_23,0.0,,False,0.0,49,0.0,0.0,average_precision,test,10,35
24,ecfp4_bit_24,0.0,,False,0.0,50,0.0,0.0,average_precision,test,10,36
25,ecfp4_bit_25,0.0,,False,0.0,51,0.0,0.0,average_precision,test,10,37
26,ecfp4_bit_26,0.0,,False,0.0,52,0.0,0.0,average_precision,test,10,38
27,ecfp4_bit_27,0.0,,False,0.0,53,0.0,0.0,average_precision,test,10,39
28,ecfp4_bit_28,0.0,,False,0.0,54,0.0,0.0,average_precision,test,10,40
29,ecfp4_bit_29,0.0,,False,0.0,55,0.0,0.0,average_precision,test,10,41
30,ecfp4_bit_30,0.0,,False,0.0,56,0.0,0.0,average_precision,test,10,42
31,ecfp4_bit_31,0.0,,False,0.0,57,0.0,0.0,average_precision,test,10,43
32,ecfp4_bit_32,0.0,,False,0.0,58,0.0,0.0,average_precision,test,10,44
33,ecfp4_bit_33,0.0,,False,0.0,59,0.0,0.0,average_precision,test,10,45
34,ecfp4_bit_34,0.0,,False,0.0,60,0.0,0.0,average_precision,test,10,46
35,ecfp4_bit_35,0.0,,False,0.0,61,0.0,0.0,average_precision,test,10,47
36,ecfp4_bit_36,0.0,,False,0.0,62,0.0,0.0,average_precision,test,10,48
37,ecfp4_bit_37,0.0,,False,0.0,63,0.0,0.0,average_precision,test,10,49
38,ecfp4_bit_38,0.0,,False,0.0,64,0.0,0.0,average_precision,test,10,50
39,ecfp4_bit_39,0.0,,False,0.0,65,0.0,0.0,average_precision,test,10,51
40,ecfp4_bit_40,0.0,,False,0.0,66,0.0,0.0,average_precision,test,10,52
41,ecfp4_bit_41,0.0,,False,0.0,67,0.0,0.0,average_precision,test,10,53
42,ecfp4_bit_42,0.0,,False,0.0,68,0.0,0.0,average_precision,test,10,54
43,ecfp4_bit_43,0.0,,False,0.0,69,0.0,0.0,average_precision,test,10,55
44,ecfp4_bit_44,0.0,,False,0.0,70,0.0,0.0,average_precision,test,10,56
45,ecfp4_bit_45,0.0,,False,0.0,71,0.0,0.0,average_precision,test,10,57
46,ecfp4_bit_46,0.0,,False,0.0,72,0.0,0.0,average_precision,test,10,58
47,ecfp4_bit_47,0.0,,False,0.0,73,0.0,0.0,average_precision,test,10,59
48,ecfp4_bit_48,0.0,,False,0.0,74,0.0,0.0,average_precision,test,10,60
49,ecfp4_bit_49,0.0,,False,0.0,75,0.0,0.0,average_precision,test,10,61
50,ecfp4_bit_50,0.0,,False,0.0,76,0.0,0.0,average_precision,test,10,62
51,ecfp4_bit_51,0.0,,False,0.0,77,0.0,0.0,average_precision,test,10,63
52,ecfp4_bit_52,0.0,,False,0.0,78,0.0,0.0,average_precision,test,10,64
53,ecfp4_bit_53,0.0,,False,0.0,79,0.0,0.0,average_precision,test,10,65
54,ecfp4_bit_54,0.0,,False,0.0,80,0.0,0.0,average_precision,test,10,66
55,ecfp4_bit_55,0.0,,False,0.0,81,0.0,0.0,average_precision,test,10,67
56,ecfp4_bit_56,0.0,,False,0.0,82,0.0,0.0,average_precision,test,10,68
57,ecfp4_bit_57,0.0,,False,0.0,83,0.0,0.0,average_precision,test,10,69
59,ecfp4_bit_59,0.0,,False,0.0,84,0.0,0.0,average_precision,test,10,70
60,ecfp4_bit_60,0.0,,False,0.0,85,0.0,0.0,average_precision,test,10,71
61,ecfp4_bit_61,0.0,,False,0.0,86,0.0,0.0,average_precision,test,10,72
62,ecfp4_bit_62,0.0,,False,0.0,87,0.0,0.0,average_precision,test,10,73
63,ecfp4_bit_63,0.0,,False,0.0,88,0.0,0.0,average_precision,test,10,74
64,ecfp4_bit_64,0.0,,False,0.0,89,0.0,0.0,average_precision,test,10,75
65,ecfp4_bit_65,0.0,,False,0.0,90,0.0,0.0,average_precision,test,10,76
66,ecfp4_bit_66,0.0,,False,0.0,91,0.0,0.0,average_precision,test,10,77
67,ecfp4_bit_67,0.0,,False,0.0,92,0.0,0.0,average_precision,test,10,78
68,ecfp4_bit_68,0.0,,False,0.0,93,0.0,0.0,average_precision,test,10,79
69,ecfp4_bit_69,0.0,,False,0.0,94,0.0,0.0,average_precision,test,10,80
70,ecfp4_bit_70,0.0,,False,0.0,95,0.0,0.0,average_precision,test,10,81
71,ecfp4_bit_71,0.0,,False,0.0,96,0.0,0.0,average_precision,test,10,82
72,ecfp4_bit_72,0.0,,False,0.0,97,0.0,0.0,average_precision,test,10,83
73,ecfp4_bit_73,0.0,,False,0.0,98,0.0,0.0,average_precision,test,10,84
74,ecfp4_bit_74,0.0,,False,0.0,99,0.0,0.0,average_precision,test,10,85
75,ecfp4_bit_75,0.0,,False,0.0,100,0.0,0.0,average_precision,test,10,86
76,ecfp4_bit_76,0.0,,False,0.0,101,0.0,0.0,average_precision,test,10,87
77,ecfp4_bit_77,0.0,,False,0.0,102,0.0,0.0,average_precision,test,10,88
78,ecfp4_bit_78,0.0,,False,0.0,103,0.0,0.0,average_precision,test,10,89
79,ecfp4_bit_79,0.0,,False,0.0,104,0.0,0.0,average_precision,test,10,90
80,ecfp4_bit_80,0.0,,False,0.0,105,0.0,0.0,average_precision,test,10,91
81,ecfp4_bit_81,0.0,,False,0.0,106,0.0,0.0,average_precision,test,10,92
82,ecfp4_bit_82,0.0,,False,0.0,107,0.0,0.0,average_precision,test,10,93
83,ecfp4_bit_83,0.0,,False,0.0,108,0.0,0.0,average_precision,test,10,94
84,ecfp4_bit_84,0.0,,False,0.0,109,0.0,0.0,average_precision,test,10,95
85,ecfp4_bit_85,0.0,,False,0.0,110,0.0,0.0,average_precision,test,10,96
86,ecfp4_bit_86,0.0,,False,0.0,111,0.0,0.0,average_precision,test,10,97
87,ecfp4_bit_87,0.0,,False,0.0,112,0.0,0.0,average_precision,test,10,98
88,ecfp4_bit_88,0.0,,False,0.0,113,0.0,0.0,average_precision,test,10,99
89,ecfp4_bit_89,0.0,,False,0.0,114,0.0,0.0,average_precision,test,10,100
90,ecfp4_bit_90,0.0,,False,0.0,115,0.0,0.0,average_precision,test,10,101
91,ecfp4_bit_91,0.0,,False,0.0,116,0.0,0.0,average_precision,test,10,102
92,ecfp4_bit_92,0.0,,False,0.0,117,0.0,0.0,average_precision,test,10,103
93,ecfp4_bit_93,0.0,,False,0.0,118,0.0,0.0,average_precision,test,10,104
94,ecfp4_bit_94,0.0,,False,0.0,119,0.0,0.0,average_precision,test,10,105
95,ecfp4_bit_95,0.0,,False,0.0,120,0.0,0.0,average_precision,test,10,106
96,ecfp4_bit_96,0.0,,False,0.0,121,0.0,0.0,average_precision,test,10,107
97,ecfp4_bit_97,0.0,,False,0.0,122,0.0,0.0,average_precision,test,10,108
98,ecfp4_bit_98,0.0,,False,0.0,123,0.0,0.0,average_precision,test,10,109
99,ecfp4_bit_99,0.0,,False,0.0,124,0.0,0.0,average_precision,test,10,110
100,ecfp4_bit_100,0.0,,False,0.0,125,0.0,0.0,average_precision,test,10,111
101,ecfp4_bit_101,0.0,,False,0.0,126,0.0,0.0,average_precision,test,10,112
102,ecfp4_bit_102,0.0,,False,0.0,127,0.0,0.0,average_precision,test,10,113
103,ecfp4_bit_103,0.0,,False,0.0,128,0.0,0.0,average_precision,test,10,114
104,ecfp4_bit_104,0.0,,False,0.0,129,0.0,0.0,average_precision,test,10,115
105,ecfp4_bit_105,0.0,,False,0.0,130,0.0,0.0,average_precision,test,10,116
106,ecfp4_bit_106,0.0,,False,0.0,131,0.0,0.0,average_precision,test,10,117
107,ecfp4_bit_107,0.0,,False,0.0,132,0.0,0.0,average_precision,test,10,118
108,ecfp4_bit_108,0.0,,False,0.0,133,0.0,0.0,average_precision,test,10,119
109,ecfp4_bit_109,0.0,,False,0.0,134,0.0,0.0,average_precision,test,10,120
110,ecfp4_bit_110,0.0,,False,0.0,135,0.0,0.0,average_precision,test,10,121
111,ecfp4_bit_111,0.0,,False,0.0,136,0.0,0.0,average_precision,test,10,122
112,ecfp4_bit_112,0.0,,False,0.0,137,0.0,0.0,average_precision,test,10,123
113,ecfp4_bit_113,0.0,,False,0.0,138,0.0,0.0,average_precision,test,10,124
114,ecfp4_bit_114,0.0,,False,0.0,139,0.0,0.0,average_precision,test,10,125
115,ecfp4_bit_115,0.0,,False,0.0,140,0.0,0.0,average_precision,test,10,126
116,ecfp4_bit_116,0.0,,False,0.0,141,0.0,0.0,average_precision,test,10,127
117,ecfp4_bit_117,0.0,,False,0.0,142,0.0,0.0,average_precision,test,10,128
118,ecfp4_bit_118,0.0,,False,0.0,143,0.0,0.0,average_precision,test,10,129
119,ecfp4_bit_119,0.0,,False,0.0,144,0.0,0.0,average_precision,test,10,130
120,ecfp4_bit_120,0.0,,False,0.0,145,0.0,0.0,average_precision,test,10,131
121,ecfp4_bit_121,0.0,,False,0.0,146,0.0,0.0,average_precision,test,10,132
122,ecfp4_bit_122,0.0,,False,0.0,147,0.0,0.0,average_precision,test,10,133
123,ecfp4_bit_123,0.0,,False,0.0,148,0.0,0.0,average_precision,test,10,134
124,ecfp4_bit_124,0.0,,False,0.0,149,0.0,0.0,average_precision,test,10,135
125,ecfp4_bit_125,0.0,,False,0.0,150,0.0,0.0,average_precision,test,10,136
126,ecfp4_bit_126,0.0,,False,0.0,151,0.0,0.0,average_precision,test,10,137
127,ecfp4_bit_127,0.0,,False,0.0,152,0.0,0.0,average_precision,test,10,138
128,ecfp4_bit_128,0.0,,False,0.0,153,0.0,0.0,average_precision,test,10,139
129,ecfp4_bit_129,0.0,,False,0.0,154,0.0,0.0,average_precision,test,10,140
130,ecfp4_bit_130,0.0,,False,0.0,155,0.0,0.0,average_precision,test,10,141
131,ecfp4_bit_131,0.0,,False,0.0,156,0.0,0.0,average_precision,test,10,142
132,ecfp4_bit_132,0.0,,False,0.0,157,0.0,0.0,average_precision,test,10,143
133,ecfp4_bit_133,0.0,,False,0.0,158,0.0,0.0,average_precision,test,10,144
134,ecfp4_bit_134,0.0,,False,0.0,159,0.0,0.0,average_precision,test,10,145
135,ecfp4_bit_135,0.0,,False,0.0,160,0.0,0.0,average_precision,test,10,146
136,ecfp4_bit_136,0.0,,False,0.0,161,0.0,0.0,average_precision,test,10,147
137,ecfp4_bit_137,0.0,,False,0.0,162,0.0,0.0,average_precision,test,10,148
138,ecfp4_bit_138,0.0,,False,0.0,163,0.0,0.0,average_precision,test,10,149
139,ecfp4_bit_139,0.0,,False,0.0,164,0.0,0.0,average_precision,test,10,150
140,ecfp4_bit_140,0.0,,False,0.0,165,0.0,0.0,average_precision,test,10,151
141,ecfp4_bit_141,0.0,,False,0.0,166,0.0,0.0,average_precision,test,10,152
142,ecfp4_bit_142,0.0,,False,0.0,167,0.0,0.0,average_precision,test,10,153
143,ecfp4_bit_143,0.0,,False,0.0,168,0.0,0.0,average_precision,test,10,154
144,ecfp4_bit_144,0.0,,False,0.0,169,0.0,0.0,average_precision,test,10,155
147,ecfp4_bit_147,0.0,,False,0.0,170,0.0,0.0,average_precision,test,10,156
148,ecfp4_bit_148,0.0,,False,0.0,171,0.0,0.0,average_precision,test,10,157
149,ecfp4_bit_149,0.0,,False,0.0,172,0.0,0.0,average_precision,test,10,158
150,ecfp4_bit_150,0.0,,False,0.0,173,0.0,0.0,average_precision,test,10,159
151,ecfp4_bit_151,0.0,,False,0.0,174,0.0,0.0,average_precision,test,10,160
152,ecfp4_bit_152,0.0,,False,0.0,175,0.0,0.0,average_precision,test,10,161
153,ecfp4_bit_153,0.0,,False,0.0,176,0.0,0.0,average_precision,test,10,162
154,ecfp4_bit_154,0.0,,False,0.0,177,0.0,0.0,average_precision,test,10,163
155,ecfp4_bit_155,0.0,,False,0.0,178,0.0,0.0,average_precision,test,10,164
156,ecfp4_bit_156,0.0,,False,0.0,179,0.0,0.0,average_precision,test,10,165
157,ecfp4_bit_157,0.0,,False,0.0,180,0.0,0.0,average_precision,test,10,166
158,ecfp4_bit_158,0.0,,False,0.0,181,0.0,0.0,average_precision,test,10,167
159,ecfp4_bit_159,0.0,,False,0.0,182,0.0,0.0,average_precision,test,10,168
160,ecfp4_bit_160,0.0,,False,0.0,183,0.0,0.0,average_precision,test,10,169
161,ecfp4_bit_161,0.0,,False,0.0,184,0.0,0.0,average_precision,test,10,170
162,ecfp4_bit_162,0.0,,False,0.0,185,0.0,0.0,average_precision,test,10,171
163,ecfp4_bit_163,0.0,,False,0.0,186,0.0,0.0,average_precision,test,10,172
164,ecfp4_bit_164,0.0,,False,0.0,187,0.0,0.0,average_precision,test,10,173
165,ecfp4_bit_165,0.0,,False,0.0,188,0.0,0.0,average_precision,test,10,174
166,ecfp4_bit_166,0.0,,False,0.0,189,0.0,0.0,average_precision,test,10,175
167,ecfp4_bit_167,0.0,,False,0.0,190,0.0,0.0,average_precision,test,10,176
168,ecfp4_bit_168,0.0,,False,0.0,191,0.0,0.0,average_precision,test,10,177
169,ecfp4_bit_169,0.0,,False,0.0,192,0.0,0.0,average_precision,test,10,178
170,ecfp4_bit_170,0.0,,False,0.0,193,0.0,0.0,average_precision,test,10,179
171,ecfp4_bit_171,0.0,,False,0.0,194,0.0,0.0,average_precision,test,10,180
172,ecfp4_bit_172,0.0,,False,0.0,195,0.0,0.0,average_precision,test,10,181
173,ecfp4_bit_173,0.0,,False,0.0,196,0.0,0.0,average_precision,test,10,182
174,ecfp4_bit_174,0.0,,False,0.0,197,0.0,0.0,average_precision,test,10,183
175,ecfp4_bit_175,0.0,,False,0.0,198,0.0,0.0,average_precision,test,10,184
176,ecfp4_bit_176,0.0,,False,0.0,199,0.0,0.0,average_precision,test,10,185
177,ecfp4_bit_177,0.0,,False,0.0,200,0.0,0.0,average_precision,test,10,186
178,ecfp4_bit_178,0.0,,False,0.0,201,0.0,0.0,average_precision,test,10,187
179,ecfp4_bit_179,0.0,,False,0.0,202,0.0,0.0,average_precision,test,10,188
180,ecfp4_bit_180,0.0,,False,0.0,203,0.0,0.0,average_precision,test,10,189
181,ecfp4_bit_181,0.0,,False,0.0,204,0.0,0.0,average_precision,test,10,190
182,ecfp4_bit_182,0.0,,False,0.0,205,0.0,0.0,average_precision,test,10,191
183,ecfp4_bit_183,0.0,,False,0.0,206,0.0,0.0,average_precision,test,10,192
184,ecfp4_bit_184,0.0,,False,0.0,207,0.0,0.0,average_precision,test,10,193
185,ecfp4_bit_185,0.0,,False,0.0,208,0.0,0.0,average_precision,test,10,194
186,ecfp4_bit_186,0.0,,False,0.0,209,0.0,0.0,average_precision,test,10,195
187,ecfp4_bit_187,0.0,,False,0.0,210,0.0,0.0,average_precision,test,10,196
188,ecfp4_bit_188,0.0,,False,0.0,211,0.0,0.0,average_precision,test,10,197
189,ecfp4_bit_189,0.0,,False,0.0,212,0.0,0.0,average_precision,test,10,198
190,ecfp4_bit_190,0.0,,False,0.0,213,0.0,0.0,average_precision,test,10,199
191,ecfp4_bit_191,0.0,,False,0.0,214,0.0,0.0,average_precision,test,10,200
192,ecfp4_bit_192,0.0,,False,0.0,215,0.0,0.0,average_precision,test,10,201
193,ecfp4_bit_193,0.0,,False,0.0,216,0.0,0.0,average_precision,test,10,202
194,ecfp4_bit_194,0.0,,False,0.0,217,0.0,0.0,average_precision,test,10,203
195,ecfp4_bit_195,0.0,,False,0.0,218,0.0,0.0,average_precision,test,10,204
196,ecfp4_bit_196,0.0,,False,0.0,219,0.0,0.0,average_precision,test,10,205
197,ecfp4_bit_197,0.0,,False,0.0,220,0.0,0.0,average_precision,test,10,206
198,ecfp4_bit_198,0.0,,False,0.0,221,0.0,0.0,average_precision,test,10,207
199,ecfp4_bit_199,0.0,,False,0.0,222,0.0,0.0,average_precision,test,10,208
200,ecfp4_bit_200,0.0,,False,0.0,223,0.0,0.0,average_precision,test,10,209
201,ecfp4_bit_201,0.0,,False,0.0,224,0.0,0.0,average_precision,test,10,210
202,ecfp4_bit_202,0.0,,False,0.0,225,0.0,0.0,average_precision,test,10,211
203,ecfp4_bit_203,0.0,,False,0.0,226,0.0,0.0,average_precision,test,10,212
204,ecfp4_bit_204,0.0,,False,0.0,227,0.0,0.0,average_precision,test,10,213
205,ecfp4_bit_205,0.0,,False,0.0,228,0.0,0.0,average_precision,test,10,214
206,ecfp4_bit_206,0.0,,False,0.0,229,0.0,0.0,average_precision,test,10,215
207,ecfp4_bit_207,0.0,,False,0.0,230,0.0,0.0,average_precision,test,10,216
208,ecfp4_bit_208,0.0,,False,0.0,231,0.0,0.0,average_precision,test,10,217
