feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
150,maccs_bit_150,0.03456139329629203,1.0,True,0.03456139329629202,8,0.051249581308881006,0.007541370200914435,average_precision,test,10,1
44,maccs_bit_44,0.07169567425537736,3.0,True,0.07169567425537735,2,0.04876278976142396,0.0011518556866315535,average_precision,test,10,2
81,maccs_bit_81,0.014355269355431674,4.0,True,0.01435526935543167,25,0.03237090916722621,0.0025918832319722016,average_precision,test,10,3
144,maccs_bit_144,0.013606168950574142,2.0,True,0.013606168950574139,26,0.02843006468462491,0.005982542317281848,average_precision,test,10,4
147,maccs_bit_147,0.02404399805193963,5.0,True,0.024043998051939623,15,0.02452167950974555,0.0022148250115183485,average_precision,test,10,5
102,maccs_bit_102,0.021345179153570166,5.0,True,0.021345179153570162,16,0.016333442046384122,0.004857688603883782,average_precision,test,10,6
128,maccs_bit_128,0.013452945319986085,10.0,True,0.013452945319986082,27,0.006346563199288918,0.000577022811944575,average_precision,test,10,7
116,maccs_bit_116,0.015508144791890074,7.0,True,0.01550814479189007,23,0.0020177386065639734,0.0003282051122924994,average_precision,test,10,8
138,maccs_bit_138,0.019692983534580273,5.0,True,0.01969298353458027,18,0.002006493264351755,0.0006300646809648389,average_precision,test,10,9
134,maccs_bit_134,0.03073696297553633,5.0,True,0.03073696297553632,10,0.001941817270895868,0.0012938223868653748,average_precision,test,10,10
80,maccs_bit_80,0.05606588933780064,4.0,True,0.05606588933780063,4,0.0016328233775326662,0.001239151300588315,average_precision,test,10,11
153,maccs_bit_153,0.06856945668761423,4.0,True,0.06856945668761422,3,0.0012231834471263525,0.0006182697788247829,average_precision,test,10,12
158,maccs_bit_158,0.020672678824465652,8.0,True,0.02067267882446565,17,0.000921499708779977,0.0009747112625271973,average_precision,test,10,13
152,maccs_bit_152,0.012023415464206813,7.0,True,0.01202341546420681,28,0.0007493882496065974,0.0003701384385580755,average_precision,test,10,14
108,maccs_bit_108,0.004323293297006026,5.0,True,0.004323293297006025,41,0.0007045720209545164,0.0006243266079851897,average_precision,test,10,15
70,maccs_bit_70,0.12554850376421942,7.0,True,0.1255485037642194,1,0.00027865612067667076,0.00041482633195232064,average_precision,test,10,16
125,maccs_bit_125,0.010276257524717902,1.0,True,0.0102762575247179,31,0.0002382663892912862,0.0006547226637458325,average_precision,test,10,17
162,maccs_bit_162,0.01010094107514827,9.0,True,0.010100941075148268,32,0.00022867663992272302,0.000347880619175861,average_precision,test,10,18
74,maccs_bit_74,0.004456736586425333,6.0,True,0.004456736586425332,39,0.00010466041287975902,0.0001456969183644472,average_precision,test,10,19
98,maccs_bit_98,0.015576457421792837,6.0,True,0.015576457421792833,21,3.568342309886729e-05,0.0005496864393569544,average_precision,test,10,20
120,maccs_bit_120,0.0028046593744025365,7.0,True,0.002804659374402536,47,9.329636210131386e-06,0.00020497641257269134,average_precision,test,10,21
0,maccs_bit_0,0.0,,False,0.0,48,0.0,0.0,average_precision,test,10,22
1,maccs_bit_1,0.0,,False,0.0,49,0.0,0.0,average_precision,test,10,23
2,maccs_bit_2,0.0,,False,0.0,50,0.0,0.0,average_precision,test,10,24
3,maccs_bit_3,0.0,,False,0.0,51,0.0,0.0,average_precision,test,10,25
4,maccs_bit_4,0.0,,False,0.0,52,0.0,0.0,average_precision,test,10,26
5,maccs_bit_5,0.0,,False,0.0,53,0.0,0.0,average_precision,test,10,27
6,maccs_bit_6,0.0,,False,0.0,54,0.0,0.0,average_precision,test,10,28
7,maccs_bit_7,0.0,,False,0.0,55,0.0,0.0,average_precision,test,10,29
8,maccs_bit_8,0.0,,False,0.0,56,0.0,0.0,average_precision,test,10,30
9,maccs_bit_9,0.0,,False,0.0,57,0.0,0.0,average_precision,test,10,31
10,maccs_bit_10,0.0,,False,0.0,58,0.0,0.0,average_precision,test,10,32
11,maccs_bit_11,0.0,,False,0.0,59,0.0,0.0,average_precision,test,10,33
12,maccs_bit_12,0.0,,False,0.0,60,0.0,0.0,average_precision,test,10,34
14,maccs_bit_14,0.0,,False,0.0,61,0.0,0.0,average_precision,test,10,35
15,maccs_bit_15,0.0,,False,0.0,62,0.0,0.0,average_precision,test,10,36
16,maccs_bit_16,0.0,,False,0.0,63,0.0,0.0,average_precision,test,10,37
17,maccs_bit_17,0.0,,False,0.0,64,0.0,0.0,average_precision,test,10,38
18,maccs_bit_18,0.0,,False,0.0,65,0.0,0.0,average_precision,test,10,39
19,maccs_bit_19,0.0,,False,0.0,66,0.0,0.0,average_precision,test,10,40
20,maccs_bit_20,0.0,,False,0.0,67,0.0,0.0,average_precision,test,10,41
21,maccs_bit_21,0.0,,False,0.0,68,0.0,0.0,average_precision,test,10,42
