,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.013274402703210734
21,CC(C)CCS(=O)(=O)O,0,0.01347706401382319
90,O=S(=O)(O)CCO,0,0.013274402703210734
106,O=S(=O)(O)CO,0,0.013274402703210734
117,O=S(=O)(O)CCCCBr,0,0.01735096587220208
123,CCCCCCCCS(=O)(=O)O,0,0.015442861879955694
126,O=S(=O)(O)CCCCCO,0,0.015568500453099753
171,CCCCS(=O)(=O)O,0,0.013167029990333402
408,O=S(=O)(O)CS(=O)(=O)O,0,0.013616369106002764
480,CNCCS(=O)(=O)O,0,0.013274402703210734
802,O=C(O)CS(=O)(=O)O,0,0.013274402703210734
929,O=C(O)CCS(=O)(=O)O,0,0.013341540376566463
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.015442861879955694
1120,NCCS(=O)(=O)O,0,0.012780104762439893
1351,NCS(=O)(=O)O,0,0.01337153340733018
1370,CN(C)CCS(=O)(=O)O,0,0.013274402703210734
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.015157587736226524
2578,O=S(=O)(O)CCCCO,0,0.015568500453099753
2822,NCCCS(=O)(=O)O,0,0.01337153340733018
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.016660177944002603
3133,O=S(=O)(O)CCCO,0,0.013274402703210734
3292,CCCS(=O)(=O)O,0,0.013274402703210734
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.013274402703210734
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.012825179708242485
4183,O=S(=O)(O)CCS,0,0.01837697894492912
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.01423842785106848
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.015163700282916758
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.013287980743297444
5923,C[S+](C)CCS(=O)(=O)O,0,0.015163700282916758
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.013274402703210734
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.015568500453099753
6648,CC(=O)CCS(=O)(=O)O,0,0.01337378223631088
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.015618735603609756
17847,NCCCCCS(=O)(=O)O,0,0.020154397637762222
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.012921240149567505
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.019943788326663426
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.016051767155173948
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.014083863312509992
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.016051767155173948
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.012921240149567505
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.014369190543713412
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.013035499027706862
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.03272824679810054
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.08253802758610693
16,NNP(=S)(NN)c1ccccc1,1,0.04648322891280564
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.013328448446149018
