,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.01241676075274759
21,CC(C)CCS(=O)(=O)O,0,0.0025978614624382083
90,O=S(=O)(O)CCO,0,0.007825390288741298
106,O=S(=O)(O)CO,0,0.007559021158150689
117,O=S(=O)(O)CCCCBr,0,0.006231975182683174
123,CCCCCCCCS(=O)(=O)O,0,0.0014042606814702097
126,O=S(=O)(O)CCCCCO,0,0.004400565217164177
171,CCCCS(=O)(=O)O,0,0.0016320423736357868
408,O=S(=O)(O)CS(=O)(=O)O,0,0.016715699744845686
480,CNCCS(=O)(=O)O,0,0.008186959389598092
802,O=C(O)CS(=O)(=O)O,0,0.008940259599150771
929,O=C(O)CCS(=O)(=O)O,0,0.007117869922972906
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.002801996547815824
1120,NCCS(=O)(=O)O,0,0.005667171684092319
1351,NCS(=O)(=O)O,0,0.0031051805819340412
1370,CN(C)CCS(=O)(=O)O,0,0.0032210926429597896
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.0028704905832239377
2578,O=S(=O)(O)CCCCO,0,0.006439282625660423
2822,NCCCS(=O)(=O)O,0,0.002881312313962482
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0023522995428483275
3133,O=S(=O)(O)CCCO,0,0.00976580884622743
3292,CCCS(=O)(=O)O,0,0.00344460538552257
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.0022639756327404123
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0013868964606592767
4183,O=S(=O)(O)CCS,0,0.026863703360217584
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.009454853778512852
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.0033349527194339594
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.021844005222838418
5923,C[S+](C)CCS(=O)(=O)O,0,0.00898174180921893
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.0019116143057961526
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.0033013194127548954
6648,CC(=O)CCS(=O)(=O)O,0,0.0018099587543258468
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.0003718803300140011
17847,NCCCCCS(=O)(=O)O,0,0.003701778182903813
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.0019874739977932907
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.0021323944333680725
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.0029215879911463844
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0025214410499857795
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.005066229191637905
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.0024218296986403677
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.0029232049555259773
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.006651043330597395
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.027769143089204303
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.5256177330616486
16,NNP(=S)(NN)c1ccccc1,1,0.5329234030483448
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.0129480158667644
