,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.009147374346944832
21,CC(C)CCS(=O)(=O)O,0,0.019756378833471713
90,O=S(=O)(O)CCO,0,0.011860393720928597
106,O=S(=O)(O)CO,0,0.013305086072281496
117,O=S(=O)(O)CCCCBr,0,0.04369154769433861
123,CCCCCCCCS(=O)(=O)O,0,0.014920533722666137
126,O=S(=O)(O)CCCCCO,0,0.01931108301501726
171,CCCCS(=O)(=O)O,0,0.008238093088404503
408,O=S(=O)(O)CS(=O)(=O)O,0,0.017795298282175482
480,CNCCS(=O)(=O)O,0,0.008513860274232869
802,O=C(O)CS(=O)(=O)O,0,0.008841562202009899
929,O=C(O)CCS(=O)(=O)O,0,0.01978303588696798
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.014920533722666137
1120,NCCS(=O)(=O)O,0,0.017072096926788113
1351,NCS(=O)(=O)O,0,0.008901274598273551
1370,CN(C)CCS(=O)(=O)O,0,0.010727961582005
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.019780484041586676
2578,O=S(=O)(O)CCCCO,0,0.01945517948874485
2822,NCCCS(=O)(=O)O,0,0.011068475269910673
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0156742172852731
3133,O=S(=O)(O)CCCO,0,0.016234763851021808
3292,CCCS(=O)(=O)O,0,0.009972252337933866
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.004991577813640396
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0034613936145104097
4183,O=S(=O)(O)CCS,0,0.023113022328120993
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.016458030241699503
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.015794843992236785
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.012887156159335535
5923,C[S+](C)CCS(=O)(=O)O,0,0.014417063968645042
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.015158368004660208
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.019048982377272403
6648,CC(=O)CCS(=O)(=O)O,0,0.010111666501944293
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.011600749420784477
17847,NCCCCCS(=O)(=O)O,0,0.044459987462495534
