feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
119,maccs_bit_119,0.8331472938644969,0.8331472938644969,0.029997844867801278,positive,1
140,maccs_bit_140,0.6599300468393544,0.6599300468393544,0.02376107960077883,positive,2
82,maccs_bit_82,0.5666785798830443,0.5666785798830443,0.020403518386752674,positive,3
35,maccs_bit_35,0.5569137762062103,0.5569137762062103,0.020051932217032914,positive,4
59,maccs_bit_59,0.5238770386643562,0.5238770386643562,0.01886242955043722,positive,5
78,maccs_bit_78,-0.49523045960967144,0.49523045960967144,0.01783099652436368,negative,6
28,maccs_bit_28,-0.4853241692189052,0.4853241692189052,0.017474316061561954,negative,7
144,maccs_bit_144,0.47224870438712246,0.47224870438712246,0.01700352804066009,positive,8
150,maccs_bit_150,0.4441563966133026,0.4441563966133026,0.015992051802564505,positive,9
81,maccs_bit_81,0.42883717815801653,0.42883717815801653,0.015440476418353548,positive,10
51,maccs_bit_51,0.4070718989024796,0.4070718989024796,0.014656807701645022,positive,11
67,maccs_bit_67,0.40555960848973693,0.40555960848973693,0.014602357001834078,positive,12
24,maccs_bit_24,-0.39002351202954083,0.39002351202954083,0.01404297282703538,negative,13
14,maccs_bit_14,0.38866254644976916,0.38866254644976916,0.013993970646228865,positive,14
120,maccs_bit_120,0.38607361192470974,0.38607361192470974,0.013900754888550056,positive,15
11,maccs_bit_11,0.36877074771023416,0.36877074771023416,0.013277757442243897,positive,16
125,maccs_bit_125,0.361178932571153,0.361178932571153,0.013004410706937548,positive,17
70,maccs_bit_70,-0.3296509730927252,0.3296509730927252,0.011869232276428207,negative,18
131,maccs_bit_131,0.3262901099594655,0.3262901099594655,0.011748222880327553,positive,19
72,maccs_bit_72,-0.32267706771682225,0.32267706771682225,0.01161813366141778,negative,20
48,maccs_bit_48,0.31941728246333834,0.31941728246333834,0.01150076362006197,positive,21
44,maccs_bit_44,0.31849721328066216,0.31849721328066216,0.011467636113301979,positive,22
25,maccs_bit_25,-0.31547603395812485,0.31547603395812485,0.011358857186331084,negative,23
45,maccs_bit_45,-0.3079887480814243,0.3079887480814243,0.011089274074360164,negative,24
65,maccs_bit_65,-0.2967571246870039,0.2967571246870039,0.010684874397759656,negative,25
164,maccs_bit_164,0.2938500119232259,0.2938500119232259,0.010580202488790819,positive,26
151,maccs_bit_151,0.29262280885509795,0.29262280885509795,0.010536016487671815,positive,27
49,maccs_bit_49,0.29177606124067246,0.29177606124067246,0.010505528957115366,positive,28
128,maccs_bit_128,-0.29104632386334,0.29104632386334,0.010479254433029814,negative,29
158,maccs_bit_158,-0.2867440713027733,0.2867440713027733,0.010324349885125261,negative,30
137,maccs_bit_137,-0.2826796589996607,0.2826796589996607,0.010178008883185471,negative,31
64,maccs_bit_64,0.2797891506201377,0.2797891506201377,0.010073934822576314,positive,32
124,maccs_bit_124,-0.27551350016903564,0.27551350016903564,0.00991998809564622,negative,33
40,maccs_bit_40,0.26566257228554246,0.26566257228554246,0.009565300984940694,positive,34
97,maccs_bit_97,-0.25891461367858903,0.25891461367858903,0.009322337685465996,negative,35
130,maccs_bit_130,-0.2550057466290743,0.2550057466290743,0.009181597160682784,negative,36
39,maccs_bit_39,0.2523125552464229,0.2523125552464229,0.009084627587726076,positive,37
3,maccs_bit_3,0.2520539960294689,0.2520539960294689,0.009075318046260305,positive,38
89,maccs_bit_89,-0.2508190062735496,0.2508190062735496,0.009030851681928074,negative,39
9,maccs_bit_9,-0.24591547655012935,0.24591547655012935,0.00885429787801962,negative,40
55,maccs_bit_55,-0.244903682957976,0.244903682957976,0.008817867792440311,negative,41
108,maccs_bit_108,0.24463539301847714,0.24463539301847714,0.008808207891911382,positive,42
50,maccs_bit_50,0.24346215797237672,0.24346215797237672,0.008765965033817057,positive,43
29,maccs_bit_29,0.24273402427585228,0.24273402427585228,0.008739748250983803,positive,44
162,maccs_bit_162,-0.2418806463777294,0.2418806463777294,0.008709021994066184,negative,45
135,maccs_bit_135,0.22968939567772734,0.22968939567772734,0.008270070502611642,positive,46
19,maccs_bit_19,0.22495953627903753,0.22495953627903753,0.008099769777237763,positive,47
57,maccs_bit_57,-0.2201687269167012,0.2201687269167012,0.007927274520875629,negative,48
15,maccs_bit_15,0.21987340014517057,0.21987340014517057,0.007916641146989731,positive,49
104,maccs_bit_104,-0.21871910253749252,0.21871910253749252,0.007875080139924837,negative,50
80,maccs_bit_80,-0.21679272301757463,0.21679272301757463,0.007805719974656863,negative,51
13,maccs_bit_13,0.20689861356349493,0.20689861356349493,0.007449478091985874,positive,52
76,maccs_bit_76,-0.20552805368400925,0.20552805368400925,0.007400130464081881,negative,53
93,maccs_bit_93,0.2052499613463411,0.2052499613463411,0.007390117623776538,positive,54
157,maccs_bit_157,-0.2033962919965326,0.2033962919965326,0.0073233754210457,negative,55
53,maccs_bit_53,0.20120092207130855,0.20120092207130855,0.007244330134660819,positive,56
74,maccs_bit_74,-0.19666145849530525,0.19666145849530525,0.00708088469693474,negative,57
91,maccs_bit_91,0.18537749627465486,0.18537749627465486,0.006674600537240579,positive,58
94,maccs_bit_94,0.1850398615193754,0.1850398615193754,0.006662443845278139,positive,59
34,maccs_bit_34,0.18159007419619919,0.18159007419619919,0.006538232693529048,positive,60
32,maccs_bit_32,-0.18104898991341067,0.18104898991341067,0.0065187507093768735,negative,61
132,maccs_bit_132,-0.17997034302750103,0.17997034302750103,0.006479913540740619,negative,62
62,maccs_bit_62,0.1735081200944012,0.1735081200944012,0.006247238283345131,positive,63
105,maccs_bit_105,-0.1728611841937115,0.1728611841937115,0.00622394506384935,negative,64
38,maccs_bit_38,0.17145075535980395,0.17145075535980395,0.006173161936222084,positive,65
18,maccs_bit_18,-0.17028028031013134,0.17028028031013134,0.0061310184530465614,negative,66
33,maccs_bit_33,-0.17023968332072573,0.17023968332072573,0.006129556740094653,negative,67
73,maccs_bit_73,-0.16966551397449817,0.16966551397449817,0.006108883513280112,negative,68
87,maccs_bit_87,-0.16892357858726043,0.16892357858726043,0.0060821697943348645,negative,69
30,maccs_bit_30,-0.16366597433529362,0.16366597433529362,0.005892867376997308,negative,70
23,maccs_bit_23,-0.15962379761643603,0.15962379761643603,0.005747326977318294,negative,71
56,maccs_bit_56,-0.15609365919838183,0.15609365919838183,0.005620222748082355,negative,72
106,maccs_bit_106,-0.15502643563938004,0.15502643563938004,0.005581796881494345,negative,73
63,maccs_bit_63,0.141580400419627,0.141580400419627,0.005097666306289302,positive,74
71,maccs_bit_71,-0.13925006777336363,0.13925006777336363,0.00501376162613517,negative,75
152,maccs_bit_152,0.13907559729290261,0.13907559729290261,0.005007479737631873,positive,76
166,maccs_bit_166,0.13701993052362754,0.13701993052362754,0.00493346452651767,positive,77
134,maccs_bit_134,-0.13595206296753284,0.13595206296753284,0.004895015472523267,negative,78
68,maccs_bit_68,0.13548682699850317,0.13548682699850317,0.004878264441188653,positive,79
102,maccs_bit_102,0.1345181041275135,0.1345181041275135,0.00484338513639124,positive,80
7,maccs_bit_7,-0.13433110002588794,0.13433110002588794,0.004836651969193174,negative,81
111,maccs_bit_111,0.13315000861047308,0.13315000861047308,0.00479412623897089,positive,82
139,maccs_bit_139,-0.12936330370633597,0.12936330370633597,0.004657784217444836,negative,83
133,maccs_bit_133,0.12834735107770312,0.12834735107770312,0.004621204383877352,positive,84
31,maccs_bit_31,0.12272032547134729,0.12272032547134729,0.004418600783710031,positive,85
66,maccs_bit_66,-0.12205918556097516,0.12205918556097516,0.00439479614242594,negative,86
22,maccs_bit_22,0.11880042592392538,0.11880042592392538,0.004277463028853384,positive,87
54,maccs_bit_54,-0.11727824264576563,0.11727824264576563,0.004222656131951881,negative,88
113,maccs_bit_113,-0.11718768528733738,0.11718768528733738,0.004219395573333046,negative,89
42,maccs_bit_42,-0.11661045607395014,0.11661045607395014,0.004198612174618473,negative,90
47,maccs_bit_47,-0.11584613486822935,0.11584613486822935,0.004171092444161169,negative,91
160,maccs_bit_160,0.11582938031086623,0.11582938031086623,0.004170489188750861,positive,92
147,maccs_bit_147,0.1137101588534765,0.1137101588534765,0.004094185662366687,positive,93
122,maccs_bit_122,-0.1132069751027411,0.1132069751027411,0.004076068304000743,negative,94
79,maccs_bit_79,-0.11139761248017367,0.11139761248017367,0.0040109213850092465,negative,95
98,maccs_bit_98,-0.10854217884275903,0.10854217884275903,0.003908110206342203,negative,96
161,maccs_bit_161,0.10731156956307732,0.10731156956307732,0.0038638015630367223,positive,97
146,maccs_bit_146,-0.10579379966860218,0.10579379966860218,0.003809153572009473,negative,98
153,maccs_bit_153,-0.10437703203303003,0.10437703203303003,0.003758142212963365,negative,99
92,maccs_bit_92,0.10296148828888284,0.10296148828888284,0.0037071749206811673,positive,100
129,maccs_bit_129,0.09883603525575799,0.09883603525575799,0.0035586361196691015,positive,101
126,maccs_bit_126,-0.09357935613789453,0.09357935613789453,0.003369367012203063,negative,102
107,maccs_bit_107,-0.09305562833388717,0.09305562833388717,0.0033505099559139,negative,103
165,maccs_bit_165,-0.09303837553960569,0.09303837553960569,0.0033498887612581608,negative,104
156,maccs_bit_156,-0.0918225429958493,0.0918225429958493,0.003306112161008217,negative,105
41,maccs_bit_41,-0.09038815191992529,0.09038815191992529,0.003254466262027088,negative,106
75,maccs_bit_75,0.08683732734954852,0.08683732734954852,0.003126617218527388,positive,107
100,maccs_bit_100,-0.08640727658166893,0.08640727658166893,0.003111133046262611,negative,108
115,maccs_bit_115,0.08628320876499776,0.08628320876499776,0.0031066659284492344,positive,109
90,maccs_bit_90,0.08602961518638588,0.08602961518638588,0.003097535177036259,positive,110
118,maccs_bit_118,0.08457478909906944,0.08457478909906944,0.003045153506234065,positive,111
37,maccs_bit_37,0.08295523775328478,0.08295523775328478,0.00298684082805091,positive,112
112,maccs_bit_112,-0.08269993033434195,0.08269993033434195,0.0029776483690422254,negative,113
43,maccs_bit_43,0.08240441408442681,0.08240441408442681,0.0029670081729014568,positive,114
149,maccs_bit_149,-0.08199074033303726,0.08199074033303726,0.002952113662517218,negative,115
58,maccs_bit_58,-0.08163797976468934,0.08163797976468934,0.002939412358818932,negative,116
136,maccs_bit_136,0.0812362804285238,0.0812362804285238,0.0029249489926668325,positive,117
21,maccs_bit_21,-0.08081342418390244,0.08081342418390244,0.002909723862463631,negative,118
61,maccs_bit_61,-0.07949636144658088,0.07949636144658088,0.0028623024233420153,negative,119
96,maccs_bit_96,0.0747018771753046,0.0747018771753046,0.002689674850222573,positive,120
69,maccs_bit_69,-0.07448977291173271,0.07448977291173271,0.0026820379403492706,negative,121
155,maccs_bit_155,-0.07431056803796247,0.07431056803796247,0.0026755855878751018,negative,122
60,maccs_bit_60,0.0712333760505575,0.0712333760505575,0.002564789899589966,positive,123
116,maccs_bit_116,-0.0689335652698667,0.0689335652698667,0.002481984173000545,negative,124
86,maccs_bit_86,-0.06544462405682673,0.06544462405682673,0.0023563632677507784,negative,125
26,maccs_bit_26,0.05862156758999761,0.05862156758999761,0.0021106960358897612,positive,126
159,maccs_bit_159,0.05454245384175566,0.05454245384175566,0.001963825701773572,positive,127
83,maccs_bit_83,0.05313736038335612,0.05313736038335612,0.0019132346767528666,positive,128
46,maccs_bit_46,-0.05147410750784606,0.05147410750784606,0.0018533485052404498,negative,129
88,maccs_bit_88,-0.05076239852048681,0.05076239852048681,0.0018277231014840582,negative,130
84,maccs_bit_84,0.04954334016418782,0.04954334016418782,0.0017838303543955688,positive,131
142,maccs_bit_142,0.04650224776420975,0.04650224776420975,0.0016743344480714358,positive,132
154,maccs_bit_154,0.04585713691312635,0.04585713691312635,0.0016511069403115867,positive,133
52,maccs_bit_52,-0.04570496859221137,0.04570496859221137,0.0016456280511425079,negative,134
123,maccs_bit_123,-0.043782524949809075,0.043782524949809075,0.0015764095989233566,negative,135
99,maccs_bit_99,0.043203503593709634,0.043203503593709634,0.0015555616733004477,positive,136
141,maccs_bit_141,0.036491161055632604,0.036491161055632604,0.0013138807464828102,positive,137
148,maccs_bit_148,-0.035874939537236715,0.035874939537236715,0.0012916934122033,negative,138
101,maccs_bit_101,-0.03421188042182856,0.03421188042182856,0.0012318142171109249,negative,139
138,maccs_bit_138,0.032553971643829546,0.032553971643829546,0.0011721204622447306,positive,140
16,maccs_bit_16,-0.03220049072248732,0.03220049072248732,0.001159393221911311,negative,141
117,maccs_bit_117,-0.03144054260595648,0.03144054260595648,0.0011320309465067682,negative,142
20,maccs_bit_20,-0.030745385378892248,0.030745385378892248,0.0011070014963605911,negative,143
95,maccs_bit_95,-0.028105457439296492,0.028105457439296492,0.001011949697744238,negative,144
143,maccs_bit_143,0.02724889739819152,0.02724889739819152,0.000981108866330335,positive,145
127,maccs_bit_127,0.02724889739819152,0.02724889739819152,0.000981108866330335,positive,146
163,maccs_bit_163,-0.026260198269770513,0.026260198269770513,0.000945510307355567,negative,147
114,maccs_bit_114,-0.025392554377091356,0.025392554377091356,0.0009142703968562385,negative,148
121,maccs_bit_121,0.022652919309975143,0.022652919309975143,0.0008156285980495238,positive,149
77,maccs_bit_77,-0.020904699882727015,0.020904699882727015,0.0007526831674399935,negative,150
12,maccs_bit_12,-0.020891735128725348,0.020891735128725348,0.0007522163656125671,negative,151
145,maccs_bit_145,0.01872067498962292,0.01872067498962292,0.0006740463640641328,positive,152
85,maccs_bit_85,-0.018344545860594468,0.018344545860594468,0.0006605036647768062,negative,153
17,maccs_bit_17,-0.01555273944349028,0.01555273944349028,0.0005599834129342259,negative,154
109,maccs_bit_109,0.012184830985648225,0.012184830985648225,0.0004387203467377541,positive,155
36,maccs_bit_36,-0.011898763921855106,0.011898763921855106,0.00042842037281399663,negative,156
5,maccs_bit_5,-0.010975064804831654,0.010975064804831654,0.0003951621686272336,negative,157
10,maccs_bit_10,-0.010888509806791518,0.010888509806791518,0.0003920457168030942,negative,158
6,maccs_bit_6,-0.00823960884751084,0.00823960884751084,0.00029667084055750757,negative,159
103,maccs_bit_103,-0.00804565518755711,0.00804565518755711,0.0002896874513708884,negative,160
27,maccs_bit_27,0.007553733602407795,0.007553733602407795,0.0002719755923669606,positive,161
8,maccs_bit_8,-0.0035728126071022286,0.0035728126071022286,0.0001286407326997914,negative,162
110,maccs_bit_110,-0.0010670625031350672,0.0010670625031350672,3.842006769873695e-05,negative,163
4,maccs_bit_4,0.0,0.0,0.0,zero,164
1,maccs_bit_1,0.0,0.0,0.0,zero,165
