,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.005032789759142337
21,CC(C)CCS(=O)(=O)O,0,0.005943277578869975
90,O=S(=O)(O)CCO,0,0.0063993784258882195
106,O=S(=O)(O)CO,0,0.004928086310290692
117,O=S(=O)(O)CCCCBr,0,0.0034752782402899147
123,CCCCCCCCS(=O)(=O)O,0,0.006673780495596368
126,O=S(=O)(O)CCCCCO,0,0.004570055642374791
171,CCCCS(=O)(=O)O,0,0.0061333931998316105
408,O=S(=O)(O)CS(=O)(=O)O,0,0.009999921412015753
480,CNCCS(=O)(=O)O,0,0.010807477565036127
802,O=C(O)CS(=O)(=O)O,0,0.008334160838728727
929,O=C(O)CCS(=O)(=O)O,0,0.005616902192044701
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.006673780495596368
1120,NCCS(=O)(=O)O,0,0.006311679265663888
1351,NCS(=O)(=O)O,0,0.003450281119536464
1370,CN(C)CCS(=O)(=O)O,0,0.0069578836049457565
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.007920278209826694
2578,O=S(=O)(O)CCCCO,0,0.005907029286761
2822,NCCCS(=O)(=O)O,0,0.009369469550022404
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.002070075199450157
3133,O=S(=O)(O)CCCO,0,0.00496820945497121
3292,CCCS(=O)(=O)O,0,0.005868000056308326
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.016919004331611847
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0026013034791340546
4183,O=S(=O)(O)CCS,0,0.00842867495376531
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.011973423996640115
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.004886499520864859
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.005095178347597806
5923,C[S+](C)CCS(=O)(=O)O,0,0.016026917860817762
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.005521991520229345
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.007328339210444463
6648,CC(=O)CCS(=O)(=O)O,0,0.005391263456009256
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.04002221843368954
17847,NCCCCCS(=O)(=O)O,0,0.008621653617498453
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.01296824497893034
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.01234152875396454
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.014105731990582612
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.020513585887708845
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.0047524222795100315
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.01780289462287893
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.012938211931801637
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.02504068377899414
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.04394884412974626
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.44666937288521064
16,NNP(=S)(NN)c1ccccc1,1,0.0038912004449656707
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.000843182460265295
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.00013117525475070654
