feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
84,rdkit_desc_84,0.6062434442582261,0.6062434442582261,0.041764466460474235,positive,1
147,rdkit_desc_147,-0.4059751974630763,0.4059751974630763,0.027967869473585635,negative,2
22,rdkit_desc_22,0.3829576620111933,0.3829576620111933,0.026382177955619333,positive,3
17,rdkit_desc_17,0.3566430655811314,0.3566430655811314,0.024569349973010888,positive,4
47,rdkit_desc_47,-0.33598654234617437,0.33598654234617437,0.02314630997149476,negative,5
24,rdkit_desc_24,0.33281109377252677,0.33281109377252677,0.022927551456731213,positive,6
143,rdkit_desc_143,-0.30970214332099993,0.30970214332099993,0.02133556230582097,negative,7
109,rdkit_desc_109,-0.3045489542154857,0.3045489542154857,0.02098055608579485,negative,8
163,rdkit_desc_163,0.3005272563593547,0.3005272563593547,0.020703498961602673,positive,9
77,rdkit_desc_77,0.29342218313315543,0.29342218313315543,0.02021402629964607,positive,10
20,rdkit_desc_20,-0.2513914397538475,0.2513914397538475,0.01731850373556832,negative,11
154,rdkit_desc_154,0.21639365802660293,0.21639365802660293,0.014907486024808687,positive,12
197,rdkit_desc_197,0.2152415674919276,0.2152415674919276,0.01482811783212868,positive,13
19,rdkit_desc_19,0.21438393394427907,0.21438393394427907,0.014769034953995506,positive,14
52,rdkit_desc_52,0.20738338515164603,0.20738338515164603,0.014286763041574956,positive,15
61,rdkit_desc_61,-0.19406469398328685,0.19406469398328685,0.013369230595052663,negative,16
26,rdkit_desc_26,0.19304177402789963,0.19304177402789963,0.013298761039343418,positive,17
146,rdkit_desc_146,-0.189422811739555,0.189422811739555,0.01304944860463623,negative,18
199,rdkit_desc_199,0.18704919149046423,0.18704919149046423,0.012885928513455122,positive,19
48,rdkit_desc_48,0.18616488916510113,0.18616488916510113,0.012825008407582907,positive,20
18,rdkit_desc_18,-0.1848241515819765,0.1848241515819765,0.012732644209086345,negative,21
27,rdkit_desc_27,-0.18072683066285566,0.18072683066285566,0.012450377367728912,negative,22
101,rdkit_desc_101,-0.17660766484036466,0.17660766484036466,0.012166605618165415,negative,23
50,rdkit_desc_50,0.17402924686054652,0.17402924686054652,0.011988976891192608,positive,24
