feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
84,rdkit_desc_84,0.37222091760766124,0.37222091760766124,0.019019480763459527,positive,1
22,rdkit_desc_22,0.36786248578266934,0.36786248578266934,0.01879677670161618,positive,2
24,rdkit_desc_24,0.3546248787808589,0.3546248787808589,0.01812037083667081,positive,3
147,rdkit_desc_147,-0.31065592581899165,0.31065592581899165,0.01587367642620472,negative,4
163,rdkit_desc_163,0.29805812043077046,0.29805812043077046,0.015229962690869635,positive,5
77,rdkit_desc_77,0.2728633536624862,0.2728633536624862,0.013942578346730433,positive,6
17,rdkit_desc_17,0.25273271970941596,0.25273271970941596,0.012913957473708373,positive,7
47,rdkit_desc_47,-0.24362435841179678,0.24362435841179678,0.012448544880563066,negative,8
99,rdkit_desc_99,-0.24361938009425504,0.24361938009425504,0.012448290502020001,negative,9
101,rdkit_desc_101,-0.23239482387556293,0.23239482387556293,0.01187474607992815,negative,10
19,rdkit_desc_19,0.22930956704038352,0.22930956704038352,0.011717097811786275,positive,11
109,rdkit_desc_109,-0.22384005703424342,0.22384005703424342,0.011437620664139832,negative,12
146,rdkit_desc_146,-0.22153905294354384,0.22153905294354384,0.011320045587164089,negative,13
52,rdkit_desc_52,0.22006982386860013,0.22006982386860013,0.01124497196070696,positive,14
154,rdkit_desc_154,0.21637663117045625,0.21637663117045625,0.011056259816506252,positive,15
190,rdkit_desc_190,-0.21332899871137845,0.21332899871137845,0.010900534052080992,negative,16
26,rdkit_desc_26,0.20699229789554624,0.20699229789554624,0.010576745802766229,positive,17
199,rdkit_desc_199,0.2037438529254547,0.2037438529254547,0.010410759062910474,positive,18
20,rdkit_desc_20,-0.20349040548753056,0.20349040548753056,0.010397808585271744,negative,19
197,rdkit_desc_197,0.20249021225443675,0.20249021225443675,0.01034670141999249,positive,20
143,rdkit_desc_143,-0.20219049630741065,0.20219049630741065,0.010331386746852671,negative,21
175,rdkit_desc_175,-0.19541491223912924,0.19541491223912924,0.00998517275201288,negative,22
216,rdkit_desc_216,0.19461660612423726,0.19461660612423726,0.009944381471680955,positive,23
214,rdkit_desc_214,-0.19433276879312214,0.19433276879312214,0.00992987815280841,negative,24
104,rdkit_desc_104,0.18944166260447298,0.18944166260447298,0.009679955873681945,positive,25
50,rdkit_desc_50,0.18903529170105512,0.18903529170105512,0.009659191421135697,positive,26
18,rdkit_desc_18,-0.1875726697517301,0.1875726697517301,0.009584455400902886,negative,27
27,rdkit_desc_27,-0.1794067167653711,0.1794067167653711,0.009167197320036307,negative,28
48,rdkit_desc_48,0.17712564450503832,0.17712564450503832,0.00905064070560877,positive,29
71,rdkit_desc_71,0.17623685876324066,0.17623685876324066,0.009005226161397754,positive,30
168,rdkit_desc_168,-0.17586592914726767,0.17586592914726767,0.008986272662650455,negative,31
61,rdkit_desc_61,-0.17484922903430286,0.17484922903430286,0.008934322040517167,negative,32
121,rdkit_desc_121,0.17009031804867716,0.17009031804867716,0.008691154578226591,positive,33
70,rdkit_desc_70,-0.16870195384342865,0.16870195384342865,0.008620212927595789,negative,34
126,rdkit_desc_126,-0.16720087374961062,0.16720087374961062,0.008543511800339751,negative,35
189,rdkit_desc_189,-0.16670568958165932,0.16670568958165932,0.008518209230518443,negative,36
155,rdkit_desc_155,-0.1661466267073579,0.1661466267073579,0.008489642631812273,negative,37
54,rdkit_desc_54,0.16332825567806936,0.16332825567806936,0.00834563150551564,positive,38
162,rdkit_desc_162,0.16200504363018026,0.16200504363018026,0.008278018953667247,positive,39
95,rdkit_desc_95,0.15964318718879209,0.15964318718879209,0.008157334486384341,positive,40
66,rdkit_desc_66,0.15322520574343174,0.15322520574343174,0.007829393017041837,positive,41
183,rdkit_desc_183,-0.15290991716960137,0.15290991716960137,0.007813282624849354,negative,42
73,rdkit_desc_73,-0.14808951663174133,0.14808951663174133,0.00756697321297843,negative,43
202,rdkit_desc_202,-0.14537030971995477,0.14537030971995477,0.007428029104509212,negative,44
11,rdkit_desc_11,-0.14468492173443492,0.14468492173443492,0.007393007634759785,negative,45
3,rdkit_desc_3,0.1430305009811615,0.1430305009811615,0.00730847121511472,positive,46
5,rdkit_desc_5,-0.14206740966929865,0.14206740966929865,0.00725925985752321,negative,47
132,rdkit_desc_132,-0.13933949795049158,0.13933949795049158,0.007119870956991418,negative,48
78,rdkit_desc_78,0.13732857035421397,0.13732857035421397,0.007017118003234999,positive,49
141,rdkit_desc_141,0.1366691901225858,0.1366691901225858,0.006983425459269814,positive,50
96,rdkit_desc_96,0.1361284872558505,0.1361284872558505,0.006955797007223873,positive,51
37,rdkit_desc_37,0.1298110894180728,0.1298110894180728,0.0066329950878073465,positive,52
76,rdkit_desc_76,-0.1290939856642304,0.1290939856642304,0.006596353028195892,negative,53
200,rdkit_desc_200,-0.1275375022506438,0.1275375022506438,0.0065168209413545035,negative,54
92,rdkit_desc_92,-0.12641264814073708,0.12641264814073708,0.006459343942902687,negative,55
136,rdkit_desc_136,0.12134759098367234,0.12134759098367234,0.006200533240420465,positive,56
137,rdkit_desc_137,-0.12075275345113025,0.12075275345113025,0.006170138653570585,negative,57
88,rdkit_desc_88,0.12022053252997084,0.12022053252997084,0.006142943605970999,positive,58
151,rdkit_desc_151,0.11993882259239078,0.11993882259239078,0.006128548991146243,positive,59
1,rdkit_desc_1,0.11984258091293214,0.11984258091293214,0.006123631301987688,positive,60
114,rdkit_desc_114,0.11970129236277903,0.11970129236277903,0.0061164118397419726,positive,61
0,rdkit_desc_0,0.11967074281886639,0.11967074281886639,0.006114850840788681,positive,62
72,rdkit_desc_72,-0.11873923696280739,0.11873923696280739,0.006067253414442431,negative,63
25,rdkit_desc_25,-0.11825388992595853,0.11825388992595853,0.006042453495377488,negative,64
209,rdkit_desc_209,-0.11786356244728725,0.11786356244728725,0.0060225088183836414,negative,65
64,rdkit_desc_64,-0.11734117265688862,0.11734117265688862,0.005995816114939212,negative,66
53,rdkit_desc_53,-0.11703596015381362,0.11703596015381362,0.005980220582672213,negative,67
206,rdkit_desc_206,-0.11699038542109674,0.11699038542109674,0.005977891837265373,negative,68
57,rdkit_desc_57,-0.11460878568965466,0.11460878568965466,0.005856198541333606,negative,69
142,rdkit_desc_142,-0.11211609174292719,0.11211609174292719,0.005728828631889272,negative,70
105,rdkit_desc_105,-0.11148995578571232,0.11148995578571232,0.005696834780307532,negative,71
86,rdkit_desc_86,0.11130581939205628,0.11130581939205628,0.005687425909308279,positive,72
80,rdkit_desc_80,-0.11025831290260495,0.11025831290260495,0.0056339011647727815,negative,73
89,rdkit_desc_89,-0.10997180372465318,0.10997180372465318,0.005619261321763335,negative,74
110,rdkit_desc_110,0.10906927132481112,0.10906927132481112,0.005573144360557817,positive,75
205,rdkit_desc_205,-0.10773327380015542,0.10773327380015542,0.0055048785054749435,negative,76
16,rdkit_desc_16,0.10739536639358092,0.10739536639358092,0.005487612352190274,positive,77
36,rdkit_desc_36,-0.10536463219343556,0.10536463219343556,0.005383847334620586,negative,78
60,rdkit_desc_60,-0.10491644947298744,0.10491644947298744,0.005360946411467571,negative,79
12,rdkit_desc_12,0.10434979190927658,0.10434979190927658,0.005331991744702101,positive,80
118,rdkit_desc_118,0.10309215892881843,0.10309215892881843,0.0052677301055845255,positive,81
