,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.014034688704338296
21,CC(C)CCS(=O)(=O)O,0,0.00844959389038636
90,O=S(=O)(O)CCO,0,0.008078365269833016
106,O=S(=O)(O)CO,0,0.011966347557183156
117,O=S(=O)(O)CCCCBr,0,0.005563834242526858
123,CCCCCCCCS(=O)(=O)O,0,0.00799238770150909
126,O=S(=O)(O)CCCCCO,0,0.007865677528124596
171,CCCCS(=O)(=O)O,0,0.007626103640827049
408,O=S(=O)(O)CS(=O)(=O)O,0,0.02284258897812906
480,CNCCS(=O)(=O)O,0,0.008493624340115117
802,O=C(O)CS(=O)(=O)O,0,0.020846525716736605
929,O=C(O)CCS(=O)(=O)O,0,0.013995249549453023
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.008304861984788749
1120,NCCS(=O)(=O)O,0,0.006809227287177422
1351,NCS(=O)(=O)O,0,0.011745593548204527
1370,CN(C)CCS(=O)(=O)O,0,0.006258678777484006
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.018134454665435062
2578,O=S(=O)(O)CCCCO,0,0.007585140279773498
2822,NCCCS(=O)(=O)O,0,0.007264693112543625
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.009278556681462108
3133,O=S(=O)(O)CCCO,0,0.006892045702478119
3292,CCCS(=O)(=O)O,0,0.007968442288536479
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.018588776656016395
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.015059492146285772
4183,O=S(=O)(O)CCS,0,0.024201393417253223
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.02241172951193374
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.006248994356755707
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.021126012684289586
5923,C[S+](C)CCS(=O)(=O)O,0,0.012740452166993144
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.012301296839266977
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.009725493304636009
6648,CC(=O)CCS(=O)(=O)O,0,0.010788020589762087
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.017318807011712418
17847,NCCCCCS(=O)(=O)O,0,0.007461928299302454
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.006400333391936352
