,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.10031436225588625
21,CC(C)CCS(=O)(=O)O,0,0.10616389062736961
90,O=S(=O)(O)CCO,0,0.084034827095901
106,O=S(=O)(O)CO,0,0.11161882140981906
117,O=S(=O)(O)CCCCBr,0,0.0900298040186109
123,CCCCCCCCS(=O)(=O)O,0,0.054584916310492664
126,O=S(=O)(O)CCCCCO,0,0.058705080040449206
171,CCCCS(=O)(=O)O,0,0.06529617120227423
408,O=S(=O)(O)CS(=O)(=O)O,0,0.10740246566391631
480,CNCCS(=O)(=O)O,0,0.14685863048747083
802,O=C(O)CS(=O)(=O)O,0,0.11037195068281046
929,O=C(O)CCS(=O)(=O)O,0,0.08819447065276241
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.054584916310492664
1120,NCCS(=O)(=O)O,0,0.1102998955197593
1351,NCS(=O)(=O)O,0,0.11334910908447765
1370,CN(C)CCS(=O)(=O)O,0,0.14348112029426854
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.11379511229763006
2578,O=S(=O)(O)CCCCO,0,0.06733154933158363
2822,NCCCS(=O)(=O)O,0,0.07408210265528949
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.09325743286931691
3133,O=S(=O)(O)CCCO,0,0.07199230068788363
3292,CCCS(=O)(=O)O,0,0.08242228985603403
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.07852962092470886
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.046605941134767896
4183,O=S(=O)(O)CCS,0,0.12496146052569194
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.12043507250356512
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.15506260690813986
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.1028632669341832
5923,C[S+](C)CCS(=O)(=O)O,0,0.10013892742314685
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.10164543339125617
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.07636029361416706
6648,CC(=O)CCS(=O)(=O)O,0,0.10462401265960859
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.17261430241485742
17847,NCCCCCS(=O)(=O)O,0,0.07110563043727512
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.09383289834509459
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.12920504603845212
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.13172699299136045
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.1138784835204645
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.1586853259923044
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.12433501037257069
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.1411772157904332
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.09074614596114768
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.23805784807273747
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.6833734098428336
16,NNP(=S)(NN)c1ccccc1,1,0.4741554472707352
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.21250606215905304
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.2067362907313803
