,smiles,value,preds
0,O=S(=O)(O)CCS(=O)(=O)O,0,-1.5571219676756476
1,CC(C)CCS(=O)(=O)O,0,-1.1978083938685398
2,O=S(=O)(O)CCO,0,-1.4789027182135608
3,O=S(=O)(O)CO,0,-1.6589420470848504
4,O=S(=O)(O)CCCCBr,0,-1.029730683575973
5,CCCCCCCCS(=O)(=O)O,0,-1.4139826186700795
6,O=S(=O)(O)CCCCCO,0,-1.4156970395067368
7,CCCCS(=O)(=O)O,0,-1.5925654035157017
8,O=S(=O)(O)CS(=O)(=O)O,0,-1.5273459583758282
9,CNCCS(=O)(=O)O,0,-1.4703266190300088
10,O=C(O)CS(=O)(=O)O,0,-1.7535430509564036
11,O=C(O)CCS(=O)(=O)O,0,-1.4116400862488794
12,CCCCCCCCCCCCS(=O)(=O)O,0,-1.4139826186700795
13,NCCS(=O)(=O)O,0,-1.2859647940745111
14,NCS(=O)(=O)O,0,-1.7246699527671823
15,CN(C)CCS(=O)(=O)O,0,-1.3797159913438761
16,C[N+](C)(C)CCS(=O)(=O)O,0,-1.4202730707791273
17,O=S(=O)(O)CCCCO,0,-1.4218843263399366
18,NCCCS(=O)(=O)O,0,-1.6092436093656082
19,C[Si](C)(C)CCCS(=O)(=O)O,0,-1.3610806626081429
20,O=S(=O)(O)CCCO,0,-1.379620109190842
21,CCCS(=O)(=O)O,0,-1.3202723937608905
22,C[N+](C)(C)CCCS(=O)(=O)O,0,-1.6233434981572379
23,CS(=O)(=O)OCCCS(=O)(=O)O,0,-1.8493329005894772
24,O=S(=O)(O)CCS,0,-1.3962923994268621
25,CS(=O)(=O)SCCCS(=O)(=O)O,0,-1.6681276289446312
26,O=S(=O)(O)CCN(CCO)CCO,0,-1.424009582804403
27,C[SH](C)(=O)CCCS(=O)(=O)O,0,-1.3955507371301898
28,C[S+](C)CCS(=O)(=O)O,0,-1.4693292451644644
29,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,-1.4659238423498155
30,O=S(=O)(O)CCCCS(=O)(=O)O,0,-1.3323837009377864
31,CC(=O)CCS(=O)(=O)O,0,-1.4589532476555482
32,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-1.3795222966138796
33,NCCCCCS(=O)(=O)O,0,-0.999756191966359
34,CC(C)(CCC(=O)O)CCC(=O)O,0,-1.3862048078463605
35,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,-1.0318527845622065
36,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,-1.5555392324121131
37,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.3292080037409264
38,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,-1.2151716370589998
39,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,-1.3005648745040812
40,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,-1.4218699202618046
41,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.3645982771594443
42,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,-1.0645429098752917
43,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,-0.11862718593295218
44,NNP(=S)(NN)c1ccccc1,1,-1.291186827980449
45,C=CP(=S)(c1ccccc1)c1ccccc1,0,-1.4419060519482367
46,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,-1.4811507297501585
47,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,-1.2800557813023783
48,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,-1.6602930855167861
49,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,-1.4114874441530452
50,CCOC(C)CCCS(=O)(=O)O,0,-1.4226527557213635
51,CC(O)CS(=O)(=O)O,0,-1.2555957541954132
52,CCCNP(=S)(NCCC)NCCC,0,-1.8779478339747258
53,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,-1.7568011642760695
54,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-2.1730165718015724
55,CCOP(=O)(NC1CCCCC1)OCC,0,-1.8683274787312159
56,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-2.066978195402267
57,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,-1.8715879480871749
58,CC(C)(C)C#COC(=O)c1ccccc1,0,-2.1395010880290757
59,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,-1.2674251979539175
60,C#CCOC(=O)C=[N+]=[N-],0,-1.4966398177225506
61,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,-1.0246621233687483
62,[N-]=[N+]=CC(=O)OCCCCl,0,-1.3608645688336864
63,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,-1.2827452122669527
64,Nc1nc(O)c2nn[nH]c2n1,0,-1.5904687924382328
65,COc1nc(O)c2nn[nH]c2n1,0,-1.623117211329005
66,Oc1nc(Br)nc2[nH]nnc12,0,-1.5234995889550575
67,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,-1.951519844885266
68,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,-1.54536393423092
69,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,-2.010777492524448
70,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,-1.867598452830317
71,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,-1.750275392702883
72,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,-1.5842439388124774
73,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,-1.7310693433892408
74,Nc1nc(S)c2nc[nH]c2n1,0,-1.151698990438468
75,Sc1ncnc2[nH]cnc12,0,-1.209334356228631
76,Nc1nnnc2[nH]cnc12,0,-1.519676918011787
77,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,-1.4389296543409167
78,Sc1nc(S)c2nc[nH]c2n1,0,-1.620867621197305
79,Sc1nnc(S)c2[nH]cnc12,0,-1.2820791298991587
80,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,-1.5642895177755283
81,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,-1.3185059264013252
82,Sc1ncnc2c1ccc1[nH]cnc12,0,-1.2338521017024204
83,CCCCOB(OCCCC)OCCCC,0,-1.3577162120377455
84,CCCCCOB(OCCCCC)OCCCCC,0,-1.3857947710174279
85,CCCCCCOP(OCCCCCC)OCCCCCC,0,-1.5604261176938174
86,NC1(C(=O)O)CCCC1,0,-1.6958391775096928
87,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,-1.6407960794821785
88,NC1(C(=O)O)CSSC1,0,-1.6356994334876227
