feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
7,maccs_bit_7,-0.0013841749577990581,0.0013841749577990581,0.05530767473049881,negative,1
12,maccs_bit_12,-0.0007826846258672283,0.0007826846258672283,0.03127384039143341,negative,2
9,maccs_bit_9,-0.0007544187918201474,0.0007544187918201474,0.03014441845914531,negative,3
33,maccs_bit_33,-0.0007413760734495652,0.0007413760734495652,0.029623268714904394,negative,4
63,maccs_bit_63,-0.0007040855314275254,0.0007040855314275254,0.028133245248536796,negative,5
102,maccs_bit_102,0.0006620595121938104,0.0006620595121938104,0.026454005648875272,positive,6
124,maccs_bit_124,-0.0006509644694402666,0.0006509644694402666,0.026010679454974386,negative,7
35,maccs_bit_35,0.0006492689190395673,0.0006492689190395673,0.025942930107594082,positive,8
94,maccs_bit_94,0.0005922721102022731,0.0005922721102022731,0.02366550054849992,positive,9
32,maccs_bit_32,0.0005825967221713439,0.0005825967221713439,0.02327889969931473,positive,10
71,maccs_bit_71,-0.0005474226951629945,0.0005474226951629945,0.021873446122959838,negative,11
61,maccs_bit_61,-0.0005445505984565096,0.0005445505984565096,0.021758685348289137,negative,12
39,maccs_bit_39,0.0005437359203142008,0.0005437359203142008,0.02172613313843229,positive,13
119,maccs_bit_119,0.0005332086685926598,0.0005332086685926598,0.021305494251172785,positive,14
55,maccs_bit_55,-0.0005256402560011282,0.0005256402560011282,0.021003082117879875,negative,15
78,maccs_bit_78,-0.0005122062121853625,0.0005122062121853625,0.020466296127430315,negative,16
18,maccs_bit_18,-0.0004830846421429698,0.0004830846421429698,0.019302681430840848,negative,17
29,maccs_bit_29,-0.0004606233392115966,0.0004606233392115966,0.01840519197002376,negative,18
40,maccs_bit_40,-0.0004031536420259522,0.0004031536420259522,0.01610886714425321,negative,19
10,maccs_bit_10,-0.00036445099632697003,0.00036445099632697003,0.014562420051370758,negative,20
76,maccs_bit_76,-0.0003603831507706665,0.0003603831507706665,0.014399880570639447,negative,21
60,maccs_bit_60,0.00033076450726929416,0.00033076450726929416,0.013216404239484558,positive,22
20,maccs_bit_20,-0.0002877596661885807,0.0002877596661885807,0.011498053716721971,negative,23
107,maccs_bit_107,-0.00027073948928073733,0.00027073948928073733,0.01081797609866467,negative,24
49,maccs_bit_49,0.00026557551868772785,0.00026557551868772785,0.010611638594675893,positive,25
51,maccs_bit_51,0.0002503625070579569,0.0002503625070579569,0.010003770135454126,positive,26
118,maccs_bit_118,0.00023141581541966019,0.00023141581541966019,0.009246714495597578,positive,27
24,maccs_bit_24,-0.00022575226077320085,0.00022575226077320085,0.009020415040864739,negative,28
48,maccs_bit_48,0.00022485637270186747,0.00022485637270186747,0.008984617914377905,positive,29
31,maccs_bit_31,-0.0002200621654842045,0.0002200621654842045,0.008793055097920994,negative,30
50,maccs_bit_50,0.00021672888418119464,0.00021672888418119464,0.00865986670504235,positive,31
37,maccs_bit_37,0.00021492837426446369,0.00021492837426446369,0.008587923475422058,positive,32
56,maccs_bit_56,0.0002144828595405171,0.0002144828595405171,0.008570121980530932,positive,33
14,maccs_bit_14,0.00020671162792832137,0.00020671162792832137,0.008259605778918587,positive,34
92,maccs_bit_92,0.00020388448118072253,0.00020388448118072253,0.008146641076118146,positive,35
156,maccs_bit_156,-0.0002027095162565884,0.0002027095162565884,0.008099692836318253,negative,36
117,maccs_bit_117,-0.00019084950153955022,0.00019084950153955022,0.007625800549383742,negative,37
122,maccs_bit_122,0.00018085289671579928,0.00018085289671579928,0.007226364795336807,positive,38
137,maccs_bit_137,-0.00017454149932508937,0.00017454149932508937,0.006974179396364304,negative,39
130,maccs_bit_130,-0.00016897184281985944,0.00016897184281985944,0.006751631842952647,negative,40
99,maccs_bit_99,0.00016450129269826846,0.00016450129269826846,0.006573001438899896,positive,41
104,maccs_bit_104,-0.00016241279832598585,0.00016241279832598585,0.006489551173622482,negative,42
87,maccs_bit_87,0.0001595411870307286,0.0001595411870307286,0.006374809794596919,positive,43
16,maccs_bit_16,0.000157015678014287,0.000157015678014287,0.00627389767331971,positive,44
58,maccs_bit_58,0.00015434532463823574,0.00015434532463823574,0.006167197985461629,positive,45
64,maccs_bit_64,0.0001540604305476402,0.0001540604305476402,0.006155814431954525,positive,46
147,maccs_bit_147,-0.00015402368010628085,0.00015402368010628085,0.006154345989366792,negative,47
3,maccs_bit_3,0.0001516876203780165,0.0001516876203780165,0.0060610037201154375,positive,48
85,maccs_bit_85,-0.00014786089022613726,0.00014786089022613726,0.005908098521730643,negative,49
34,maccs_bit_34,-0.00014741841355107258,0.00014741841355107258,0.005890418418588752,negative,50
5,maccs_bit_5,-0.00014722089294114503,0.00014722089294114503,0.005882526059617157,negative,51
22,maccs_bit_22,-0.00014662327309461574,0.00014662327309461574,0.00585864687881122,negative,52
152,maccs_bit_152,0.00014620066621676663,0.00014620066621676663,0.005841760715969411,positive,53
13,maccs_bit_13,0.00014173298181349974,0.00014173298181349974,0.005663244817829402,positive,54
111,maccs_bit_111,0.00014164599514429263,0.00014164599514429263,0.005659769079174192,positive,55
151,maccs_bit_151,0.00013486025221295592,0.00013486025221295592,0.005388630188287224,positive,56
166,maccs_bit_166,-0.00012456936619040931,0.00012456936619040931,0.004977435798722007,negative,57
161,maccs_bit_161,0.0001243292857735223,0.0001243292857735223,0.004967842871519031,positive,58
89,maccs_bit_89,-0.00012328182826028874,0.00012328182826028874,0.004925989463386249,negative,59
65,maccs_bit_65,-0.00011574739524291677,0.00011574739524291677,0.004624935056748129,negative,60
120,maccs_bit_120,0.00011377836365403498,0.00011377836365403498,0.004546258182818034,positive,61
41,maccs_bit_41,-0.00010951152466462735,0.00010951152466462735,0.004375767493310974,negative,62
125,maccs_bit_125,0.00010946678858289247,0.00010946678858289247,0.00437397996736032,positive,63
88,maccs_bit_88,0.0001085729033204249,0.0001085729033204249,0.004338262867390853,positive,64
146,maccs_bit_146,-0.0001073992300476851,0.0001073992300476851,0.004291366238288568,negative,65
133,maccs_bit_133,0.00010626616662349,0.00010626616662349,0.004246092262653253,positive,66
93,maccs_bit_93,-0.00010264747867522184,0.00010264747867522184,0.004101499836048288,negative,67
25,maccs_bit_25,-0.00010254623208898195,0.00010254623208898195,0.004097454311869586,negative,68
59,maccs_bit_59,-0.00010153117588543314,0.00010153117588543314,0.0040568955674545595,negative,69
28,maccs_bit_28,9.882087092899072e-05,9.882087092899072e-05,0.003948599528643302,positive,70
82,maccs_bit_82,9.789769276977688e-05,9.789769276977688e-05,0.003911711968251886,positive,71
52,maccs_bit_52,-9.750082473058454e-05,9.750082473058454e-05,0.003895854255829836,negative,72
47,maccs_bit_47,-9.305263862269004e-05,9.305263862269004e-05,0.003718117453838171,negative,73
80,maccs_bit_80,9.295143379154693e-05,9.295143379154693e-05,0.003714073598073782,positive,74
105,maccs_bit_105,-9.032957864399827e-05,9.032957864399827e-05,0.0036093117607973154,negative,75
140,maccs_bit_140,9.029893847520114e-05,9.029893847520114e-05,0.0036080874672353123,positive,76
162,maccs_bit_162,-8.994472014214883e-05,8.994472014214883e-05,0.0035939339151589275,negative,77
134,maccs_bit_134,8.853581630173524e-05,8.853581630173524e-05,0.0035376381449652165,positive,78
123,maccs_bit_123,8.606062582734025e-05,8.606062582734025e-05,0.003438736608795581,positive,79
165,maccs_bit_165,-8.522494571284317e-05,8.522494571284317e-05,0.003405345220163003,negative,80
101,maccs_bit_101,8.397346937130332e-05,8.397346937130332e-05,0.0033553398028269895,positive,81
69,maccs_bit_69,8.381411249716499e-05,8.381411249716499e-05,0.0033489723576487257,positive,82
121,maccs_bit_121,8.306215846768088e-05,8.306215846768088e-05,0.003318926424047149,positive,83
100,maccs_bit_100,-8.279829050821669e-05,8.279829050821669e-05,0.003308383014638088,negative,84
144,maccs_bit_144,8.125731418004607e-05,8.125731418004607e-05,0.0032468100053550867,positive,85
57,maccs_bit_57,7.92304209013394e-05,7.92304209013394e-05,0.003165821143693845,positive,86
26,maccs_bit_26,-7.577764376293615e-05,7.577764376293615e-05,0.0030278580388047364,negative,87
128,maccs_bit_128,-7.141117881989331e-05,7.141117881989331e-05,0.0028533865809653738,negative,88
75,maccs_bit_75,-7.00805980508798e-05,7.00805980508798e-05,0.0028002203768228914,negative,89
8,maccs_bit_8,6.86964960421965e-05,6.86964960421965e-05,0.002744915616930538,positive,90
150,maccs_bit_150,6.764617678997869e-05,6.764617678997869e-05,0.00270294786188806,positive,91
158,maccs_bit_158,-6.608706884206946e-05,6.608706884206946e-05,0.0026406503649084785,negative,92
67,maccs_bit_67,6.51216063546102e-05,6.51216063546102e-05,0.0026020732436276535,positive,93
27,maccs_bit_27,6.488184784205625e-05,6.488184784205625e-05,0.0025924931788016813,positive,94
132,maccs_bit_132,-6.485685216990958e-05,6.485685216990958e-05,0.002591494423191367,negative,95
163,maccs_bit_163,6.429388081016264e-05,6.429388081016264e-05,0.0025689996968765814,positive,96
83,maccs_bit_83,-6.27284560426886e-05,6.27284560426886e-05,0.002506449797843449,negative,97
114,maccs_bit_114,-6.093295267285692e-05,6.093295267285692e-05,0.002434706615526332,negative,98
96,maccs_bit_96,6.072629914341283e-05,6.072629914341283e-05,0.0024264493311967725,positive,99
148,maccs_bit_148,-5.9060268837091145e-05,5.9060268837091145e-05,0.0023598795224063366,negative,100
17,maccs_bit_17,-5.657584598189576e-05,5.657584598189576e-05,0.002260609086690138,negative,101
66,maccs_bit_66,-5.64016118060999e-05,5.64016118060999e-05,0.0022536471870635354,negative,102
90,maccs_bit_90,-5.633003514945306e-05,5.633003514945306e-05,0.0022507871884616137,negative,103
43,maccs_bit_43,5.524104204111986e-05,5.524104204111986e-05,0.00220727413667572,positive,104
145,maccs_bit_145,-5.165824654621096e-05,5.165824654621096e-05,0.002064115869910512,negative,105
44,maccs_bit_44,5.158451031845278e-05,5.158451031845278e-05,0.0020611695810199893,positive,106
15,maccs_bit_15,4.9581236486555096e-05,4.9581236486555096e-05,0.001981124484938428,positive,107
77,maccs_bit_77,-4.954870766124553e-05,4.954870766124553e-05,0.001979824726060802,negative,108
131,maccs_bit_131,4.922574155849686e-05,4.922574155849686e-05,0.0019669199237746784,positive,109
45,maccs_bit_45,4.82356493418587e-05,4.82356493418587e-05,0.0019273586689185047,positive,110
135,maccs_bit_135,-4.8064142209397476e-05,4.8064142209397476e-05,0.0019205057341484602,negative,111
129,maccs_bit_129,-4.7197086352167295e-05,4.7197086352167295e-05,0.0018858606605219928,negative,112
160,maccs_bit_160,4.6780615400164594e-05,4.6780615400164594e-05,0.0018692196717378204,positive,113
21,maccs_bit_21,-4.521161294021494e-05,4.521161294021494e-05,0.0018065268183399875,negative,114
68,maccs_bit_68,-4.220242409898323e-05,4.220242409898323e-05,0.0016862882338346528,negative,115
91,maccs_bit_91,4.1227839434805104e-05,4.1227839434805104e-05,0.0016473466164473505,positive,116
11,maccs_bit_11,3.942767327274298e-05,3.942767327274298e-05,0.001575417122281024,positive,117
142,maccs_bit_142,-3.8518460660637646e-05,3.8518460660637646e-05,0.0015390875852323636,negative,118
113,maccs_bit_113,-3.577049293859019e-05,3.577049293859019e-05,0.0014292866499643424,negative,119
30,maccs_bit_30,-3.506738820950768e-05,3.506738820950768e-05,0.0014011925947739463,negative,120
46,maccs_bit_46,-3.4723020525213866e-05,3.4723020525213866e-05,0.0013874326464644478,negative,121
95,maccs_bit_95,-3.311146617942899e-05,3.311146617942899e-05,0.001323039541340716,negative,122
36,maccs_bit_36,-3.297313854845607e-05,3.297313854845607e-05,0.00131751236460848,negative,123
115,maccs_bit_115,3.27101920707196e-05,3.27101920707196e-05,0.0013070057749752567,positive,124
42,maccs_bit_42,3.27089657630791e-05,3.27089657630791e-05,0.0013069567752272708,positive,125
23,maccs_bit_23,-3.1967904343600806e-05,3.1967904343600806e-05,0.0012773460791856385,negative,126
