,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.01016084819940056
21,CC(C)CCS(=O)(=O)O,0,0.00905611744553714
90,O=S(=O)(O)CCO,0,0.017173569282993965
106,O=S(=O)(O)CO,0,0.00994089685492987
117,O=S(=O)(O)CCCCBr,0,0.00574438957323352
123,CCCCCCCCS(=O)(=O)O,0,0.011239174658247631
126,O=S(=O)(O)CCCCCO,0,0.010648552448346713
171,CCCCS(=O)(=O)O,0,0.009776706546444462
408,O=S(=O)(O)CS(=O)(=O)O,0,0.013807976155440086
480,CNCCS(=O)(=O)O,0,0.015708052555077148
802,O=C(O)CS(=O)(=O)O,0,0.013728319480325341
929,O=C(O)CCS(=O)(=O)O,0,0.011560162588397252
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.011239174658247631
1120,NCCS(=O)(=O)O,0,0.008257140723792758
1351,NCS(=O)(=O)O,0,0.00495496779926034
1370,CN(C)CCS(=O)(=O)O,0,0.0064333489564336
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.006001982160407271
2578,O=S(=O)(O)CCCCO,0,0.014262853040416827
2822,NCCCS(=O)(=O)O,0,0.00796368924035877
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0052274524820363315
3133,O=S(=O)(O)CCCO,0,0.011151032854771625
3292,CCCS(=O)(=O)O,0,0.010201058608524613
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.009030182778464034
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0059294707686178005
4183,O=S(=O)(O)CCS,0,0.017856526659109903
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.029415498236185972
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.005699999261613144
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.015347281153485605
5923,C[S+](C)CCS(=O)(=O)O,0,0.0172051384003172
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.013682916010115695
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.013003125408049472
6648,CC(=O)CCS(=O)(=O)O,0,0.01261950915732015
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.0710569475977541
17847,NCCCCCS(=O)(=O)O,0,0.0076046395473967215
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.019124497741669695
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.020742692365310202
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.020479153898710252
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.031219724672970926
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.00993659117053839
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.022169626499398725
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.016279279966714466
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.03987704679921668
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.05987114671573781
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.4098296067441256
