feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
116,ecfp4_bit_116,0.2506802114695931,0.2506802114695931,0.006986226840287865,positive,1
626,ecfp4_bit_626,0.23542233669416726,0.23542233669416726,0.006561003909219927,positive,2
350,ecfp4_bit_350,0.23159830762058056,0.23159830762058056,0.006454431737466462,positive,3
486,ecfp4_bit_486,0.22349298660655031,0.22349298660655031,0.006228543898592368,positive,4
650,ecfp4_bit_650,0.21110733404909285,0.21110733404909285,0.005883367157978818,positive,5
967,ecfp4_bit_967,0.21066340615573617,0.21066340615573617,0.005870995296053462,positive,6
392,ecfp4_bit_392,0.19749208263937232,0.19749208263937232,0.005503922628718899,positive,7
229,ecfp4_bit_229,0.19721200595428354,0.19721200595428354,0.0054961171492068335,positive,8
612,ecfp4_bit_612,0.18818209613152861,0.18818209613152861,0.005244461870956992,positive,9
304,ecfp4_bit_304,0.17155627864546108,0.17155627864546108,0.004781115635201238,positive,10
836,ecfp4_bit_836,0.17144333825234773,0.17144333825234773,0.004777968090362754,positive,11
314,ecfp4_bit_314,-0.1699861806035584,0.1699861806035584,0.004737358447436322,negative,12
875,ecfp4_bit_875,0.16595808860154226,0.16595808860154226,0.004625099229627869,positive,13
783,ecfp4_bit_783,0.15658770216686807,0.15658770216686807,0.004363955181479774,positive,14
831,ecfp4_bit_831,-0.1532467592664812,0.1532467592664812,0.004270846176880968,negative,15
287,ecfp4_bit_287,0.15183290885977055,0.15183290885977055,0.004231443466943842,positive,16
954,ecfp4_bit_954,0.1514050835839297,0.1514050835839297,0.004219520370152472,positive,17
716,ecfp4_bit_716,0.1478281604663803,0.1478281604663803,0.004119834814029105,positive,18
443,ecfp4_bit_443,0.14687514039585595,0.14687514039585595,0.00409327502154689,positive,19
164,ecfp4_bit_164,0.14125073509891736,0.14125073509891736,0.003936528020992776,positive,20
616,ecfp4_bit_616,0.14088920816723313,0.14088920816723313,0.003926452598051282,positive,21
452,ecfp4_bit_452,0.13947480156891115,0.13947480156891115,0.0038870343875657054,positive,22
434,ecfp4_bit_434,0.13903731307385667,0.13903731307385667,0.0038748419857460767,positive,23
644,ecfp4_bit_644,0.1389226122057189,0.1389226122057189,0.0038716453780884928,positive,24
547,ecfp4_bit_547,0.13822155363261174,0.13822155363261174,0.003852107520707001,positive,25
456,ecfp4_bit_456,0.13703621905811758,0.13703621905811758,0.0038190733367540457,positive,26
305,ecfp4_bit_305,0.13388947041469232,0.13388947041469232,0.003731376347416682,positive,27
692,ecfp4_bit_692,-0.13155503814102212,0.13155503814102212,0.0036663178678839757,negative,28
675,ecfp4_bit_675,0.12953157884139302,0.12953157884139302,0.0036099259190084513,positive,29
313,ecfp4_bit_313,0.1265893545128945,0.1265893545128945,0.003527928834143228,positive,30
114,ecfp4_bit_114,-0.12300013604334073,0.12300013604334073,0.0034279006178725754,negative,31
623,ecfp4_bit_623,0.12299215425799331,0.12299215425799331,0.0034276781728590634,positive,32
