,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,-1.2222304677076754
21,CC(C)CCS(=O)(=O)O,0,-0.6080324947315503
90,O=S(=O)(O)CCO,0,-0.8562419269695456
106,O=S(=O)(O)CO,0,-0.7157284896569311
117,O=S(=O)(O)CCCCBr,0,-0.2869777390046988
123,CCCCCCCCS(=O)(=O)O,0,-0.8714959745724432
126,O=S(=O)(O)CCCCCO,0,-0.8889720849127629
171,CCCCS(=O)(=O)O,0,-1.273720397356625
408,O=S(=O)(O)CS(=O)(=O)O,0,-0.5235203906229817
480,CNCCS(=O)(=O)O,0,-1.243501593071556
802,O=C(O)CS(=O)(=O)O,0,-1.4090886801547158
929,O=C(O)CCS(=O)(=O)O,0,-0.7796962983472622
1061,CCCCCCCCCCCCS(=O)(=O)O,0,-0.8714959745724432
1120,NCCS(=O)(=O)O,0,-0.44182304519230176
1351,NCS(=O)(=O)O,0,-0.981850693186961
1370,CN(C)CCS(=O)(=O)O,0,-1.2757845322384411
1960,C[N+](C)(C)CCS(=O)(=O)O,0,-1.0109056490100508
2578,O=S(=O)(O)CCCCO,0,-0.920874372030318
2822,NCCCS(=O)(=O)O,0,-1.1377456490169318
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,-0.9460841376374656
3133,O=S(=O)(O)CCCO,0,-0.9996905272081066
3292,CCCS(=O)(=O)O,0,-1.2551467369931402
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,-2.263326897455996
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,-2.373157320829435
4183,O=S(=O)(O)CCS,0,-0.8555934179140156
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,-1.140758584104335
5653,O=S(=O)(O)CCN(CCO)CCO,0,-0.38655372112859887
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,-1.1372916425327673
5923,C[S+](C)CCS(=O)(=O)O,0,-0.8414706195178367
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,-1.106108279782235
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,-0.8706653091550525
6648,CC(=O)CCS(=O)(=O)O,0,-1.161103911371824
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-1.1868000537449173
17847,NCCCCCS(=O)(=O)O,0,0.02529175642253456
10,CC(C)(CCC(=O)O)CCC(=O)O,0,-1.1654253753945045
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,-0.2936705147644627
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,-1.0294733488636827
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-0.732956977906003
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,-0.6383830640750638
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,-1.61922042106856
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,-0.9365493000981047
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-0.9491476334559823
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.11637897259301244
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.22623627966518178
16,NNP(=S)(NN)c1ccccc1,1,0.09562076963763522
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,-0.9307691811318306
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,-1.282335915077891
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,-1.4150104632096745
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,-0.9717878192147961
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,-1.0098781235376508
125,CCOC(C)CCCS(=O)(=O)O,0,-0.7693460008852424
1676,CC(O)CS(=O)(=O)O,0,-1.0001546317585759
23,CCCNP(=S)(NCCC)NCCC,0,-0.8112088135630728
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,-1.2419399214594986
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-2.4030790714587655
3720,CCOP(=O)(NC1CCCCC1)OCC,0,-1.6887758059370372
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-1.4867498128245584
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,-1.389036420457583
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,-1.6794604631662282
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,-0.807275476135164
26906,C#CCOC(=O)C=[N+]=[N-],0,-0.6168681252654766
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,-1.313537098277377
33528,[N-]=[N+]=CC(=O)OCCCCl,0,-1.703527154831418
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,-0.7798761320314811
34,Nc1nc(O)c2nn[nH]c2n1,0,-0.8742201228748666
13982,COc1nc(O)c2nn[nH]c2n1,0,-1.5692095022590236
33996,Oc1nc(Br)nc2[nH]nnc12,0,-0.36128520414964094
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,-1.9833863752093155
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,-1.0535333427603852
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,-2.039882179537184
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,-1.611112864594643
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,-1.8635950406263855
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,-1.07072678032946
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,-1.073756861452608
36,Nc1nc(S)c2nc[nH]c2n1,0,0.29064913468552156
37,Sc1ncnc2[nH]cnc12,0,-0.33934951256407153
1937,Nc1nnnc2[nH]cnc12,0,-1.5927405782787718
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,-0.7122309582203666
35936,Sc1nc(S)c2nc[nH]c2n1,0,-0.24023209984258287
781,Sc1nnc(S)c2[nH]cnc12,0,-0.36573862726697026
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,-0.6408521133128152
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,-0.3818338024650143
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,-1.1898867033535723
41,CCCCOB(OCCCC)OCCCC,0,-1.202639018859001
42,CCCCCOB(OCCCCC)OCCCCC,0,-1.0833128855022023
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,-1.9426871860625312
51,NC1(C(=O)O)CCCC1,0,-1.9222700235426462
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,-1.1853862467133434
4076,NC1(C(=O)O)CSSC1,0,-1.0692451776532237
53,CCOC(=S)SCCSC,0,0.035111206716398335
9721,CCOC(=S)SSC(=S)OCC,0,-0.8452301400695148
9722,CCOC(=S)SSSC(=S)OCC,0,-0.8408666950939456
58,CCCCCOC(=S)S,0,-1.293276149351291
288,CCCCOC(=S)SSC(=S)OCCCC,0,-1.4316906680141799
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,-1.4913962595873502
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,-1.3080010896818215
13095,CCCCCCCCCOC(=S)NC,0,-1.437176051021021
13096,CCCCCCCCCCCCOC(=S)NC,0,-1.437176051021021
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,-1.8043801640069677
13106,C=CCNC(=S)OCCCCCCCCCC,0,-1.8650898999104082
64,CCC(C)(C(=O)O)C(=O)O,0,-1.1087369044687791
94,CCC(CC)(C(=O)O)C(=O)O,0,-1.5109512698894672
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,-1.2862734984511446
65,CC(C)C(C(=O)O)C(=O)O,0,-1.0463266551590336
318,CC(CCC(C)C(=O)O)C(=O)O,0,-0.7767370390061756
66,CCOC(=O)C(=O)C1CCCCC1=O,0,-1.762628362452204
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,-1.6563581004943513
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,-0.7850095936627306
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,-0.6818651643275585
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,-1.7860487296862662
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,-0.7742201479328639
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,-0.7215198907086084
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,-1.36396127043297
1152,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,-2.4049451161812443
2738,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,0,-0.5970371220141161
9752,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,-1.36396127043297
19729,CCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCC,0,-0.7745945631012919
19730,CCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,0,-0.7745945631012919
19731,CCCCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,-0.7745945631012919
21674,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,0,-0.4933977837014647
24295,CCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCC,0,-0.7745945631012919
24296,CCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCC,0,-0.7745945631012919
40027,CCCCCCCCCCCC(=O)OCC(O)CO,0,-1.36396127043297
72,CC(C)OC(=S)SSC(=S)OC(C)C,0,-0.534968557759975
878,CC(C)OC(=S)SSC(=S)NCCNC(=S)SSC(=S)OC(C)C,0,-0.05542803756529002
6828,CCCCCCCCCCCCSSC(=S)OC(C)C,0,0.19511385501984635
9723,CC(C)OC(=S)SSSC(=S)OC(C)C,0,-0.5306051127844886
2987,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,-1.8455293084753936
17855,CCN(CC)C(=O)N1CCN(C=S)CC1,0,-1.3531551457159157
92,C1CCNCC1.S=C(S)N1CCCCC1,0,-0.5307349447367462
212,C1COCCN1.S=C(S)N1CCOCC1,0,-0.8339725871041288
570,S=C(S)N1CCNCC1,0,-0.5637740221183233
9906,S=C(SSC(=S)N1CCCCC1)N1CCCCC1,0,-0.180470937903364
25510,S=C(S)N1CCCCC1.[NaH],0,-0.3600449653371609
679,CCCCCCC(CC)(C(=O)O)C(=O)O,0,-1.6099185640429492
1047,CCC(C)C(CC)(C(=O)O)C(=O)O,0,-1.9742288002215456
3272,CCC(F)(C(N)=O)C(=O)O,0,-1.6883309816005858
9853,CCCC#CCC(CC#CCCC)(C(=O)O)C(=O)O,0,-1.7589579162490783
3371,CN(C(=O)c1ccccc1S)c1ccccc1,1,-0.31452891461618937
29686,CCOC(=O)C(CCCC(C(=O)OCC)C(=O)OCC)C(=O)OCC,0,-1.2703168182152065
101,C=C(C)CS(=O)(=O)O,0,-1.5248648957055821
6556,CC(C)(C)C(=O)CS(=O)(=O)O,0,-0.8895595058716222
6662,CNCS(=O)(=O)O,0,-1.5679114069555784
22718,Oc1cccc2c1NC1=C(CCCC1=Cc1ccccc1)C2,0,-2.005702499720721
1923,CCCCCC1OC1CC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC1OC1CCCCC,0,-0.5417528009255941
11305,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,-0.400338270865515
11837,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(COS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.13025163211031687
12236,CCCCCCC(C)CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(C)CCCCCC,0,-0.9719794017723593
12237,CCCCCCCCC(C)CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(C)CCCCCCCC,0,-0.9719794017723593
12238,CCCCCCCCCCC(C)CCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC(C)CCCCCCCCCC,0,-0.9719794017723593
12239,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)COCCOCCOCCOCCOCCOC)COP(=O)([O-])OCC[N+](C)(C)C,0,-1.1656433037695173
12241,CCCCCCCCCCCCCCCCCC(=O)OCC(CN(C)CCN(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0,-0.3476088077564785
13322,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCN)OC(=O)CCCN.O=C(O)C(F)(F)F,0,0.026028755152525562
13618,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],0,-1.1214691828111385
17319,CCCCCCCCCCCC(=O)OC(COC(N)=O)COc1ccc(Cl)cc1,0,-1.6492868110715222
21671,CCCCCCCC(=O)OC(CBr)COC(=O)C(C)(C)C,0,-1.2091224890714192
21672,CCCCCCCC(=O)OCC(COC(=O)C(C)(C)C)OC(=O)Cc1ccccc1,0,-0.33156006475183175
21673,CCCCCCCC(=O)OC(COC(=O)Cc1ccccc1)COC(=O)C(C)(C)C,0,-0.3246658654775947
21985,CCCCCCCCCCCCCCCCCCSCC(COP(=O)(O)OP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.[NaH],0,0.634343146315147
22265,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCC=CCCCCC.[NaH],0,0.16552352786520075
26648,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0,-0.5458348146563192
30683,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)CCC(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,-0.7876174059842238
39296,CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)CO[PH](=O)O,0,-1.168997052643368
110,Cc1cc(SCC(=O)c2ccccc2[N+](=O)[O-])cc(C)[o+]1,0,-0.4890956628569736
112,CCSC(SCC)C(O)C(O)C(O)C(O)C(O)C(O)CO,0,-1.1215571596234988
113,O=C(O)C(O)C(O)C(O)C(O)C(O)C(O)CO,0,-0.8511707140107491
2315,CCSC(CC(O)C(O)C(O)CO)SCC,0,-1.0447112195542652
1840,O=C(NNc1ccccc1)C(O)C(O)C(O)C(O)C(O)CO,0,-0.1721886474170562
2159,O=C(O)C(O)C(O)C(=O)O,0,-1.7774853438470406
124,CCOCCCCS(=O)(=O)O,0,-0.9467140412045302
4399,O=C(CBr)OCCCS(=O)(=O)O,0,-2.110492656112294
119,O=S(=O)(O)CC(S(=O)(=O)O)S(=O)(=O)O,0,-0.9571750222803806
457,CCC(N)CS(=O)(=O)O,0,-1.1933968963634767
1596,CC(CO)CS(=O)(=O)O,0,-1.2493433779291814
1703,O=S(=O)(O)CC(O)CCl,0,-1.415808144297837
4575,O=S(=O)(O)CC(O)CSSCC(O)CS(=O)(=O)O,0,-0.4252097872324433
6553,O=C(O)C(CS(=O)(=O)O)S(=O)(=O)O,0,-0.9913128565529341
9741,CSC(C)CS(=O)(=O)O,0,-0.13759399296379926
121,CCOC(=O)C(CCCCS(=O)(=O)O)C(=O)OCC,0,-1.0002003963671755
5028,CCCCCCCCCCCCS(=O)(=O)O.CCC[N+](C)(C)C,0,-1.6215237855246891
5981,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)O,0,-0.7900020948872504
6754,CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,0,-1.3514852794797685
283,CCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0,-1.4974081198972626
303,CCCCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0,-1.4974081198972626
1744,CCCCCCCCCCCCCCCCC(O)CS(=O)(=O)O,0,-1.5237405118357827
2309,CCCCCCCCCCCCCCCC(O)S(=O)(=O)O,0,-1.0921273634752415
3553,CCCCCCCCCCCC(=O)N(C)CCS(=O)(=O)O,0,-1.1966530522978025
4820,CCCCCCC(C)S(=O)(=O)O,0,-1.2436981050920872
6931,CCCC[Sn](CCCC)(CCCC)CS(=O)(=O)O,0,-2.6140859864249952
7691,CCCCCCCCCCCCCCCCNCCCS(=O)(=O)O,0,-0.9161538306872249
8870,CCCC[Sn](CCCC)(SCCS(=O)(=O)O)SCCS(=O)(=O)O.N=C(N)N,0,-1.0645105504619914
8873,CCCC[Sn](CCCC)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-1.1919715978822651
9798,CCCCCCCCCCCC(O)S(=O)(=O)O,0,-1.0921273634752415
18334,CCCCCCCCCCOCC(COCCOCC(COCCCCCCCCCC)OCCCS(=O)(=O)O)OCCCS(=O)(=O)O.[NaH],0,-1.2198343210442422
10401,O=S(=O)(O)CCCNC(CO)(CO)CO,0,-0.5385990337316471
127,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0,-1.0117556457378738
357,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,0,-1.1596138248647425
776,CN(CCN(C)CC(=O)O)CC(=O)O,0,-1.5962254235607745
2052,O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O,0,-0.9320710575094564
10609,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,0,-1.5552075280144646
3780,O=C1c2ccccc2C(=O)N1OCCCCON1C(=O)c2ccccc2C1=O,0,-1.2604433096078882
4425,O=C1c2ccccc2C(=O)N1CSS(=O)(=O)O.c1ccncc1,0,-0.22856068961344267
13942,O=C1c2c(c3c4ccccc4n4c3c3c2c2ccccc2n3CC=CC4)C(=O)N1Cc1ccccc1,0,-0.6762920652791784
28834,O=C1CCCSC(=O)N1Cc1ccccc1,0,-0.7555841681652952
11855,O=C1C(=Cc2cc(O)c(O)c(O)c2)Oc2cc(O)cc(OC3OC(CO)C(O)C(O)C3O)c21,0,0.4942692631710124
7632,CC(C)(CO)C(O)C(=O)NCCCO,0,-1.4073494746315347
9425,CC(C)(CO)NCC(O)CS(=O)(=O)O,0,-1.2988425690778944
808,O=c1cc(Cl)c(=O)n(-c2ccccc2)[nH]1,0,-1.2650085764426189
26343,NNc1c(Cl)c(=O)n(-c2ccccc2)[nH]c1=O,0,-2.0149031840237246
35905,O=C(O)c1cnccc1-c1cc(=O)[nH]n1-c1ccccc1,0,-0.059160830256043795
3559,CCN(CC)C(=S)SCCCS(=O)(=O)O,0,-0.6367207721516334
8872,CC[Sn](CC)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-0.9139494244868741
9110,CC(C)(C)c1noc2c1C(=O)c1ccccc1-2,0,-1.3915006206692617
