,smiles,value,preds
0,O=S(=O)(O)CCS(=O)(=O)O,0,-0.9996740817781312
1,CC(C)CCS(=O)(=O)O,0,-1.0532076938517816
2,O=S(=O)(O)CCO,0,-0.9999071939112306
3,O=S(=O)(O)CO,0,-0.9873612790677962
4,O=S(=O)(O)CCCCBr,0,-1.0677759810973257
5,CCCCCCCCS(=O)(=O)O,0,-1.156543151115168
6,O=S(=O)(O)CCCCCO,0,-1.1442624553619067
7,CCCCS(=O)(=O)O,0,-1.1084040154788444
8,O=S(=O)(O)CS(=O)(=O)O,0,-0.9726395600908238
9,CNCCS(=O)(=O)O,0,-0.6525469031771602
10,O=C(O)CS(=O)(=O)O,0,-1.0377185314628332
11,O=C(O)CCS(=O)(=O)O,0,-1.1729366502998027
12,CCCCCCCCCCCCS(=O)(=O)O,0,-1.156543151115168
13,NCCS(=O)(=O)O,0,-1.0038188265872965
14,NCS(=O)(=O)O,0,-0.9555147194918776
15,CN(C)CCS(=O)(=O)O,0,-0.9540719956710507
16,C[N+](C)(C)CCS(=O)(=O)O,0,-1.0013188024055688
17,O=S(=O)(O)CCCCO,0,-1.0940206534813943
18,NCCCS(=O)(=O)O,0,-1.1276036198275612
19,C[Si](C)(C)CCCS(=O)(=O)O,0,-1.2358693607976425
20,O=S(=O)(O)CCCO,0,-1.1001332520306102
21,CCCS(=O)(=O)O,0,-1.0324229130077625
22,C[N+](C)(C)CCCS(=O)(=O)O,0,-1.1198754399540845
23,CS(=O)(=O)OCCCS(=O)(=O)O,0,-1.13465702480398
24,O=S(=O)(O)CCS,0,-1.0035331214254792
25,CS(=O)(=O)SCCCS(=O)(=O)O,0,-1.00010087093637
26,O=S(=O)(O)CCN(CCO)CCO,0,-0.999889371076944
27,C[SH](C)(=O)CCCS(=O)(=O)O,0,-1.10405281989868
28,C[S+](C)CCS(=O)(=O)O,0,-1.0864141587290401
29,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,-1.136514653402576
30,O=S(=O)(O)CCCCS(=O)(=O)O,0,-1.021246321956165
31,CC(=O)CCS(=O)(=O)O,0,-0.999872403035894
32,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-0.9999527517411577
33,NCCCCCS(=O)(=O)O,0,-1.1264652380932731
34,CC(C)(CCC(=O)O)CCC(=O)O,0,-1.1462175815334765
35,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,-1.102746490784849
36,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,-1.1632064324121278
37,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.1910133201536772
38,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,-1.025715029138939
39,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,-1.040040553392722
40,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,-0.9996784153660123
41,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.246258846539299
42,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,-0.6366928122709006
43,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,1.0002406013255256
44,NNP(=S)(NN)c1ccccc1,1,1.0002486017987615
45,C=CP(=S)(c1ccccc1)c1ccccc1,0,-0.90227721047159
46,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,-0.9739959026017253
47,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,-0.9998141599992003
48,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,-0.9743856602254077
49,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,-0.8287039330190191
50,CCOC(C)CCCS(=O)(=O)O,0,-1.0804091203583204
51,CC(O)CS(=O)(=O)O,0,-1.023723170907598
52,CCCNP(=S)(NCCC)NCCC,0,-0.999860245143638
53,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,-1.116144132264421
54,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-0.9999237273673105
55,CCOP(=O)(NC1CCCCC1)OCC,0,-1.1796173137549113
