,smiles,value,preds
0,O=S(=O)(O)CCS(=O)(=O)O,0,-1.1082469331372975
1,CC(C)CCS(=O)(=O)O,0,-0.9996117729260569
2,O=S(=O)(O)CCO,0,-1.078323209825719
3,O=S(=O)(O)CO,0,-1.144619864837078
4,O=S(=O)(O)CCCCBr,0,-1.0038975246815856
5,CCCCCCCCS(=O)(=O)O,0,-1.10132338068096
6,O=S(=O)(O)CCCCCO,0,-1.139033756133636
7,CCCCS(=O)(=O)O,0,-1.1354521245782483
8,O=S(=O)(O)CS(=O)(=O)O,0,-1.1147865159840245
9,CNCCS(=O)(=O)O,0,-1.0373450906823871
10,O=C(O)CS(=O)(=O)O,0,-1.1517697549898558
11,O=C(O)CCS(=O)(=O)O,0,-1.089408387992354
12,CCCCCCCCCCCCS(=O)(=O)O,0,-1.10132338068096
13,NCCS(=O)(=O)O,0,-1.0559998198446894
14,NCS(=O)(=O)O,0,-1.1912036988488253
15,CN(C)CCS(=O)(=O)O,0,-1.032419218506967
16,C[N+](C)(C)CCS(=O)(=O)O,0,-1.0430710625496857
17,O=S(=O)(O)CCCCO,0,-1.1277816905610254
18,NCCCS(=O)(=O)O,0,-1.134058876640063
19,C[Si](C)(C)CCCS(=O)(=O)O,0,-1.1258732608287523
20,O=S(=O)(O)CCCO,0,-1.1059412449367954
21,CCCS(=O)(=O)O,0,-1.0202470845596907
22,C[N+](C)(C)CCCS(=O)(=O)O,0,-1.145634883450569
23,CS(=O)(=O)OCCCS(=O)(=O)O,0,-1.2387961924966544
24,O=S(=O)(O)CCS,0,-1.0206647938759148
25,CS(=O)(=O)SCCCS(=O)(=O)O,0,-1.117352558844642
26,O=S(=O)(O)CCN(CCO)CCO,0,-1.0104757671007216
27,C[SH](C)(=O)CCCS(=O)(=O)O,0,-1.1006655938650298
28,C[S+](C)CCS(=O)(=O)O,0,-1.0352484012282013
29,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,-1.0969265537634416
30,O=S(=O)(O)CCCCS(=O)(=O)O,0,-1.0909814135929143
31,CC(=O)CCS(=O)(=O)O,0,-1.0982199063974392
32,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-1.0386334410686158
33,NCCCCCS(=O)(=O)O,0,-0.9997207082160469
34,CC(C)(CCC(=O)O)CCC(=O)O,0,-1.1432070367564071
35,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,-0.9996991732457998
36,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,-1.1274311504386327
37,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.0904557493873932
38,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,-1.0477117612759566
39,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,-1.0428619200690403
40,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,-1.100809131753194
41,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.04197797355215
42,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,-1.0001478523447334
43,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,-0.33308949701431695
44,NNP(=S)(NN)c1ccccc1,1,-0.7841445564674059
45,C=CP(=S)(c1ccccc1)c1ccccc1,0,-1.0778103840796243
46,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,-1.0624700089694898
47,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,-1.0477906039134146
48,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,-1.1742095497786171
49,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,-1.04595527822319
50,CCOC(C)CCCS(=O)(=O)O,0,-1.0696937318933688
51,CC(O)CS(=O)(=O)O,0,-1.025895208544942
52,CCCNP(=S)(NCCC)NCCC,0,-1.1029033466815825
53,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,-1.1714038703371719
54,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-1.3029830938713542
55,CCOP(=O)(NC1CCCCC1)OCC,0,-1.237724816164668
56,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-1.3557724528490578
57,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,-1.1468425190201064
58,CC(C)(C)C#COC(=O)c1ccccc1,0,-1.2874462649972358
59,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,-1.0182514696158873
60,C#CCOC(=O)C=[N+]=[N-],0,-1.0169108116260035
61,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,-0.9997622935353001
62,[N-]=[N+]=CC(=O)OCCCCl,0,-1.100926049255663
63,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,-1.0367134875277952
64,Nc1nc(O)c2nn[nH]c2n1,0,-1.1056389311049828
65,COc1nc(O)c2nn[nH]c2n1,0,-1.1441128804116563
66,Oc1nc(Br)nc2[nH]nnc12,0,-1.032157308116668
67,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,-1.2924433695179791
68,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,-1.1434508088065118
69,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,-1.2755764842731185
70,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,-1.2059064136106123
71,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,-1.2188475627262332
72,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,-1.1875326640344983
73,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,-1.157325183045626
74,Nc1nc(S)c2nc[nH]c2n1,0,-1.000092964027445
75,Sc1ncnc2[nH]cnc12,0,-1.0000610717017422
76,Nc1nnnc2[nH]cnc12,0,-1.0988170059970574
