,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.011651920367194386
21,CC(C)CCS(=O)(=O)O,0,0.009237075400173014
90,O=S(=O)(O)CCO,0,0.009638912798525651
106,O=S(=O)(O)CO,0,0.020136884387167455
117,O=S(=O)(O)CCCCBr,0,0.0043443609982838655
123,CCCCCCCCS(=O)(=O)O,0,0.013092554757572898
126,O=S(=O)(O)CCCCCO,0,0.010189742514581105
171,CCCCS(=O)(=O)O,0,0.018909748119001018
408,O=S(=O)(O)CS(=O)(=O)O,0,0.022125320090273994
480,CNCCS(=O)(=O)O,0,0.025487434928314845
802,O=C(O)CS(=O)(=O)O,0,0.010884462105695164
929,O=C(O)CCS(=O)(=O)O,0,0.006770679818742522
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.013092554757572898
1120,NCCS(=O)(=O)O,0,0.006393863295155807
1351,NCS(=O)(=O)O,0,0.01620895577655388
1370,CN(C)CCS(=O)(=O)O,0,0.028287783464842595
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.027144383711956536
2578,O=S(=O)(O)CCCCO,0,0.011053605257751167
2822,NCCCS(=O)(=O)O,0,0.008329541128262707
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.008808905069066312
3133,O=S(=O)(O)CCCO,0,0.009507180767333846
3292,CCCS(=O)(=O)O,0,0.013679995880732139
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.016434832544451897
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.005937609101976395
4183,O=S(=O)(O)CCS,0,0.010822247905176328
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.010700015604974893
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.01742264788919207
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.014790306102463851
5923,C[S+](C)CCS(=O)(=O)O,0,0.015642333996369846
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.022870073897714876
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.011741052178203131
6648,CC(=O)CCS(=O)(=O)O,0,0.010178143292091574
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.01443690211339843
17847,NCCCCCS(=O)(=O)O,0,0.007739146095413783
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.006940075813285774
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.008324464304758977
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.01085427543406863
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.015489540706246144
