,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.02037032224686824
21,CC(C)CCS(=O)(=O)O,0,0.02288588573733995
90,O=S(=O)(O)CCO,0,0.02332783167356657
106,O=S(=O)(O)CO,0,0.025164925046068858
117,O=S(=O)(O)CCCCBr,0,0.02251291844021756
123,CCCCCCCCS(=O)(=O)O,0,0.023520124599341042
126,O=S(=O)(O)CCCCCO,0,0.022636656341568626
171,CCCCS(=O)(=O)O,0,0.0230269134064086
408,O=S(=O)(O)CS(=O)(=O)O,0,0.022121017769581863
480,CNCCS(=O)(=O)O,0,0.023909748679123766
802,O=C(O)CS(=O)(=O)O,0,0.02396192470182752
929,O=C(O)CCS(=O)(=O)O,0,0.02261719492130021
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.023699428182390955
1120,NCCS(=O)(=O)O,0,0.023041584401927127
1351,NCS(=O)(=O)O,0,0.0249266892879197
1370,CN(C)CCS(=O)(=O)O,0,0.023717564856089723
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.02388536451862842
2578,O=S(=O)(O)CCCCO,0,0.022655920961591077
2822,NCCCS(=O)(=O)O,0,0.02258236640301267
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.02415586002992028
3133,O=S(=O)(O)CCCO,0,0.022834880727942455
3292,CCCS(=O)(=O)O,0,0.02313975665616922
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.0235361895226323
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.01954629293835837
4183,O=S(=O)(O)CCS,0,0.024828306035820646
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.023441210616260685
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.02201749735113992
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.024604435104034365
5923,C[S+](C)CCS(=O)(=O)O,0,0.02344177971633751
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.018696585044159355
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.019217798740711754
6648,CC(=O)CCS(=O)(=O)O,0,0.02238806534437874
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.023563838032833826
