feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
1328,ecfp4_bit_1328,0.01689654216170311,,False,0.016896541837514226,4,0.0030763609893438458,0.00015636191665379978,average_precision,test,10,1
486,ecfp4_bit_486,0.0028906555380672216,,False,0.0028906554826050816,52,0.0028510714622459995,0.000381396194054789,average_precision,test,10,2
612,ecfp4_bit_612,0.0029044633265584707,,False,0.0029044632708314045,51,0.0028380932303905433,0.00020936976617601808,average_precision,test,10,3
1391,ecfp4_bit_1391,0.00818670354783535,,False,0.008186703390759525,11,0.0027034322036173153,0.00023281538003930302,average_precision,test,10,4
4,ecfp4_bit_4,0.02429761365056038,,False,0.02429761318436936,3,0.0025794829885038015,0.00012797522054305068,average_precision,test,10,5
616,ecfp4_bit_616,0.0010775966802611947,,False,0.0010775966595856707,254,0.0024309775509555693,0.00044798907488932286,average_precision,test,10,6
1311,ecfp4_bit_1311,0.002053169533610344,,False,0.0020531694942167965,90,0.0022490258925989244,0.0007591800730606502,average_precision,test,10,7
443,ecfp4_bit_443,0.005310866050422192,,False,0.005310865948524199,21,0.002222764921479426,0.00027716374360439093,average_precision,test,10,8
1991,ecfp4_bit_1991,0.003560993354767561,,False,0.00356099328644385,36,0.002210578542941264,0.00027298213538495055,average_precision,test,10,9
656,ecfp4_bit_656,0.0005877871299162507,,False,0.0005877871186385555,538,0.0018274665381937123,0.0007071022623381264,average_precision,test,10,10
229,ecfp4_bit_229,0.005900266580283642,,False,0.005900266467076998,17,0.0018075520691774496,0.0003385520910719012,average_precision,test,10,11
1921,ecfp4_bit_1921,0.0034600228536874056,,False,0.003460022787300986,38,0.0016901406172038966,0.0005029131498255884,average_precision,test,10,12
116,ecfp4_bit_116,0.002050019335001707,,False,0.0020500192956686013,91,0.001586548446912455,0.00036307399486719443,average_precision,test,10,13
1807,ecfp4_bit_1807,0.0024871923960745335,,False,0.0024871923483535193,69,0.001560690700081229,0.0002079380425848111,average_precision,test,10,14
875,ecfp4_bit_875,0.0017685580532997847,,False,0.001768558019366992,112,0.0013812347447170726,0.0012581269203640697,average_precision,test,10,15
456,ecfp4_bit_456,0.004738754592835903,,False,0.004738754501914841,28,0.0013161532801158776,0.00012576310818653534,average_precision,test,10,16
1060,ecfp4_bit_1060,0.001011532498523593,,False,0.0010115324791156225,295,0.0011325648555354638,0.00029246403539165693,average_precision,test,10,17
1027,ecfp4_bit_1027,0.001993980258703232,,False,0.001993980220445331,94,0.0010643049590055818,0.0010817417396339843,average_precision,test,10,18
1771,ecfp4_bit_1771,0.0024410884361714125,,False,0.0024410883893349815,70,0.0008437055728821703,0.00014301724556855828,average_precision,test,10,19
114,ecfp4_bit_114,0.0029931305907666683,,False,0.00299313053333837,49,0.0007475318141156193,0.0003257989056887669,average_precision,test,10,20
1968,ecfp4_bit_1968,0.002488513942807913,,False,0.0024885138950615426,68,0.0006945670167175829,1.6519299783783476e-05,average_precision,test,10,21
1458,ecfp4_bit_1458,0.003461388172581792,,False,0.003461388106169176,37,0.0006441903914273794,0.00044998591272802925,average_precision,test,10,22
864,ecfp4_bit_864,0.0014822165248915553,,False,0.0014822164964527118,150,0.0006091772021440976,0.00019897832951478662,average_precision,test,10,23
378,ecfp4_bit_378,0.001044151489622891,,False,0.0010441514695890698,275,0.0005948389502292935,0.00026138152874533477,average_precision,test,10,24
1114,ecfp4_bit_1114,0.0006775186047889292,,False,0.000677518591789583,508,0.0005846577164854989,0.00028396007012692465,average_precision,test,10,25
564,ecfp4_bit_564,0.0009166610543616116,,False,0.0009166610367739111,358,0.0005817777338298781,0.00012917907605914395,average_precision,test,10,26
1970,ecfp4_bit_1970,0.0006909051444381475,,False,0.0006909051311819579,499,0.0005630228090772245,0.000131692706902622,average_precision,test,10,27
1753,ecfp4_bit_1753,0.0011072925990447402,,False,0.0011072925777994495,243,0.0005398367226383948,0.00024396248904872179,average_precision,test,10,28
1088,ecfp4_bit_1088,0.0005217716679908335,,False,0.0005217716579797571,554,0.0005252099007030588,0.00018642992954451734,average_precision,test,10,29
1057,ecfp4_bit_1057,0.0005919387331232429,,False,0.000591938721765892,536,0.0005063243152095449,0.00031892778802179256,average_precision,test,10,30
1457,ecfp4_bit_1457,0.0017029739683493972,,False,0.0017029739356749468,122,0.00048822207631768477,0.00024820623908159735,average_precision,test,10,31
498,ecfp4_bit_498,0.0012425052700564265,,False,0.0012425052462168508,203,0.00048548928358392585,0.00020777668496703146,average_precision,test,10,32
666,ecfp4_bit_666,0.0013158987276256084,,False,0.0013158987023778545,176,0.0004769691004841238,0.00013438038535457534,average_precision,test,10,33
1028,ecfp4_bit_1028,0.0017065162537619472,,False,0.001706516221019532,120,0.0004755063755754123,0.0005078681338594424,average_precision,test,10,34
231,ecfp4_bit_231,0.000925007916521281,,False,0.0009250078987734317,350,0.0004720504324313646,0.00017649591082314055,average_precision,test,10,35
930,ecfp4_bit_930,0.0022653723135590553,,False,0.002265372270094037,79,0.00047158065637225856,0.0002459670824139214,average_precision,test,10,36
623,ecfp4_bit_623,0.0012556753354147077,,False,0.001255675311322442,199,0.00045147962514424655,0.00017459254795186913,average_precision,test,10,37
1447,ecfp4_bit_1447,0.0025995224714279175,,False,0.00259952242155166,62,0.0004281038875549849,8.966046516942084e-05,average_precision,test,10,38
325,ecfp4_bit_325,0.0020798402838408947,,False,0.0020798402439356233,88,0.0004267944837571695,0.0004313706566728955,average_precision,test,10,39
1349,ecfp4_bit_1349,0.0016276747919619083,,False,0.0016276747607322007,130,0.000421126002844794,0.00020149444959284657,average_precision,test,10,40
1171,ecfp4_bit_1171,0.001002214034087956,,False,0.001002214014858776,300,0.00038871166982489545,0.0001568145458082399,average_precision,test,10,41
1498,ecfp4_bit_1498,0.0012071459786966443,,False,0.0012071459555354968,213,0.000383212640472165,0.00022594169608302868,average_precision,test,10,42
181,ecfp4_bit_181,0.03125237300992012,,False,0.03125237241029022,2,0.00038186841081531975,3.450667161880186e-05,average_precision,test,10,43
1163,ecfp4_bit_1163,0.0017834939062595367,,False,0.0017834938720401744,108,0.00037693172887010435,0.00033034026305886856,average_precision,test,10,44
173,ecfp4_bit_173,0.0009656003094278276,,False,0.0009656002909011443,322,0.00036533002065827075,0.00021532319198925767,average_precision,test,10,45
255,ecfp4_bit_255,0.0009445811156183481,,False,0.0009445810974949537,337,0.00036112905716345763,0.0002223982715963309,average_precision,test,10,46
281,ecfp4_bit_281,0.001265383092686534,,False,0.0012653830684080083,195,0.00035839193253489057,0.00026708048640246296,average_precision,test,10,47
1312,ecfp4_bit_1312,0.001162710483185947,,False,0.0011627104608773699,226,0.000355094860627337,0.00027881063450946965,average_precision,test,10,48
1911,ecfp4_bit_1911,0.002142067067325115,,False,0.0021420670262259174,82,0.0003501170645115334,0.00011494971107530821,average_precision,test,10,49
1213,ecfp4_bit_1213,0.0015467582270503044,,False,0.0015467581973731186,143,0.00033904192641809745,0.0001534499393545009,average_precision,test,10,50
1578,ecfp4_bit_1578,0.0010325487237423658,,False,0.0010325487039311635,282,0.00033722290156619483,0.00026558284621907023,average_precision,test,10,51
81,ecfp4_bit_81,0.001063607051037252,,False,0.0010636070306301428,260,0.0003350626607747202,0.00016030616233502176,average_precision,test,10,52
1660,ecfp4_bit_1660,0.0010213565547019243,,False,0.0010213565351054627,288,0.0003342911828763895,0.0001120870893735338,average_precision,test,10,53
1047,ecfp4_bit_1047,0.0024992485996335745,,False,0.002499248551681242,67,0.00031999132863480274,6.823431061503545e-05,average_precision,test,10,54
1199,ecfp4_bit_1199,0.000795511354226619,,False,0.0007955113389633814,437,0.0003000898837467438,0.00018954902540036685,average_precision,test,10,55
216,ecfp4_bit_216,0.0011968296021223068,,False,0.0011968295791590965,216,0.0002846932921584208,0.0003814531608181943,average_precision,test,10,56
13,ecfp4_bit_13,0.001265580183826387,,False,0.0012655801595440799,194,0.0002661497569500376,0.00017444219249554874,average_precision,test,10,57
1803,ecfp4_bit_1803,0.0005401497473940253,,False,0.0005401497370303342,549,0.00026436652951645627,8.982130680695932e-05,average_precision,test,10,58
185,ecfp4_bit_185,0.0020303651690483093,,False,0.002030365130092302,93,0.00026038532843912916,0.00010249387059416418,average_precision,test,10,59
323,ecfp4_bit_323,0.0010021418565884233,,False,0.0010021418373606283,301,0.00025851110755263016,0.0002327810881498852,average_precision,test,10,60
2017,ecfp4_bit_2017,0.0007697544060647488,,False,0.000769754391295702,453,0.00024337203916020012,0.0001806044799101672,average_precision,test,10,61
1001,ecfp4_bit_1001,0.002335242461413145,,False,0.0023352424166075488,76,0.0002361559622456065,0.0001415923136835732,average_precision,test,10,62
133,ecfp4_bit_133,0.007088265381753445,,False,0.0070882652457530245,15,0.00023580026924324842,1.8958493852595286e-05,average_precision,test,10,63
1026,ecfp4_bit_1026,0.0017855792539194226,,False,0.0017855792196600495,107,0.00022671510938833682,0.00019682521659183187,average_precision,test,10,64
322,ecfp4_bit_322,0.0015304137486964464,,False,0.0015304137193328572,145,0.0002230152447802246,0.00024273628571742673,average_precision,test,10,65
1990,ecfp4_bit_1990,0.0020929123274981976,,False,0.002092912287342117,87,0.0002215808615108776,0.00015804291030414077,average_precision,test,10,66
789,ecfp4_bit_789,0.0009428250486962497,,False,0.0009428250306065485,338,0.000220823837625609,4.476630724453619e-05,average_precision,test,10,67
1750,ecfp4_bit_1750,0.00034685852006077766,,False,0.00034685851340570734,582,0.00021361185584364422,0.00022143554439282427,average_precision,test,10,68
1634,ecfp4_bit_1634,0.000824371469207108,,False,0.0008243714533901401,425,0.0002104169414534819,0.00019232712507684233,average_precision,test,10,69
998,ecfp4_bit_998,0.0013413348933681846,,False,0.0013413348676323945,175,0.00020923491153491402,9.453993676451516e-05,average_precision,test,10,70
1738,ecfp4_bit_1738,0.0013061970239505172,,False,0.0013061969988889068,180,0.00020231423398858127,0.00021667313354255724,average_precision,test,10,71
1657,ecfp4_bit_1657,0.0008597839041613042,,False,0.0008597838876648886,394,0.00020171906312875938,0.00014163759092946455,average_precision,test,10,72
1146,ecfp4_bit_1146,0.001361331669613719,,False,0.001361331643494257,172,0.000196994750379368,0.00014223219540319417,average_precision,test,10,73
205,ecfp4_bit_205,0.0009698697831481695,,False,0.0009698697645395691,319,0.00019637336238318912,0.00034478444240774114,average_precision,test,10,74
979,ecfp4_bit_979,0.0014205259503796697,,False,0.0014205259231244646,158,0.00019534553612529163,0.00033129384449021623,average_precision,test,10,75
2,ecfp4_bit_2,0.001059881178662181,,False,0.0010598811583265588,262,0.0001908180948992172,0.00019533278938146787,average_precision,test,10,76
926,ecfp4_bit_926,0.0006930332747288048,,False,0.0006930332614317834,498,0.000189564786987656,0.0004020269932747425,average_precision,test,10,77
1923,ecfp4_bit_1923,0.001218952238559723,,False,0.0012189522151720522,211,0.00018872936085494592,9.085453166624569e-05,average_precision,test,10,78
1453,ecfp4_bit_1453,0.000848322466481477,,False,0.0008483224502049685,403,0.00018727482561867737,0.00041404782954315494,average_precision,test,10,79
1049,ecfp4_bit_1049,0.0010490076383575797,,False,0.001049007618230585,269,0.00018583504925249878,0.0005071563528573529,average_precision,test,10,80
1368,ecfp4_bit_1368,0.0014364223461598158,,False,0.0014364223185996115,155,0.00018460623041934853,0.0001780296131590134,average_precision,test,10,81
857,ecfp4_bit_857,0.0025190319865942,,False,0.0025190319382622896,64,0.00018454665174460482,0.00019254250401925981,average_precision,test,10,82
