,smiles,value,preds
0,O=S(=O)(O)CCS(=O)(=O)O,0,0.010660107
1,CC(C)CCS(=O)(=O)O,0,0.011682655
2,O=S(=O)(O)CCO,0,0.010660107
3,O=S(=O)(O)CO,0,0.010660107
4,O=S(=O)(O)CCCCBr,0,0.01596336
5,CCCCCCCCS(=O)(=O)O,0,0.01189103
6,O=S(=O)(O)CCCCCO,0,0.014802735
7,CCCCS(=O)(=O)O,0,0.0104248095
8,O=S(=O)(O)CS(=O)(=O)O,0,0.010660107
9,CNCCS(=O)(=O)O,0,0.011579158
10,O=C(O)CS(=O)(=O)O,0,0.009903444
11,O=C(O)CCS(=O)(=O)O,0,0.012834166
12,CCCCCCCCCCCCS(=O)(=O)O,0,0.01189103
13,NCCS(=O)(=O)O,0,0.020376543
14,NCS(=O)(=O)O,0,0.010660107
15,CN(C)CCS(=O)(=O)O,0,0.009202146
16,C[N+](C)(C)CCS(=O)(=O)O,0,0.010901952
17,O=S(=O)(O)CCCCO,0,0.014802735
18,NCCCS(=O)(=O)O,0,0.014494082
19,C[Si](C)(C)CCCS(=O)(=O)O,0,0.01186651
20,O=S(=O)(O)CCCO,0,0.010660107
21,CCCS(=O)(=O)O,0,0.011301078
22,C[N+](C)(C)CCCS(=O)(=O)O,0,0.010901952
23,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0076646744
24,O=S(=O)(O)CCS,0,0.018463643
25,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.021227311
26,O=S(=O)(O)CCN(CCO)CCO,0,0.0098775
27,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.010901952
28,C[S+](C)CCS(=O)(=O)O,0,0.012241771
29,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.009883023
30,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.014802735
31,CC(=O)CCS(=O)(=O)O,0,0.014706197
32,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.026691843
33,NCCCCCS(=O)(=O)O,0,0.026912596
34,CC(C)(CCC(=O)O)CCC(=O)O,0,0.006277135
35,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.006048127
36,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.0051247254
37,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0059942952
38,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.006721289
39,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.005595934
40,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.0056733796
41,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.007095726
42,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.05799038
43,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.11965621
44,NNP(=S)(NN)c1ccccc1,1,0.022458792
45,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.0117383255
46,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.0075900564
47,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.013529883
48,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.010763167
49,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.02757477
50,CCOC(C)CCCS(=O)(=O)O,0,0.01045666
51,CC(O)CS(=O)(=O)O,0,0.011778898
52,CCCNP(=S)(NCCC)NCCC,0,0.012108282
53,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.0076485593
54,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.004483998
55,CCOP(=O)(NC1CCCCC1)OCC,0,0.0059372773
56,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.0061675864
57,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.0116136065
58,CC(C)(C)C#COC(=O)c1ccccc1,0,0.0055730185
59,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.0071050883
60,C#CCOC(=O)C=[N+]=[N-],0,0.0133772455
61,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.005548488
62,[N-]=[N+]=CC(=O)OCCCCl,0,0.0059945253
63,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.01001802
64,Nc1nc(O)c2nn[nH]c2n1,0,0.008335703
65,COc1nc(O)c2nn[nH]c2n1,0,0.009918904
66,Oc1nc(Br)nc2[nH]nnc12,0,0.010572115
67,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.0069680763
68,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.016104188
69,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.008695369
70,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.011030614
71,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.0069680763
72,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.007346682
73,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.016792282
74,Nc1nc(S)c2nc[nH]c2n1,0,0.07267587
75,Sc1ncnc2[nH]cnc12,0,0.05950914
76,Nc1nnnc2[nH]cnc12,0,0.011833605
77,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.011423948
78,Sc1nc(S)c2nc[nH]c2n1,0,0.067476146
79,Sc1nnc(S)c2[nH]cnc12,0,0.054212153
80,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.0107795065
81,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.025739376
82,Sc1ncnc2c1ccc1[nH]cnc12,0,0.07164529
83,CCCCOB(OCCCC)OCCCC,0,0.009451309
84,CCCCCOB(OCCCCC)OCCCCC,0,0.008177202
85,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.0046369554
86,NC1(C(=O)O)CCCC1,0,0.008482845
87,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.008449549
88,NC1(C(=O)O)CSSC1,0,0.017563112
89,CCOC(=S)SCCSC,0,0.021418363
90,CCOC(=S)SSC(=S)OCC,0,0.012151852
91,CCOC(=S)SSSC(=S)OCC,0,0.01793315
92,CCCCCOC(=S)S,0,0.008826306
93,CCCCOC(=S)SSC(=S)OCCCC,0,0.0108394055
94,CCCCCCCCCCCCOC(=N)N(C)C,0,0.004209953
95,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.013860983
96,CCCCCCCCCOC(=S)NC,0,0.0048500174
97,CCCCCCCCCCCCOC(=S)NC,0,0.0048500174
98,CCCCCCCCCCCOC(=S)NC(C)C,0,0.004597703
99,C=CCNC(=S)OCCCCCCCCCC,0,0.0039803297
100,CCC(C)(C(=O)O)C(=O)O,0,0.0058314763
101,CCC(CC)(C(=O)O)C(=O)O,0,0.0058314763
102,CCC(CC)(CC(=O)O)CC(=O)O,0,0.0048936675
103,CC(C)C(C(=O)O)C(=O)O,0,0.009971969
104,CC(CCC(C)C(=O)O)C(=O)O,0,0.0136670135
105,CCOC(=O)C(=O)C1CCCCC1=O,0,0.0100791715
106,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.011090999
107,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.013282759
108,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.017635489
109,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.008374717
110,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.04718349
111,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,0.012778357
