feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
44,maccs_bit_44,0.012580293230712414,,False,0.012580293661286861,10,0.05866898915237721,0.00573772385992389,average_precision,test,10,1
131,maccs_bit_131,0.011235285550355911,,False,0.011235285934895983,15,0.03636191032890721,0.0037666317892404463,average_precision,test,10,2
166,maccs_bit_166,0.0050729187205433846,,False,0.005072918894169638,82,0.02972566458130832,0.0020086977051981276,average_precision,test,10,3
150,maccs_bit_150,0.028922049328684807,,False,0.028922050318573925,3,0.028789915776584397,0.010799238620064565,average_precision,test,10,4
64,maccs_bit_64,0.010800906457006931,,False,0.010800906826679899,16,0.027089512524829207,0.004667586926297483,average_precision,test,10,5
136,maccs_bit_136,0.013868888840079308,,False,0.013868889314757365,6,0.019754177499794714,0.005915526540240257,average_precision,test,10,6
145,maccs_bit_145,0.004786730278283358,,False,0.004786730442114495,92,0.017745378222563328,0.002115163933967254,average_precision,test,10,7
76,maccs_bit_76,0.006526818033307791,,False,0.006526818256695355,47,0.01576091186249231,0.003816996920885701,average_precision,test,10,8
125,maccs_bit_125,0.006926936097443104,,False,0.006926936334525151,40,0.013898930305092025,0.003162312472315245,average_precision,test,10,9
139,maccs_bit_139,0.005433264188468456,,False,0.0054332643744279315,68,0.01098316516909791,0.0037957465414706266,average_precision,test,10,10
154,maccs_bit_154,0.004620756953954697,,False,0.004620757112105213,97,0.010161940589076962,0.002369940718297477,average_precision,test,10,11
78,maccs_bit_78,0.007886648178100586,,False,0.00788664844802984,30,0.00831078064378265,0.0020960723346278346,average_precision,test,10,12
69,maccs_bit_69,0.005345362704247236,,False,0.005345362887198186,71,0.008010827323643313,0.0007712733539450457,average_precision,test,10,13
134,maccs_bit_134,0.0038450497668236494,,False,0.0038450498984247297,125,0.0072945363512216255,0.00232162580664164,average_precision,test,10,14
144,maccs_bit_144,0.008929768577218056,,False,0.00892976888284926,23,0.006986558763968809,0.0027361896782097136,average_precision,test,10,15
119,maccs_bit_119,0.005277311895042658,,False,0.005277312075664493,76,0.006832649448550163,0.001999197822611358,average_precision,test,10,16
146,maccs_bit_146,0.0057396977208554745,,False,0.005739697917302976,61,0.006440152842654004,0.001096922072233419,average_precision,test,10,17
14,maccs_bit_14,0.005769478622823954,,False,0.00576947882029074,60,0.00628575371814413,0.0012544531089683554,average_precision,test,10,18
35,maccs_bit_35,0.012201448902487755,,False,0.012201449320095835,12,0.006196529070225007,0.0008833447549615362,average_precision,test,10,19
135,maccs_bit_135,0.005037829279899597,,False,0.005037829452324875,84,0.005989483975555684,0.0014825062370778868,average_precision,test,10,20
133,maccs_bit_133,0.004724378697574139,,False,0.004724378859271224,94,0.005388919899592737,0.0015927197071240798,average_precision,test,10,21
48,maccs_bit_48,0.004465227015316486,,False,0.004465227168143819,101,0.005270744977474223,0.000540406587996747,average_precision,test,10,22
107,maccs_bit_107,0.0038306897040456533,,False,0.0038306898351552444,126,0.00518158933133073,0.0009711777960031684,average_precision,test,10,23
105,maccs_bit_105,0.0056612733751535416,,False,0.005661273568916883,66,0.005160860786188573,0.0026280285860163814,average_precision,test,10,24
59,maccs_bit_59,0.00817109178751707,,False,0.008171092067181723,27,0.005087445343616159,0.0017991614233948071,average_precision,test,10,25
82,maccs_bit_82,0.005679261405020952,,False,0.005679261599399954,64,0.004648347429659319,0.002703709160619001,average_precision,test,10,26
24,maccs_bit_24,0.004923226777464151,,False,0.004923226945967032,87,0.004570508321776143,0.002381368562994924,average_precision,test,10,27
161,maccs_bit_161,0.006076192483305931,,False,0.006076192691270338,55,0.004279046591318158,0.001234645874620707,average_precision,test,10,28
128,maccs_bit_128,0.0065713790245354176,,False,0.006571379249448131,45,0.004261174627292428,0.0016483293934131404,average_precision,test,10,29
109,maccs_bit_109,0.003764343447983265,,False,0.003764343576822082,128,0.003931073196977952,0.0017534679345052968,average_precision,test,10,30
37,maccs_bit_37,0.035242848098278046,,False,0.03524284930450349,2,0.00391023287096085,0.0014953850337393172,average_precision,test,10,31
47,maccs_bit_47,0.006885521113872528,,False,0.006885521349537102,41,0.0036185834288234658,0.0009405419327896534,average_precision,test,10,32
91,maccs_bit_91,0.0068682278506457806,,False,0.006868228085718474,42,0.0035959273889368815,0.0008439925925823688,average_precision,test,10,33
100,maccs_bit_100,0.00962891150265932,,False,0.009628911832219464,18,0.003451837685615566,0.0033896427805117486,average_precision,test,10,34
94,maccs_bit_94,0.003663479583337903,,False,0.003663479708724543,130,0.003327726942393619,0.0012808699904933289,average_precision,test,10,35
66,maccs_bit_66,0.0039834207855165005,,False,0.003983420921853482,118,0.003186636176988597,0.0014917166738585307,average_precision,test,10,36
28,maccs_bit_28,0.0052993581630289555,,False,0.0052993583444053485,75,0.0030325668767079957,0.001349062420414051,average_precision,test,10,37
39,maccs_bit_39,0.00286466209217906,,False,0.002864662190225288,144,0.0029687643979286913,0.00033022009665160376,average_precision,test,10,38
106,maccs_bit_106,0.0051300618797540665,,False,0.005130062055336107,79,0.0027795730014060853,0.0008272653418393673,average_precision,test,10,39
123,maccs_bit_123,0.005464831832796335,,False,0.005464832019836247,67,0.0027598841174981794,0.0028469779789979323,average_precision,test,10,40
114,maccs_bit_114,0.0035499753430485725,,False,0.003549975464550404,133,0.002721823599364179,0.001043757578094628,average_precision,test,10,41
88,maccs_bit_88,0.009802286513149738,,False,0.009802286848643833,17,0.002717999357710288,0.0011928379229305009,average_precision,test,10,42
142,maccs_bit_142,0.005143607035279274,,False,0.005143607211324912,78,0.002626667517558559,0.0012286667466925698,average_precision,test,10,43
92,maccs_bit_92,0.0053859069012105465,,False,0.0053859070855491655,69,0.0026080310829358104,0.0018593286504417932,average_precision,test,10,44
53,maccs_bit_53,0.009237113408744335,,False,0.009237113724894755,19,0.0025589558063495,0.002492796457232582,average_precision,test,10,45
110,maccs_bit_110,0.012342973612248898,,False,0.012342974034700818,11,0.0024338253156140966,0.0011658528605485306,average_precision,test,10,46
164,maccs_bit_164,0.003925715107470751,,False,0.003925715241832692,121,0.002316599853995102,0.0006852604056272957,average_precision,test,10,47
77,maccs_bit_77,0.005077042151242495,,False,0.005077042325009876,81,0.0021776950458590404,0.003180578847961043,average_precision,test,10,48
52,maccs_bit_52,0.0036884709261357784,,False,0.0036884710523777745,129,0.002102632828595358,0.0008131051285038348,average_precision,test,10,49
160,maccs_bit_160,0.007708893157541752,,False,0.0077088934213871444,32,0.002001703253599138,0.0014502892126674897,average_precision,test,10,50
29,maccs_bit_29,0.006523154675960541,,False,0.006523154899222723,48,0.0018523018204444712,0.0015154010616539207,average_precision,test,10,51
137,maccs_bit_137,0.005694524850696325,,False,0.005694525045597735,63,0.0017758584161565976,0.0020267100763966634,average_precision,test,10,52
162,maccs_bit_162,0.003982356283813715,,False,0.003982356420114262,119,0.0016576488848872779,0.001416910291665938,average_precision,test,10,53
159,maccs_bit_159,0.0031251905020326376,,False,0.0031251906089957383,140,0.0016228436609643238,0.0008620285949148436,average_precision,test,10,54
85,maccs_bit_85,0.005669109057635069,,False,0.005669109251666595,65,0.0016028220755477025,0.0009269843350800675,average_precision,test,10,55
148,maccs_bit_148,0.0041194334626197815,,False,0.004119433603611947,111,0.0015300927429002464,0.001500058654445058,average_precision,test,10,56
83,maccs_bit_83,0.004973510280251503,,False,0.004973510450475392,86,0.0015225313568353964,0.0017834027827209544,average_precision,test,10,57
72,maccs_bit_72,0.013402466662228107,,False,0.01340246712094235,7,0.0015218714130452171,0.0014235392528089087,average_precision,test,10,58
101,maccs_bit_101,0.006037473678588867,,False,0.00603747388522808,56,0.001213973586165551,0.0035809042053405347,average_precision,test,10,59
149,maccs_bit_149,0.004434420261532068,,False,0.004434420413305005,102,0.0011483102873523748,0.0020369272105917723,average_precision,test,10,60
99,maccs_bit_99,0.004650530405342579,,False,0.0046505305645121245,96,0.0010367125176783593,0.001899464157649408,average_precision,test,10,61
96,maccs_bit_96,0.004771140869706869,,False,0.004771141033004442,93,0.0010274310576366603,0.001748489767602764,average_precision,test,10,62
157,maccs_bit_157,0.006217647809535265,,False,0.006217648022341137,50,0.0008687922159610672,0.002171849453842853,average_precision,test,10,63
113,maccs_bit_113,0.00901191309094429,,False,0.009011913399386982,21,0.000722853539325674,0.001533992279506947,average_precision,test,10,64
138,maccs_bit_138,0.004089927300810814,,False,0.004089927440793098,114,0.0007174795446652892,0.0012302541921446006,average_precision,test,10,65
126,maccs_bit_126,0.004533807747066021,,False,0.004533807902240604,99,0.0007118535416445526,0.001661888924957638,average_precision,test,10,66
19,maccs_bit_19,0.0040613398887217045,,False,0.004061340027725553,115,0.000689109699773649,0.0006875641678767641,average_precision,test,10,67
62,maccs_bit_62,0.006207637023180723,,False,0.006207637235643965,52,0.0006645210023105003,0.002544007056286104,average_precision,test,10,68
163,maccs_bit_163,0.00428509246557951,,False,0.004285092612241538,107,0.0005612872596146151,0.0012417182870586544,average_precision,test,10,69
79,maccs_bit_79,0.009073369204998016,,False,0.00907336951554411,20,0.0005349642093747913,0.0021650197720793412,average_precision,test,10,70
70,maccs_bit_70,0.004845349583774805,,False,0.004845349749612252,89,0.0005235375548426902,0.0009736425012653098,average_precision,test,10,71
132,maccs_bit_132,0.007864176295697689,,False,0.007864176564857819,31,0.00043936870075888255,0.0032199906448313947,average_precision,test,10,72
63,maccs_bit_63,0.0067391470074653625,,False,0.006739147238120121,43,0.0004028941790630208,0.001414398187271619,average_precision,test,10,73
11,maccs_bit_11,0.004165970720350742,,False,0.004165970862935697,110,0.00033014124199536585,0.0010107198430116817,average_precision,test,10,74
16,maccs_bit_16,0.003176019759848714,,False,0.003176019868551502,138,0.00027671009695594273,0.0003835675601260617,average_precision,test,10,75
8,maccs_bit_8,0.0018079509027302265,,False,0.0018079509646093453,151,0.00025243333281194655,0.00018990658702050414,average_precision,test,10,76
104,maccs_bit_104,0.008744060061872005,,False,0.008744060361147131,25,0.00019172255717683773,0.001363641339124575,average_precision,test,10,77
121,maccs_bit_121,0.003968842793256044,,False,0.003968842929094078,120,0.00018879640534446852,0.0011431772913028846,average_precision,test,10,78
34,maccs_bit_34,0.0031194521579891443,,False,0.003119452264755844,142,0.00011672349470728816,0.0003874810593928677,average_precision,test,10,79
68,maccs_bit_68,0.004498838447034359,,False,0.004498838601012079,100,0.00011600071498262532,0.00021306973966244295,average_precision,test,10,80
13,maccs_bit_13,0.002446381840854883,,False,0.0024463819245850067,148,9.35134741572946e-05,0.00021320126069371872,average_precision,test,10,81
56,maccs_bit_56,0.0012983398046344519,,False,0.0012983398490715673,153,7.630779035149305e-05,2.027588854725804e-05,average_precision,test,10,82
22,maccs_bit_22,0.004005622584372759,,False,0.004005622721469621,117,5.316501306920629e-05,0.0005193689042070555,average_precision,test,10,83
31,maccs_bit_31,0.0024978285655379295,,False,0.002497828651028874,147,3.0384915596043392e-05,4.7301177732748264e-05,average_precision,test,10,84
20,maccs_bit_20,0.03761405870318413,,False,0.03761405999056688,1,1.4255391299866637e-05,0.00020864221743196952,average_precision,test,10,85
9,maccs_bit_9,0.0030329155270010233,,False,0.003032915630805911,143,1.0048841523915831e-05,0.00032771105457469866,average_precision,test,10,86
27,maccs_bit_27,0.001999062951654196,,False,0.001999063020074336,149,4.2731343700280755e-06,0.00022395378370368413,average_precision,test,10,87
165,maccs_bit_165,0.003245160449296236,,False,0.003245160560365441,136,1.2361991596071542e-06,0.0005521432164741825,average_precision,test,10,88
0,maccs_bit_0,0.0,,False,0.0,154,0.0,0.0,average_precision,test,10,89
1,maccs_bit_1,0.0,,False,0.0,155,0.0,0.0,average_precision,test,10,90
2,maccs_bit_2,0.0,,False,0.0,156,0.0,0.0,average_precision,test,10,91
4,maccs_bit_4,0.0,,False,0.0,157,0.0,0.0,average_precision,test,10,92
5,maccs_bit_5,0.0,,False,0.0,158,0.0,0.0,average_precision,test,10,93
6,maccs_bit_6,0.0,,False,0.0,159,0.0,0.0,average_precision,test,10,94
7,maccs_bit_7,0.0,,False,0.0,160,0.0,0.0,average_precision,test,10,95
10,maccs_bit_10,0.0,,False,0.0,161,0.0,0.0,average_precision,test,10,96
15,maccs_bit_15,0.0,,False,0.0,162,0.0,0.0,average_precision,test,10,97
17,maccs_bit_17,0.0,,False,0.0,163,0.0,0.0,average_precision,test,10,98
18,maccs_bit_18,0.0,,False,0.0,164,0.0,0.0,average_precision,test,10,99
21,maccs_bit_21,0.0,,False,0.0,165,0.0,0.0,average_precision,test,10,100
60,maccs_bit_60,0.0,,False,0.0,166,0.0,0.0,average_precision,test,10,101
143,maccs_bit_143,0.0,,False,0.0,167,0.0,0.0,average_precision,test,10,102
38,maccs_bit_38,0.004832814913243055,,False,0.00483281507865149,90,-7.032984263849462e-06,0.0009071099940413084,average_precision,test,10,103
45,maccs_bit_45,0.005068396218121052,,False,0.005068396391592517,83,-3.202672616348656e-05,5.4985722581927245e-05,average_precision,test,10,104
55,maccs_bit_55,0.002852273639291525,,False,0.0028522737369137442,145,-3.838719162993776e-05,4.45132366762552e-05,average_precision,test,10,105
36,maccs_bit_36,0.0038991044275462627,,False,0.0038991045609974235,122,-3.918468742497572e-05,0.0011733910207029044,average_precision,test,10,106
46,maccs_bit_46,0.001984585775062442,,False,0.0019845858429870843,150,-5.772617681205072e-05,0.00012503387199804978,average_precision,test,10,107
33,maccs_bit_33,0.0035052436869591475,,False,0.003505243806929989,134,-0.00010275480269461568,0.0002463529173664421,average_precision,test,10,108
93,maccs_bit_93,0.005338439252227545,,False,0.005338439434941531,73,-0.00011874978374414868,0.0008628583703016038,average_precision,test,10,109
41,maccs_bit_41,0.0031857520807534456,,False,0.003185752189789333,137,-0.00012035314559245003,0.0002011195853360357,average_precision,test,10,110
30,maccs_bit_30,0.006129810120910406,,False,0.006129810330709935,54,-0.00019536919023205036,0.002375371813289816,average_precision,test,10,111
71,maccs_bit_71,0.011847172863781452,,False,0.011847173269264044,13,-0.00023856712397853642,0.001089432723608997,average_precision,test,10,112
23,maccs_bit_23,0.0032980749383568764,,False,0.003298075051237138,135,-0.0002651126552438321,0.00032387132582263427,average_precision,test,10,113
49,maccs_bit_49,0.020530855283141136,,False,0.02053085598583236,5,-0.00032026816601036514,0.0015610782904953164,average_precision,test,10,114
74,maccs_bit_74,0.006972238887101412,,False,0.006972239125733998,39,-0.0005785313867818998,0.0024721283873003915,average_precision,test,10,115
151,maccs_bit_151,0.004873162601143122,,False,0.0048731627679325,88,-0.0005939788224941317,0.0011777970156236234,average_precision,test,10,116
117,maccs_bit_117,0.003121043788269162,,False,0.003121043895090337,141,-0.0005949497475546128,0.000637581343766443,average_precision,test,10,117
40,maccs_bit_40,0.004015980754047632,,False,0.004015980891499014,116,-0.00067608840070843,0.0002767269641991967,average_precision,test,10,118
26,maccs_bit_26,0.0028265402652323246,,False,0.0028265403619737906,146,-0.000758443000076578,0.0006873676258541917,average_precision,test,10,119
3,maccs_bit_3,0.007689535617828369,,False,0.007689535881011228,33,-0.0008530457932073299,0.0005230111742591658,average_precision,test,10,120
61,maccs_bit_61,0.0016544139944016933,,False,0.0016544140510258416,152,-0.0008690256165725802,0.00035455022399886375,average_precision,test,10,121
57,maccs_bit_57,0.004277503117918968,,False,0.004277503264321242,108,-0.0009068759773629781,0.000978295903110679,average_precision,test,10,122
75,maccs_bit_75,0.003860139986500144,,False,0.0038601401186177035,124,-0.0009478497908743777,0.0011843617812058453,average_precision,test,10,123
116,maccs_bit_116,0.004543021321296692,,False,0.00454302147678662,98,-0.0009974022061173093,0.0008931970879820385,average_precision,test,10,124
25,maccs_bit_25,0.005081562791019678,,False,0.005081562964941784,80,-0.0010700584311089112,0.0010904729546401474,average_precision,test,10,125
12,maccs_bit_12,0.00465427665039897,,False,0.004654276809696735,95,-0.0011278994482016302,0.0001032912962013083,average_precision,test,10,126
129,maccs_bit_129,0.008169224485754967,,False,0.008169224765355709,28,-0.0011677626522523048,0.001333851958360997,average_precision,test,10,127
111,maccs_bit_111,0.013120608404278755,,False,0.013120608853346087,8,-0.001280168632051476,0.0023560885964101995,average_precision,test,10,128
42,maccs_bit_42,0.011395283974707127,,False,0.011395284364723321,14,-0.0014199600845188648,0.0010691679903584107,average_precision,test,10,129
58,maccs_bit_58,0.003597547998651862,,False,0.0035975481217819204,132,-0.0014216109658177155,0.0004802946136457647,average_precision,test,10,130
98,maccs_bit_98,0.005182210355997086,,False,0.0051822105333639654,77,-0.0016966274462353326,0.0014383698838384923,average_precision,test,10,131
54,maccs_bit_54,0.00624219560995698,,False,0.006242195823603027,49,-0.0018829045061113103,0.0009645375655761109,average_precision,test,10,132
50,maccs_bit_50,0.006138129159808159,,False,0.006138129369892417,53,-0.001903669134740721,0.001174853017963185,average_precision,test,10,133
103,maccs_bit_103,0.0044128745794296265,,False,0.004412874730465139,103,-0.0019405563081610789,0.000783871364254179,average_precision,test,10,134
32,maccs_bit_32,0.004203449003398418,,False,0.004203449147266109,109,-0.002019154394871567,0.0005475250892230918,average_precision,test,10,135
90,maccs_bit_90,0.0060335383750498295,,False,0.006033538581554352,57,-0.0020793538707842506,0.002321715319766821,average_precision,test,10,136
147,maccs_bit_147,0.008885107934474945,,False,0.00888510823857759,24,-0.002116202438771342,0.0013411463702235674,average_precision,test,10,137
67,maccs_bit_67,0.004395345691591501,,False,0.004395345842027068,104,-0.0023176702166215063,0.0008399864798014316,average_precision,test,10,138
102,maccs_bit_102,0.005326567683368921,,False,0.00532656786567659,74,-0.0023488235883249524,0.0007856859773965074,average_precision,test,10,139
84,maccs_bit_84,0.0031464286148548126,,False,0.003146428722544811,139,-0.0023660683800047324,0.0005938353033431259,average_precision,test,10,140
152,maccs_bit_152,0.005343107506632805,,False,0.005343107689506568,72,-0.0024666702738874837,0.002155764662023084,average_precision,test,10,141
156,maccs_bit_156,0.004363933112472296,,False,0.004363933261832732,105,-0.002467595164483771,0.0009446506504241953,average_precision,test,10,142
86,maccs_bit_86,0.005778248887509108,,False,0.005778249085276065,59,-0.0030089616577851975,0.0022903865105351703,average_precision,test,10,143
124,maccs_bit_124,0.0038961260579526424,,False,0.003896126191301865,123,-0.0030482330237598275,0.0006441636346249343,average_precision,test,10,144
108,maccs_bit_108,0.004991249646991491,,False,0.00499124981782253,85,-0.003135330421683613,0.0009715435899719178,average_precision,test,10,145
118,maccs_bit_118,0.00894224178045988,,False,0.008942242086517994,22,-0.003424487597357645,0.002859849303875126,average_precision,test,10,146
65,maccs_bit_65,0.006977991200983524,,False,0.006977991439812989,38,-0.0036208158611774873,0.0014487304750567423,average_precision,test,10,147
153,maccs_bit_153,0.004094596486538649,,False,0.004094596626680741,113,-0.0037175827004305136,0.0016232130405547515,average_precision,test,10,148
81,maccs_bit_81,0.0074720303528010845,,False,0.007472030608539586,34,-0.003933382139534594,0.0015043032618595042,average_precision,test,10,149
122,maccs_bit_122,0.0038013479206711054,,False,0.0038013480507764416,127,-0.004071035724723096,0.0012080672957496548,average_precision,test,10,150
112,maccs_bit_112,0.008068552240729332,,False,0.008068552516884455,29,-0.004120241941022213,0.0022259810954586598,average_precision,test,10,151
97,maccs_bit_97,0.007412521634250879,,False,0.007412521887952629,35,-0.004596262075396878,0.005010934070559172,average_precision,test,10,152
80,maccs_bit_80,0.005806588567793369,,False,0.005806588766530284,58,-0.004872260425741806,0.0018892247863138167,average_precision,test,10,153
115,maccs_bit_115,0.006216356065124273,,False,0.006216356277885934,51,-0.004993888043682451,0.0024952450326626353,average_precision,test,10,154
141,maccs_bit_141,0.0036199791356921196,,False,0.0036199792595899083,131,-0.00505403443065551,0.0011297976289838195,average_precision,test,10,155
120,maccs_bit_120,0.013098111376166344,,False,0.013098111824463689,9,-0.005202468778550929,0.00487490326632024,average_precision,test,10,156
155,maccs_bit_155,0.007243351545184851,,False,0.007243351793096567,36,-0.005263866533555359,0.001596655646256782,average_precision,test,10,157
43,maccs_bit_43,0.005354790017008781,,False,0.005354790200282391,70,-0.005438813938337586,0.00258812154298019,average_precision,test,10,158
89,maccs_bit_89,0.007104184944182634,,False,0.00710418518733122,37,-0.00608060479731908,0.0020012281635003837,average_precision,test,10,159
127,maccs_bit_127,0.004108854569494724,,False,0.004108854710124815,112,-0.006120830945908107,0.0015845854501176735,average_precision,test,10,160
140,maccs_bit_140,0.005734231788665056,,False,0.00573423198492548,62,-0.0066683680767631705,0.001600486447651903,average_precision,test,10,161
158,maccs_bit_158,0.00670031039044261,,False,0.006700310619768142,44,-0.007023923627182025,0.0032335493963615946,average_precision,test,10,162
95,maccs_bit_95,0.008557143621146679,,False,0.008557143914024382,26,-0.009269060780057329,0.0027953917148614235,average_precision,test,10,163
130,maccs_bit_130,0.0065588392317295074,,False,0.006558839456213033,46,-0.009894832494894631,0.0020918377809820794,average_precision,test,10,164
87,maccs_bit_87,0.027876289561390877,,False,0.027876290515487713,4,-0.010158942727191908,0.006009007284353577,average_precision,test,10,165
51,maccs_bit_51,0.004798815585672855,,False,0.004798815749917625,91,-0.014430636413848008,0.001518314358008565,average_precision,test,10,166
73,maccs_bit_73,0.0042886799201369286,,False,0.004288680066921741,106,-0.017420125261455935,0.0014569516542422996,average_precision,test,10,167
