,smiles,value,preds
0,O=S(=O)(O)CCS(=O)(=O)O,0,0.0042776926
1,CC(C)CCS(=O)(=O)O,0,0.0010857142
2,O=S(=O)(O)CCO,0,0.0023855087
3,O=S(=O)(O)CO,0,0.00612823
4,O=S(=O)(O)CCCCBr,0,0.005199846
5,CCCCCCCCS(=O)(=O)O,0,0.0011778785
6,O=S(=O)(O)CCCCCO,0,0.0056128195
7,CCCCS(=O)(=O)O,0,0.001064601
8,O=S(=O)(O)CS(=O)(=O)O,0,0.011099024
9,CNCCS(=O)(=O)O,0,0.0025368182
10,O=C(O)CS(=O)(=O)O,0,0.003133565
11,O=C(O)CCS(=O)(=O)O,0,0.003304182
12,CCCCCCCCCCCCS(=O)(=O)O,0,0.00079111534
13,NCCS(=O)(=O)O,0,0.0040656077
14,NCS(=O)(=O)O,0,0.0032675036
15,CN(C)CCS(=O)(=O)O,0,0.0029505235
16,C[N+](C)(C)CCS(=O)(=O)O,0,0.001319937
17,O=S(=O)(O)CCCCO,0,0.010180968
18,NCCCS(=O)(=O)O,0,0.0020833574
19,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0010081822
20,O=S(=O)(O)CCCO,0,0.0041655162
21,CCCS(=O)(=O)O,0,0.0016389273
22,C[N+](C)(C)CCCS(=O)(=O)O,0,0.00065520254
23,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0011802842
24,O=S(=O)(O)CCS,0,0.008212564
25,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.0064193504
26,O=S(=O)(O)CCN(CCO)CCO,0,0.004884921
27,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.0049579525
28,C[S+](C)CCS(=O)(=O)O,0,0.003890973
29,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.0028024379
30,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.0014381681
31,CC(=O)CCS(=O)(=O)O,0,0.0022979807
32,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.0016731293
33,NCCCCCS(=O)(=O)O,0,0.0029256132
34,CC(C)(CCC(=O)O)CCC(=O)O,0,0.0010788126
35,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.0008244998
36,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.002056292
37,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0011016799
38,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.0027550808
39,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.0023724176
40,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.0024299857
41,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0023790232
42,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.0013926293
43,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.6878801
44,NNP(=S)(NN)c1ccccc1,1,0.78147537
45,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.009627503
46,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.0009970322
47,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.0071452074
48,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.0031353754
49,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.00073033525
50,CCOC(C)CCCS(=O)(=O)O,0,0.0008743789
51,CC(O)CS(=O)(=O)O,0,0.003606964
52,CCCNP(=S)(NCCC)NCCC,0,0.0014491451
53,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.0032720927
54,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.00072349625
55,CCOP(=O)(NC1CCCCC1)OCC,0,0.004239896
56,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.00069191563
