feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
100,maccs_bit_100,0.08195059238230078,1.0,True,0.08195059238230078,2,0.04074608927966465,0.01265278048566339,average_precision,test,10,1
135,maccs_bit_135,0.032599241879353286,0.0,True,0.032599241879353286,5,0.0338496426089704,0.007476817314289244,average_precision,test,10,2
81,maccs_bit_81,0.0227595532643756,3.0,True,0.0227595532643756,13,0.030769362087338114,0.0032920093532704444,average_precision,test,10,3
145,maccs_bit_145,0.08334533808753178,3.0,True,0.08334533808753178,1,0.02157164437831969,0.008476692865527,average_precision,test,10,4
92,maccs_bit_92,0.015360589761514082,1.0,True,0.015360589761514082,23,0.02019276182766888,0.00778405708314318,average_precision,test,10,5
126,maccs_bit_126,0.0295080883778483,3.0,True,0.0295080883778483,7,0.012630215924122718,0.008298058793734037,average_precision,test,10,6
155,maccs_bit_155,0.028113719708298946,5.0,True,0.028113719708298946,9,0.01221209439280153,0.005229314261547669,average_precision,test,10,7
62,maccs_bit_62,0.006743220126643496,2.0,True,0.006743220126643496,46,0.011931720850542194,0.006650464062793693,average_precision,test,10,8
148,maccs_bit_148,0.010101154724962152,6.0,True,0.010101154724962152,35,0.010383513866251592,0.0025971484549828796,average_precision,test,10,9
131,maccs_bit_131,0.020083373471376984,7.0,True,0.020083373471376984,14,0.01028331841894663,0.0032922132327180996,average_precision,test,10,10
119,maccs_bit_119,0.009052035820769268,4.0,True,0.009052035820769268,39,0.008063758331475962,0.0036537299951717533,average_precision,test,10,11
128,maccs_bit_128,0.02558953735493342,5.0,True,0.02558953735493342,10,0.0064662437124960335,0.0034914479715792957,average_precision,test,10,12
116,maccs_bit_116,0.022955246387190507,3.0,True,0.022955246387190507,12,0.00589708880221137,0.0029467920197951522,average_precision,test,10,13
105,maccs_bit_105,0.023517880913008417,5.0,True,0.023517880913008417,11,0.005878344383474493,0.004740858151418309,average_precision,test,10,14
82,maccs_bit_82,0.010757920887860215,6.0,True,0.010757920887860215,33,0.0043966644554417735,0.005141718512348126,average_precision,test,10,15
102,maccs_bit_102,0.0008857137134816032,5.0,True,0.0008857137134816032,68,0.003996359322739279,0.004168160880121605,average_precision,test,10,16
124,maccs_bit_124,0.0312919126550134,2.0,True,0.0312919126550134,6,0.0038751223980610485,0.006941252204960697,average_precision,test,10,17
147,maccs_bit_147,0.01813148119918939,5.0,True,0.01813148119918939,15,0.003288570093109794,0.007203976213880356,average_precision,test,10,18
52,maccs_bit_52,0.004125058108905183,7.0,True,0.004125058108905183,59,0.0031106933888459033,0.0017393892713919686,average_precision,test,10,19
136,maccs_bit_136,0.017233518562338648,4.0,True,0.017233518562338648,17,0.00290073114513032,0.004821256748675013,average_precision,test,10,20
130,maccs_bit_130,0.008981078189999868,9.0,True,0.008981078189999868,40,0.002866469662768495,0.0016705394557333744,average_precision,test,10,21
112,maccs_bit_112,0.015017834413919058,6.0,True,0.015017834413919058,24,0.0026680460513071936,0.0021919071963819653,average_precision,test,10,22
108,maccs_bit_108,0.01411901390567201,7.0,True,0.01411901390567201,26,0.002339062836290906,0.0012040970161458424,average_precision,test,10,23
159,maccs_bit_159,0.002889836147170431,6.0,True,0.002889836147170431,64,0.002166090763660178,0.0032320892046575375,average_precision,test,10,24
157,maccs_bit_157,0.007012702549879235,9.0,True,0.007012702549879235,43,0.0018434283710143883,0.003914555302283904,average_precision,test,10,25
153,maccs_bit_153,0.006975830702112344,8.0,True,0.006975830702112344,44,0.001386517431261175,0.0013022111250145087,average_precision,test,10,26
149,maccs_bit_149,0.009749625603206394,6.0,True,0.009749625603206394,37,0.0013227232725004424,0.002382856848471425,average_precision,test,10,27
160,maccs_bit_160,0.0019096118454802226,7.0,True,0.0019096118454802226,67,0.0012618874718995031,0.0006137783719203624,average_precision,test,10,28
154,maccs_bit_154,0.0058913327899435975,6.0,True,0.0058913327899435975,49,0.0010874225375821001,0.0015816071526453736,average_precision,test,10,29
164,maccs_bit_164,0.004000217935748856,5.0,True,0.004000217935748856,61,0.0009677067380355342,0.0015281549518808893,average_precision,test,10,30
140,maccs_bit_140,0.00032644319586123857,5.0,True,0.00032644319586123857,70,0.0007668145369714274,0.0017683913117023603,average_precision,test,10,31
