dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,dataset_order,model_order,fingerprint_order,protocol_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,1,0.8605130391790443,0.8384,0.6912,0.16931303917904428,0.1472,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,5.0,13.0,7.0,6.0,0.005859375,entropy,5.0,,50.0,2.0,0.01,balanced,2.3333333333333335,1.4907119849998598,0.0,4.0,,,,,,,,,,,,,,,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,2,0.7113709839527871,0.8878,0.7889,-0.07752901604721296,0.09889999999999999,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,28.0,163.0,82.0,81.0,0.0791015625,gini,30.0,sqrt,1.0,2.0,0.001,,11.691358024691358,6.906146797445571,0.0,27.0,,,,,,,,,,,,,,,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,3,0.7254175350924925,0.9019,0.6578,0.06761753509249246,0.24409999999999998,DecisionTreeClassifier,dt_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,107.0,54.0,48.0,0.046875,gini,15.0,sqrt,20.0,2.0,0.0,balanced,7.354166666666667,4.095167799438205,0.0,14.0,,,,,,,,,,,,,,,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,1,0.9059507898037618,0.9443,0.6292,0.2767507898037618,0.31510000000000005,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,22.0,157.0,79.0,73.0,0.0712890625,gini,30.0,sqrt,2.0,5.0,0.001,balanced,8.753424657534246,5.068789328628893,0.0,21.0,,,,,,,,,,,,,,,0,0,0,1
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,2,0.8414529526543741,0.9408,0.8489,-0.007447047345625846,0.09189999999999998,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,22.0,189.0,95.0,80.0,0.078125,entropy,30.0,,10.0,50.0,0.0,balanced,10.0,5.354904294196116,0.0,21.0,,,,,,,,,,,,,,,0,0,0,1
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,3,0.8825869696360611,0.9203,0.7134,0.16918696963606106,0.20689999999999997,DecisionTreeClassifier,dt_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,165.0,83.0,75.0,0.0732421875,entropy,15.0,sqrt,2.0,50.0,0.0,,7.28,3.7293788580226956,0.0,14.0,,,,,,,,,,,,,,,0,0,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,1,0.8605454240925766,0.9674,0.6797,0.18084542409257665,0.28770000000000007,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,379.0,0.6298828125,60.22577604458842,4.030577435649695,0.24810340849804524,[-3.0316973723788467],0.1,elasticnet,0.25,False,,,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,2,0.6677099126166813,0.9606,0.8695,-0.20179008738331872,0.09109999999999996,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1022.0,0.001953125,135.11841117091933,5.4246459544585806,0.18434382785444056,[-1.7023136638473413],0.1,elasticnet,0.0,False,,,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,3,0.7261434855919446,0.9043,0.7226,0.0035434855919446173,0.18169999999999997,LogisticRegression,lr_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,34.0,0.966796875,7.920889488667285,1.7592280096693673,0.5684311496313329,[-1.1659306767710733],0.05,elasticnet,1.0,False,,,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,1,0.9381653827034131,0.9908,0.6532,0.2849653827034131,0.3376,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1018.0,0.005859375,295.62973053484,11.773621514621663,0.08493563333576672,[-3.44057678955655],0.5,elasticnet,0.0,False,,,0,1,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,2,0.8852297810512442,0.9805,0.8661,0.019129781051244188,0.11440000000000006,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1022.0,0.001953125,299.2791574133105,11.875042785390674,0.08421022290801804,[-2.2466456211733776],0.5,elasticnet,0.0,False,,,0,1,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,3,0.9079521678125562,0.9703,0.7884,0.11955216781255618,0.18190000000000006,LogisticRegression,lr_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1020.0,0.00390625,127.32967206998572,5.278574409951259,0.18944508921097766,[-2.360955254573585],0.1,elasticnet,0.0,False,,,0,1,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,1,0.853128850273136,0.9971,0.6434,0.20972885027313604,0.3537,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,990.0,0.033203125,1588.25702876665,63.73081812039772,0.015690995808508842,[-13.126025132492089],100.0,,,,"[299, 400]",699.0,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,2,0.6737598259765726,0.9209,0.8613,-0.18754017402342738,0.0596000000000001,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1017.0,0.0068359375,51.95132391234746,2.1619802439121534,0.46253891672500985,[-0.8659482281129154],0.01,,,,"[650, 1089]",1739.0,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,3,0.6863351799764443,0.9118,0.7553,-0.06896482002355564,0.15650000000000008,SVC,svm_linear_drd2_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,992.0,0.03125,14.447417783981104,0.6611568432444419,1.5125004153216963,[0.29413650590154683],0.002,,,,"[739, 791]",1530.0,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,1,0.9329517171760465,0.9838,0.6547,0.2782517171760466,0.32910000000000006,SVC,svm_linear_drd2_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1005.0,0.0185546875,153.5582899911687,6.14097821033824,0.16284050614550558,[-1.8994311599443892],0.1,,,,"[382, 774]",1156.0,0,2,0,1
