dataset,dataset_label,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,l1_norm_mean,l1_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,sparsity_mean,sparsity_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std,dataset_order,model_order,fingerprint_order,protocol_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,0.7657671860747746,0.0823523461115224,0.7126333333333333,0.0681274051563197,0.05313385274144126,0.12405677268055651,0.1634,0.07394315384131245,,,,,,,,,,,16.0,11.532562594670797,94.33333333333333,75.79797710581288,47.666666666666664,37.89898855290644,45.0,37.589892258425,7.126286008230452,4.683172399867808,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,0.8766635706980658,0.032654367862067324,0.7305,0.11084371881166745,0.14616357069806565,0.14349097649012996,0.20463333333333333,0.11161726270310225,,,,,,,,,,,19.666666666666668,4.041451884327381,170.33333333333334,16.653327995729065,85.66666666666667,8.326663997864532,76.0,3.605551275463989,8.677808219178083,1.3615756990752492,0,0,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,0.7514662741004008,0.09888031318177312,0.7572666666666666,0.09953563850869367,-0.005800392566265818,0.19148881091301817,0.18683333333333332,0.09840047425359974,3.7381504665925473,1.8501235976738575,67.75502556805834,63.93214824575151,478.3333333333333,501.434276185158,0.5328776041666666,0.48968191033706837,0.33362612866127295,0.20583092439068726,,,,,,,,,,,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,0.9104491105224044,0.026555988453482126,0.7692333333333333,0.10773636031226104,0.14121577718907116,0.13423533720617803,0.21130000000000004,0.11446759366737817,9.6424129033212,3.779535204982752,240.74618667271207,98.23853071788156,1020.0,2.0,0.00390625,0.001953125,0.11953031515158748,0.060549056796153786,,,,,,,,,,,0,1,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,0.7377412854087176,0.10012618276984694,0.7533333333333333,0.10896331186841436,-0.01559204792461566,0.20394155784814902,0.1899333333333334,0.14987342437314669,22.184651735851435,35.98786008724748,551.5519234876596,898.008765117225,999.6666666666666,15.04437879519567,0.023763020833333332,0.01469177616718328,0.6635767759517384,0.7683890780182269,,,,,,,,,,,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,0.9056105983946751,0.025473673778149578,0.7677999999999999,0.10472062834036096,0.1378105983946751,0.13019165390062143,0.20976666666666666,0.10966869805616071,7.24638681556231,1.8576886573145426,181.50479908982322,46.90025308129014,1005.3333333333334,1.527525231651959,0.018229166666666668,0.0014917238590351038,0.1434769705402608,0.03204896339251842,,,,,,,,,,,0,2,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,0.1512660136580948,0.023602911558418406,0.05126666666666666,0.030200055187587543,0.09999934699142814,0.03697247233716329,0.38413333333333327,0.1463905848520776,,,,,,,,,,,19.333333333333332,11.015141094572204,369.0,393.45139471096047,185.0,196.72569735548024,149.33333333333334,149.77761292440647,9.535750154630021,5.020053254511161,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,0.33554004368493073,0.07575139368185979,0.0701,0.05313388749188224,0.2654400436849307,0.12288288698045398,0.41723333333333334,0.12533021715984274,,,,,,,,,,,17.666666666666668,11.239810200058244,154.33333333333334,93.30237581826808,77.66666666666667,46.65118790913404,64.0,33.645207682521445,6.972057279952016,3.614518888492365,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,0.1401362410760974,0.016203000256984124,0.0742,0.03780846466070793,0.0659362410760974,0.052386191318897775,0.40086666666666665,0.1475637602303944,10.158197551144262,5.061050460592367,195.28892766808454,131.0483219402867,775.6666666666666,381.8171464632427,0.24251302083333334,0.37286830709301044,0.11694394424284048,0.058098290798258186,,,,,,,,,,,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,0.4123014091961447,0.07517238635029905,0.07146666666666666,0.037373965983466796,0.34083474252947804,0.11176587305034497,0.5183333333333334,0.12661584945548224,5.862726130702957,2.054370760902176,136.61806789379287,40.56700413497199,940.6666666666666,144.33756729740642,0.08138020833333333,0.1409546555638735,0.18714663826544564,0.07225246262455427,,,,,,,,,,,1,1,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,0.10356649946970105,0.022875624920565378,0.058600000000000006,0.024304526327414817,0.04496649946970104,0.04499833023434058,0.5025000000000001,0.07067453572539409,3.7824165544677797,3.1500577074719542,94.60139695298112,80.74417678073605,1024.0,0.0,0.0,0.0,0.5111530568287436,0.506456087492461,,,,,,,,,,,1,2,0,0
