dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,dataset_order,model_order,fingerprint_order,protocol_order
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,1,0.8605130391790443,0.8593429067833425,0.8384,0.6912,0.16931303917904428,0.1472,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,2,0.7113709839527871,0.9655046494541891,0.8878,0.7889,-0.07752901604721296,0.09889999999999999,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,OOD holdout,3,0.7254175350924925,0.9275744534103074,0.9019,0.6578,0.06761753509249246,0.24409999999999998,0,0,0,0
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,1,0.9059507898037618,0.9713374179960184,0.9443,0.6292,0.2767507898037618,0.31510000000000005,0,0,0,1
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,2,0.8414529526543741,0.9237425853928802,0.9408,0.8489,-0.007447047345625846,0.09189999999999998,0,0,0,1
drd2,DRD2,Decision Tree,DT,ECFP4,Random shuffle,3,0.8825869696360611,0.942423089902159,0.9203,0.7134,0.16918696963606106,0.20689999999999997,0,0,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,1,0.8605454240925766,0.9543418049080363,0.9674,0.6797,0.18084542409257665,0.28770000000000007,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,2,0.6677099126166813,0.9777065961766156,0.9606,0.8695,-0.20179008738331872,0.09109999999999996,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,OOD holdout,3,0.7261434855919446,0.93835627321629,0.9043,0.7226,0.0035434855919446173,0.18169999999999997,0,1,0,0
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,1,0.9381653827034131,0.9953806846563302,0.9908,0.6532,0.2849653827034131,0.3376,0,1,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,2,0.8852297810512442,0.990526965921113,0.9805,0.8661,0.019129781051244188,0.11440000000000006,0,1,0,1
drd2,DRD2,Logistic Regression,LR,ECFP4,Random shuffle,3,0.9079521678125562,0.9772250833690382,0.9703,0.7884,0.11955216781255618,0.18190000000000006,0,1,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,1,0.853128850273136,0.9975022425360028,0.9971,0.6434,0.20972885027313604,0.3537,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,2,0.6737598259765726,0.9415776695474838,0.9209,0.8613,-0.18754017402342738,0.0596000000000001,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,OOD holdout,3,0.6863351799764443,0.9536095456310333,0.9118,0.7553,-0.06896482002355564,0.15650000000000008,0,2,0,0
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,1,0.9329517171760465,0.9861129684984044,0.9838,0.6547,0.2782517171760466,0.32910000000000006,0,2,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,2,0.8825456005645301,0.9880368029408645,0.9748,0.8614,0.021145600564530076,0.11339999999999995,0,2,0,1
drd2,DRD2,Linear SVM,SVM,ECFP4,Random shuffle,3,0.9013344774434486,0.9839539766876428,0.9741,0.7873,0.11403447744344863,0.18679999999999997,0,2,0,1
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,1,0.17844643303395624,0.2078601149640122,0.4062,0.0512,0.12724643303395625,0.355,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,2,0.13941247778776567,0.2650462954174211,0.336,0.0815,0.05791247778776566,0.2545,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,3,0.13593913015256248,0.5771926481888148,0.564,0.0211,0.11483913015256247,0.5428999999999999,1,0,0,0
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,1,0.3088881591250223,0.4154851598635344,0.4062,0.0512,0.2576881591250223,0.355,1,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,2,0.2767166170709154,0.4448516205284222,0.4653,0.1301,0.1466166170709154,0.3352,1,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,3,0.42101535485885444,0.6320828780912721,0.5905,0.029,0.3920153548588544,0.5615,1,0,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,1,0.12290930685841914,0.22635822201798766,0.5386,0.1,0.02290930685841913,0.4386,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,2,0.14242817590054008,0.2759235509205069,0.3299,0.0918,0.05062817590054007,0.23810000000000003,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,OOD holdout,3,0.155071240469333,0.6397656333946277,0.5567,0.0308,0.124271240469333,0.5258999999999999,1,1,0,0
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,1,0.39428674040162853,0.6432138191960788,0.6004,0.0906,0.3036867404016285,0.5098,1,1,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,2,0.3477730961102498,0.5235283488281219,0.4916,0.0954,0.25237309611024983,0.3962,1,1,0,1
hiv,HIV,Logistic Regression,LR,ECFP4,Random shuffle,3,0.49484439107655576,0.7124161385153827,0.6774,0.0284,0.4664443910765558,0.649,1,1,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,1,0.07788048319148813,0.7590085197657277,0.5125,0.0772,0.0006804831914881265,0.43529999999999996,1,2,0,0
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,2,0.11107418743819658,0.8632224795719081,0.6437,0.0675,0.04357418743819658,0.5762,1,2,0,0
hiv,HIV,Linear SVM,SVM,ECFP4,OOD holdout,3,0.12174482777941842,0.6007290554938733,0.5271,0.0311,0.09064482777941842,0.496,1,2,0,0
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,1,0.34969035292795037,0.6112518574080109,0.512,0.0764,0.27329035292795034,0.4356,1,2,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,2,0.3131680283801283,0.4017232423692402,0.3887,0.1013,0.2118680283801283,0.2874,1,2,0,1
hiv,HIV,Linear SVM,SVM,ECFP4,Random shuffle,3,0.46341567614310636,0.7093124955220139,0.65,0.0242,0.43921567614310636,0.6258,1,2,0,1
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.07248944543983399,0.25700000000000006,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,2,0.39342659928581936,0.48285463268196466,0.5408,0.3382,0.055226599285819356,0.20259999999999995,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,OOD holdout,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.07892412667909443,0.46209999999999996,2,0,0,0
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,1,0.3514280470901113,0.5075679225677141,0.613,0.3439,0.0075280470901112895,0.2691,2,0,0,1
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,2,0.40103704563916703,0.49954987319156474,0.5262,0.3088,0.09223704563916701,0.21739999999999998,2,0,0,1
sol,Sol,Decision Tree,DT,ECFP4,Random shuffle,3,0.4242111744337293,0.8001152352151527,0.8089,0.2982,0.12601117443372928,0.5106999999999999,2,0,0,1
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,1,0.4755100336686404,0.9033934732962499,0.8502,0.505,-0.029489966331359585,0.34519999999999995,2,1,0,0
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,2,0.49072771801940407,0.6783222367144546,0.6969,0.5069,-0.01617228198059595,0.18999999999999995,2,1,0,0
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,3,0.5408739424802318,0.9578909729412662,0.9437,0.4204,0.1204739424802318,0.5233,2,1,0,0
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,1,0.5576967717464343,0.9114333074793255,0.8502,0.5057,0.051996771746434245,0.3444999999999999,2,1,0,1
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,2,0.5886318007878331,0.9032169510688438,0.8529,0.5271,0.061531800787833046,0.3258,2,1,0,1
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,3,0.5967184248346589,0.9455677646254244,0.9135,0.4364,0.16031842483465886,0.47709999999999997,2,1,0,1
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,1,0.4645090190036799,0.8592118940350321,0.7772,0.5082,-0.04369098099632007,0.269,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,2,0.45287699109268786,0.7745578695219281,0.7178,0.5282,-0.07532300890731214,0.1896,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,3,0.520898104517096,0.846542961998466,0.7794,0.4538,0.06709810451709597,0.3256,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,1,0.5603910925458687,0.8445216925671694,0.7774,0.5082,0.052191092545868734,0.2692,2,2,0,1
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,2,0.5722079667328912,0.8217768541401571,0.7738,0.5394,0.032807966732891214,0.23440000000000005,2,2,0,1
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,3,0.5834432891410114,0.806165532697137,0.7795,0.4538,0.12964328914101142,0.3257,2,2,0,1
