feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,model,model_short,fingerprint,protocol,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,importance,raw_importance,abs_importance,rank,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight,top_k
767,ecfp4_bit_767,0.1651143125657736,0.0,True,0.1651143125657736,1.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.1651143125657736,0.1651143125657736,0.1651143125657736,1,,,,,,10
592,ecfp4_bit_592,0.0425881661724934,1.0,True,0.0425881661724934,2.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0425881661724934,0.0425881661724934,0.0425881661724934,2,,,,,,10
830,ecfp4_bit_830,0.0408486229553096,3.0,True,0.0408486229553096,3.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0408486229553096,0.0408486229553096,0.0408486229553096,3,,,,,,10
268,ecfp4_bit_268,0.0381035132028158,2.0,True,0.0381035132028158,4.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0381035132028158,0.0381035132028158,0.0381035132028158,4,,,,,,10
875,ecfp4_bit_875,0.0360582843029077,9.0,True,0.0360582843029077,5.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0360582843029077,0.0360582843029077,0.0360582843029077,5,,,,,,10
673,ecfp4_bit_673,0.0360439683459424,5.0,True,0.0360439683459424,6.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0360439683459424,0.0360439683459424,0.0360439683459424,6,,,,,,10
13,ecfp4_bit_13,0.0307932058224098,13.0,True,0.0307932058224098,7.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0307932058224098,0.0307932058224098,0.0307932058224098,7,,,,,,10
74,ecfp4_bit_74,0.0305439063777049,12.0,True,0.0305439063777049,8.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0305439063777049,0.0305439063777049,0.0305439063777049,8,,,,,,10
313,ecfp4_bit_313,0.0287601118417255,5.0,True,0.0287601118417255,9.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0287601118417255,0.0287601118417255,0.0287601118417255,9,,,,,,10
136,ecfp4_bit_136,0.0268628180730067,10.0,True,0.0268628180730067,10.0,Decision Tree,dt,ecfp4,OOD holdout,1,0.8551771770063913,0.9171713467005226,0.908,0.6979,0.0268628180730067,0.0268628180730067,0.0268628180730067,10,,,,,,10
887,ecfp4_bit_887,0.1081671047036721,2.0,True,0.1081671047036721,1.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.1081671047036721,0.1081671047036721,0.1081671047036721,1,,,,,,10
564,ecfp4_bit_564,0.0670791490831779,4.0,True,0.0670791490831779,2.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0670791490831779,0.0670791490831779,0.0670791490831779,2,,,,,,10
618,ecfp4_bit_618,0.050101026194111,6.0,True,0.050101026194111,3.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.050101026194111,0.050101026194111,0.050101026194111,3,,,,,,10
724,ecfp4_bit_724,0.0498275267695888,2.0,True,0.0498275267695888,4.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0498275267695888,0.0498275267695888,0.0498275267695888,4,,,,,,10
397,ecfp4_bit_397,0.0492890318153045,4.0,True,0.0492890318153045,5.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0492890318153045,0.0492890318153045,0.0492890318153045,5,,,,,,10
875,ecfp4_bit_875,0.0479415607025146,0.0,True,0.0479415607025146,6.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0479415607025146,0.0479415607025146,0.0479415607025146,6,,,,,,10
864,ecfp4_bit_864,0.0416428856300168,14.0,True,0.0416428856300168,7.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0416428856300168,0.0416428856300168,0.0416428856300168,7,,,,,,10
675,ecfp4_bit_675,0.0350652230281166,14.0,True,0.0350652230281166,8.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0350652230281166,0.0350652230281166,0.0350652230281166,8,,,,,,10
185,ecfp4_bit_185,0.0344948202683271,3.0,True,0.0344948202683271,9.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0344948202683271,0.0344948202683271,0.0344948202683271,9,,,,,,10
551,ecfp4_bit_551,0.0337774360544177,2.0,True,0.0337774360544177,10.0,Decision Tree,dt,ecfp4,OOD holdout,2,0.6998411944088918,0.8731814260225893,0.8189,0.7698,0.0337774360544177,0.0337774360544177,0.0337774360544177,10,,,,,,10
80,ecfp4_bit_80,0.3091901385815156,0.0,True,0.3091901385815156,1.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.3091901385815156,0.3091901385815156,0.3091901385815156,1,,,,,,10
15,ecfp4_bit_15,0.1076891795209525,1.0,True,0.1076891795209525,2.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.1076891795209525,0.1076891795209525,0.1076891795209525,2,,,,,,10
786,ecfp4_bit_786,0.0903509879486487,3.0,True,0.0903509879486487,3.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0903509879486487,0.0903509879486487,0.0903509879486487,3,,,,,,10
832,ecfp4_bit_832,0.0482385241910513,5.0,True,0.0482385241910513,4.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0482385241910513,0.0482385241910513,0.0482385241910513,4,,,,,,10
200,ecfp4_bit_200,0.0469274617207245,5.0,True,0.0469274617207245,5.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0469274617207245,0.0469274617207245,0.0469274617207245,5,,,,,,10
128,ecfp4_bit_128,0.0453724440627395,6.0,True,0.0453724440627395,6.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0453724440627395,0.0453724440627395,0.0453724440627395,6,,,,,,10
362,ecfp4_bit_362,0.0432588561930143,2.0,True,0.0432588561930143,7.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0432588561930143,0.0432588561930143,0.0432588561930143,7,,,,,,10
557,ecfp4_bit_557,0.0323519086634534,6.0,True,0.0323519086634534,8.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0323519086634534,0.0323519086634534,0.0323519086634534,8,,,,,,10
782,ecfp4_bit_782,0.0227092157545198,3.0,True,0.0227092157545198,9.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0227092157545198,0.0227092157545198,0.0227092157545198,9,,,,,,10
932,ecfp4_bit_932,0.0219270724997817,4.0,True,0.0219270724997817,10.0,Decision Tree,dt,ecfp4,OOD holdout,3,0.7375155168503563,0.9056407452056573,0.8232,0.6815,0.0219270724997817,0.0219270724997817,0.0219270724997817,10,,,,,,10
767,ecfp4_bit_767,0.1443621945408335,0.0,True,0.1443621945408335,1.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.1443621945408335,0.1443621945408335,0.1443621945408335,1,,,,,,10
592,ecfp4_bit_592,0.0416703992253252,1.0,True,0.0416703992253252,2.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0416703992253252,0.0416703992253252,0.0416703992253252,2,,,,,,10
39,ecfp4_bit_39,0.0358548092310426,3.0,True,0.0358548092310426,3.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0358548092310426,0.0358548092310426,0.0358548092310426,3,,,,,,10
297,ecfp4_bit_297,0.0330956757208364,8.0,True,0.0330956757208364,4.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0330956757208364,0.0330956757208364,0.0330956757208364,4,,,,,,10
441,ecfp4_bit_441,0.0319568602970063,4.0,True,0.0319568602970063,5.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0319568602970063,0.0319568602970063,0.0319568602970063,5,,,,,,10
830,ecfp4_bit_830,0.0273609873008633,3.0,True,0.0273609873008633,6.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0273609873008633,0.0273609873008633,0.0273609873008633,6,,,,,,10
268,ecfp4_bit_268,0.0251364462595412,2.0,True,0.0251364462595412,7.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0251364462595412,0.0251364462595412,0.0251364462595412,7,,,,,,10
838,ecfp4_bit_838,0.022192441335831,6.0,True,0.022192441335831,8.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.022192441335831,0.022192441335831,0.022192441335831,8,,,,,,10
610,ecfp4_bit_610,0.0196157141665648,5.0,True,0.0196157141665648,9.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0196157141665648,0.0196157141665648,0.0196157141665648,9,,,,,,10
212,ecfp4_bit_212,0.0195654121639306,4.0,True,0.0195654121639306,10.0,Decision Tree,dt,ecfp4,Random shuffle,1,0.9115345078494066,0.9601891359333161,0.9522,0.6237,0.0195654121639306,0.0195654121639306,0.0195654121639306,10,,,,,,10
767,ecfp4_bit_767,0.06760572355426,0.0,True,0.06760572355426,1.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.06760572355426,0.06760572355426,0.06760572355426,1,,,,,,10
675,ecfp4_bit_675,0.0481730540905048,2.0,True,0.0481730540905048,2.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0481730540905048,0.0481730540905048,0.0481730540905048,2,,,,,,10
480,ecfp4_bit_480,0.047753953679316,4.0,True,0.047753953679316,3.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.047753953679316,0.047753953679316,0.047753953679316,3,,,,,,10
992,ecfp4_bit_992,0.0343869307798232,3.0,True,0.0343869307798232,4.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0343869307798232,0.0343869307798232,0.0343869307798232,4,,,,,,10
903,ecfp4_bit_903,0.0329061600223851,5.0,True,0.0329061600223851,5.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0329061600223851,0.0329061600223851,0.0329061600223851,5,,,,,,10
637,ecfp4_bit_637,0.0311691226066047,3.0,True,0.0311691226066047,6.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0311691226066047,0.0311691226066047,0.0311691226066047,6,,,,,,10
673,ecfp4_bit_673,0.030250155165844,1.0,True,0.030250155165844,7.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.030250155165844,0.030250155165844,0.030250155165844,7,,,,,,10
771,ecfp4_bit_771,0.0258721812574397,10.0,True,0.0258721812574397,8.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0258721812574397,0.0258721812574397,0.0258721812574397,8,,,,,,10
13,ecfp4_bit_13,0.0256017182654991,2.0,True,0.0256017182654991,9.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0256017182654991,0.0256017182654991,0.0256017182654991,9,,,,,,10
677,ecfp4_bit_677,0.0247189585408898,9.0,True,0.0247189585408898,10.0,Decision Tree,dt,ecfp4,Random shuffle,2,0.8443975399363534,0.9043290226500871,0.8757,0.754,0.0247189585408898,0.0247189585408898,0.0247189585408898,10,,,,,,10
191,ecfp4_bit_191,0.1017506072644565,0.0,True,0.1017506072644565,1.0,Decision Tree,dt,ecfp4,Random shuffle,3,0.9096897043203851,0.9595722354542324,0.9573,0.6544,0.1017506072644565,0.1017506072644565,0.1017506072644565,1,,,,,,10
13,ecfp4_bit_13,0.0732180003775802,1.0,True,0.0732180003775802,2.0,Decision Tree,dt,ecfp4,Random shuffle,3,0.9096897043203851,0.9595722354542324,0.9573,0.6544,0.0732180003775802,0.0732180003775802,0.0732180003775802,2,,,,,,10
389,ecfp4_bit_389,0.0472367776553725,2.0,True,0.0472367776553725,3.0,Decision Tree,dt,ecfp4,Random shuffle,3,0.9096897043203851,0.9595722354542324,0.9573,0.6544,0.0472367776553725,0.0472367776553725,0.0472367776553725,3,,,,,,10
