protocol,fingerprint,fold,C,class_weight,l1_ratio,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,0.1,balanced,0.25,0.8607,0.6795
OOD holdout,ECFP4,2,0.1,balanced,0.0,0.6675,0.8695
OOD holdout,ECFP4,3,0.05,balanced,1.0,0.7261,0.7226
Random shuffle,ECFP4,1,1.0,balanced,0.25,0.9366,0.6486
Random shuffle,ECFP4,2,0.5,balanced,0.25,0.8805,0.866
Random shuffle,ECFP4,3,0.1,balanced,0.0,0.9295,0.7884
OOD holdout,MACCS,1,1.0,,1.0,0.8043,0.6403
OOD holdout,MACCS,2,10.0,,1.0,0.691,0.8075
OOD holdout,MACCS,3,10.0,balanced,1.0,0.718,0.7904
Random shuffle,MACCS,1,10.0,balanced,0.5,0.8827,0.6598
Random shuffle,MACCS,2,10.0,balanced,1.0,0.8556,0.8047
Random shuffle,MACCS,3,10.0,balanced,1.0,0.8739,0.7904
OOD holdout,RDKit desc,1,0.05,,0.0,0.8525,0.7247
OOD holdout,RDKit desc,2,5.0,,1.0,0.7176,0.8793
OOD holdout,RDKit desc,3,0.01,balanced,0.25,0.7227,0.7608
Random shuffle,RDKit desc,1,10.0,balanced,0.5,0.9078,0.7349
Random shuffle,RDKit desc,2,10.0,balanced,0.5,0.8403,0.8731
Random shuffle,RDKit desc,3,10.0,balanced,0.0,0.8844,0.7059
