model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,1,0.11253571593178438,0.03236650246047632,0.1173,0.0395,0.004764284068215621,0.07303571593178437,0.07780000000000001,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,3.0,15.0,8.0,7.0,0.0068359375,entropy,3.0,log2,5.0,10.0,0.0,,1.4285714285714286,0.7284313590846835,0.0,2.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,2,0.08738139107141737,0.09774640599544701,0.273,0.0748,0.18561860892858265,0.01258139107141737,0.19820000000000002,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,351.0,176.0,145.0,0.1416015625,gini,15.0,log2,5.0,20.0,0.0,,8.806896551724138,3.574423612516044,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_hiv_hi_inner_ood_holdout_ecfp4,3,0.08304657982782068,0.5457210896342941,0.5066,0.0257,0.42355342017217934,0.05734657982782068,0.48090000000000005,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,419.0,210.0,174.0,0.169921875,entropy,15.0,sqrt,5.0,10.0,0.0001,balanced,8.413793103448276,3.410773074933023,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,1,0.3496217414734056,0.4076906910861454,0.4334,0.0893,0.08377825852659443,0.2603217414734056,0.3441,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,475.0,238.0,181.0,0.1767578125,gini,15.0,sqrt,5.0,20.0,0.0,,8.30939226519337,3.235399872943177,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,2,0.35917954399237884,0.4102277652078736,0.3868,0.0616,0.02762045600762114,0.29757954399237885,0.3252,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,355.0,178.0,143.0,0.1396484375,gini,15.0,sqrt,5.0,20.0,0.0,balanced,8.174825174825175,3.362305829919652,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_hiv_hi_random_shuffle_ecfp4,3,0.3935903262747607,0.5137104230357921,0.5079,0.0279,0.11430967372523931,0.3656903262747607,0.48000000000000004,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,611.0,306.0,230.0,0.224609375,gini,15.0,sqrt,5.0,10.0,0.0,balanced,8.673913043478262,3.1571475005556286,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,1,0.1218357216539894,0.09329002499345442,0.2458,0.147,0.12396427834601059,-0.025164278346010593,0.0988,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,8.0,173.0,87.0,70.0,0.41916167664670656,entropy,8.0,log2,5.0,50.0,0.0001,,4.885714285714286,1.6694127037704622,0.0,7.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,2,0.20830243617657085,0.1630012255340779,0.3699,0.0613,0.16159756382342916,0.14700243617657086,0.3086,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,15.0,537.0,269.0,114.0,0.6826347305389222,entropy,15.0,sqrt,20.0,10.0,0.0,,7.508771929824562,3.255887013738285,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_hiv_hi_inner_ood_holdout_maccs,3,0.20816330837922223,0.41845143504141646,0.418,0.025,0.20983669162077775,0.18316330837922223,0.39299999999999996,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,10.0,413.0,207.0,110.0,0.6586826347305389,gini,10.0,sqrt,10.0,50.0,0.0,balanced,6.054545454545455,2.0575199706812244,0.0,9.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_hiv_hi_random_shuffle_maccs,1,0.33282866709106884,0.4991079574825251,0.4744,0.0584,0.14157133290893115,0.27442866709106883,0.416,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_maccs,maccs,167,15.0,863.0,432.0,136.0,0.8143712574850299,gini,15.0,sqrt,5.0,20.0,0.0,,7.110294117647059,2.772429371395629,0.0,14.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_hiv_hi_random_shuffle_maccs,2,0.4213371302855167,0.45528755581293395,0.466,0.0655,0.0446628697144833,0.3558371302855167,0.4005,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_maccs,maccs,167,15.0,783.0,392.0,126.0,0.7544910179640718,gini,15.0,sqrt,10.0,10.0,0.0,balanced,7.063492063492063,2.7852959483290607,0.0,14.0,,,,,,,,,,,,,,
