protocol,fingerprint,fold,C,class_weight,l1_ratio,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,0.1,,1.0,0.1025,0.0676
OOD holdout,ECFP4,2,0.1,balanced,0.0,0.1176,0.0752
OOD holdout,ECFP4,3,0.1,balanced,1.0,0.1653,0.0302
Random shuffle,ECFP4,1,0.1,,0.0,0.4508,0.0906
Random shuffle,ECFP4,2,0.1,,0.0,0.4482,0.0954
Random shuffle,ECFP4,3,0.1,,0.0,0.5269,0.0281
OOD holdout,MACCS,1,10.0,balanced,1.0,0.1217,0.1984
OOD holdout,MACCS,2,0.1,,1.0,0.1585,0.0929
OOD holdout,MACCS,3,0.1,balanced,1.0,0.2457,0.0473
Random shuffle,MACCS,1,5.0,,0.5,0.3048,0.1634
Random shuffle,MACCS,2,0.1,,0.0,0.3337,0.0915
Random shuffle,MACCS,3,1.0,,0.0,0.3886,0.0455
OOD holdout,RDKit desc,1,0.01,,0.0,0.1475,0.0889
OOD holdout,RDKit desc,2,0.1,,0.0,0.227,0.1356
OOD holdout,RDKit desc,3,10.0,,0.0,0.1417,0.041
Random shuffle,RDKit desc,1,0.1,,0.5,0.3018,0.1002
Random shuffle,RDKit desc,2,0.1,,1.0,0.4221,0.1272
Random shuffle,RDKit desc,3,0.1,,0.0,0.4097,0.0388
