model,fingerprint,fold,category,smiles,true_label,pred_ood,pred_random,correct_ood,correct_random,pred_diff_abs
Decision Tree,ecfp4,1,both_correct,COc1cc(O)c2c(c1)C(=O)c1cc3c(c(O)c1C2=O)C(OC1OC(C)C(O)C(O)C1OC)C(OC)C(C)(O)C3=O,0,0.0230705850041197,0.4444444444444444,True,True,0.42137385944032474
Decision Tree,ecfp4,1,both_wrong,Cc1cc(N=Nc2c(N)c(C)cc(N=Nc3ccc(C(N)=O)cc3)c2N)ccc1N=Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1,1,0.0230705850041197,0.4444444444444444,False,False,0.42137385944032474
Decision Tree,ecfp4,1,ood_correct_random_wrong,O=C(O)CNS(=O)(=O)c1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)cc1,0,0.0450711649973642,0.8571428571428571,True,False,0.8120716921454929
Decision Tree,ecfp4,1,ood_wrong_random_correct,C=CC1(C)CCC2C(=CCC3C(C)(COC4OC(CO)C(O)C(O)C4O)C(O)CCC23C)C1,0,0.7164179104477612,0.0072463768115942,False,True,0.7091715336361669
Decision Tree,ecfp4,2,both_correct,O=C(CNN1C(=O)CSC1=Nc1cccc2ccccc12)c1cccc2c1Nc1ccccc1S2,0,0.0,0.4956765751949621,True,True,0.4956765751949621
Decision Tree,ecfp4,2,both_wrong,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(=O)NC(C)(C)C,1,0.0,0.4956765751949621,False,False,0.4956765751949621
Decision Tree,ecfp4,2,ood_correct_random_wrong,Cc1cc(S(=O)(=O)n2ccnc2Oc2ccc(N)cc2)c(SSc2cc(Cl)c(C)cc2S(=O)(=O)n2ccnc2Oc2ccc(N)cc2)cc1Cl,0,0.0,0.9836819270867062,True,False,0.9836819270867062
Decision Tree,ecfp4,2,ood_wrong_random_correct,COc1ccc(C(=O)Nc2cc(C(=CCCC3CCC4(C)C(CCC5C4CCC4(C)C(C(C)CCCC(C)C)CCC54)C3)c3cc(NC(=O)c4ccc(OC)c(C(=O)O)c4)c(OC)c(C(=O)O)c3)cc(C(=O)O)c2OC)cc1C(=O)O.[NaH],1,0.0,0.983681927086706,False,True,0.983681927086706
Decision Tree,ecfp4,3,both_correct,CN(N=Cc1ccccn1)C1=NCCN1.I,0,0.49679513859985,0.0,True,True,0.49679513859985
Decision Tree,ecfp4,3,both_wrong,OC1CN2CCCCC2C(O)C1O,0,0.9352277475971584,0.5099547124668887,False,False,0.4252730351302697
