model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,train_inner_gap,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,0.11544656551355348,-0.04764656551355351,0.06779999999999997,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,985.0,493.0,358.0,0.349609375,entropy,20.0,log2,1.0,5.0,0.0,balanced,12.273743016759777,4.217273995877667,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,-0.22786177833525323,-0.1580382216647468,-0.3859,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,339.0,170.0,152.0,0.1484375,entropy,20.0,sqrt,2.0,2.0,0.001,balanced,10.243421052631579,4.435201162183117,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,0.08474410857965864,-0.07034410857965867,0.014399999999999968,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,20.0,551.0,276.0,220.0,0.21484375,entropy,20.0,,2.0,20.0,0.0,,9.572727272727272,4.198395994379262,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,-0.00072316015090923,0.43092316015090926,0.4302,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,20.0,153.0,77.0,72.0,0.0703125,entropy,20.0,log2,1.0,10.0,0.0,balanced,7.777777777777778,4.531440236534512,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,2,0.4045278875713658,0.6710429900349548,0.5802,0.7389,0.17567211242863423,-0.3343721124286342,-0.15869999999999995,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,5.0,21.0,11.0,10.0,0.009765625,entropy,5.0,,2.0,2.0,0.01,,2.3,1.2688577540449522,0.0,4.0,,,,,,,,,,,,,,
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,3,0.9707582912011613,0.9833750724903667,0.9797,0.6454,0.00894170879883871,0.32535829120116133,0.33430000000000004,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_ecfp4,ecfp4,1024,20.0,73.0,37.0,36.0,0.03515625,gini,20.0,log2,2.0,5.0,0.0,balanced,7.0,5.23874454850057,0.0,19.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,1,0.8808368367030034,0.9493710003525566,0.9918,0.949,0.11096316329699663,-0.06816316329699657,0.04280000000000006,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,15.0,585.0,293.0,100.0,0.5988023952095808,entropy,15.0,,10.0,2.0,0.0,balanced,6.38,2.737809343252375,0.0,13.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,2,0.8151394267759757,0.9453277862825935,0.5716,0.9524,-0.24353942677597573,-0.1372605732240243,-0.3808,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,10.0,373.0,187.0,92.0,0.5508982035928144,entropy,10.0,,10.0,2.0,0.0,balanced,5.956521739130435,2.2646289814096376,0.0,9.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,3,0.8549988286117637,0.9657322881662106,0.9902,0.9355,0.13520117138823629,-0.08050117138823631,0.05469999999999997,DecisionTreeClassifier,dt_kdr_hi_inner_ood_holdout_maccs,maccs,167,20.0,1013.0,507.0,120.0,0.718562874251497,entropy,20.0,sqrt,2.0,20.0,0.0001,,6.258333333333334,2.4477739320088823,0.0,15.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_kdr_hi_random_shuffle_maccs,1,0.9692461222145623,0.9828484326144629,0.9769,0.5277,0.0076538777854376905,0.44154612221456235,0.44920000000000004,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,10.0,69.0,35.0,29.0,0.17365269461077845,gini,10.0,sqrt,1.0,20.0,0.0,,5.0,2.5730700836107077,0.0,9.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_kdr_hi_random_shuffle_maccs,2,0.4104915776364947,0.5405445264268808,0.4747,0.7257,0.06420842236350532,-0.3152084223635053,-0.251,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,11.0,53.0,27.0,23.0,0.1377245508982036,gini,15.0,log2,1.0,5.0,0.001,,4.173913043478261,2.5478409259101933,0.0,10.0,,,,,,,,,,,,,,
Decision Tree,DT,MACCS,Random shuffle,dt_kdr_hi_random_shuffle_maccs,3,0.9713335238305644,0.9947675019132305,0.9954,0.5652,0.02406647616943558,0.40613352383056434,0.4301999999999999,DecisionTreeClassifier,dt_kdr_hi_random_shuffle_maccs,maccs,167,20.0,161.0,81.0,58.0,0.3473053892215569,entropy,20.0,log2,1.0,5.0,0.0,,7.568965517241379,4.817754767400571,0.0,19.0,,,,,,,,,,,,,,
Logistic Regression,LR,ECFP4,OOD holdout,lr_kdr_hi_inner_ood_holdout_ecfp4,1,0.8840998974588312,0.9702193855047255,0.9938,0.9544,0.1097001025411688,-0.07030010254116881,0.03939999999999999,LogisticRegression,lr_kdr_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,184.2143961929944,7.266730189502175,0.1376134759268539,[-2.3320367555793076],0.1,elasticnet,0.0,False,,
