model,fingerprint,protocol,fold,ccp_alpha,max_depth,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,feature_min_depth_mean,feature_min_depth_std,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
Decision Tree,ECFP4,OOD holdout,1,0.0,20.0,20.0,985.0,493.0,358.0,0.349609375,12.273743016759777,4.217273995877667,0.8628534344864465,0.9105,-0.04764656551355351,0.06779999999999997
Decision Tree,ECFP4,OOD holdout,2,0.001,20.0,20.0,339.0,170.0,152.0,0.1484375,10.243421052631579,4.435201162183117,0.7857617783352532,0.9438,-0.1580382216647468,-0.3859
Decision Tree,ECFP4,OOD holdout,3,0.0,20.0,20.0,551.0,276.0,220.0,0.21484375,9.572727272727272,4.198395994379262,0.9022558914203413,0.9726,-0.07034410857965867,0.014399999999999968
Decision Tree,ECFP4,Random shuffle,1,0.0,20.0,20.0,153.0,77.0,72.0,0.0703125,7.777777777777778,4.531440236534512,0.9932231601509093,0.5623,0.43092316015090926,0.4302
Decision Tree,ECFP4,Random shuffle,2,0.01,5.0,5.0,21.0,11.0,10.0,0.009765625,2.3,1.2688577540449522,0.4045278875713658,0.7389,-0.3343721124286342,-0.15869999999999995
Decision Tree,ECFP4,Random shuffle,3,0.0,20.0,20.0,73.0,37.0,36.0,0.03515625,7.0,5.23874454850057,0.9707582912011613,0.6454,0.32535829120116133,0.33430000000000004
Decision Tree,MACCS,OOD holdout,1,0.0,15.0,15.0,585.0,293.0,100.0,0.5988023952095808,6.38,2.737809343252375,0.8808368367030034,0.949,-0.06816316329699657,0.04280000000000006
Decision Tree,MACCS,OOD holdout,2,0.0,10.0,10.0,373.0,187.0,92.0,0.5508982035928144,5.956521739130435,2.2646289814096376,0.8151394267759757,0.9524,-0.1372605732240243,-0.3808
Decision Tree,MACCS,OOD holdout,3,0.0001,20.0,20.0,1013.0,507.0,120.0,0.718562874251497,6.258333333333334,2.4477739320088823,0.8549988286117637,0.9355,-0.08050117138823631,0.05469999999999997
Decision Tree,MACCS,Random shuffle,1,0.0,10.0,10.0,69.0,35.0,29.0,0.17365269461077845,5.0,2.5730700836107077,0.9692461222145623,0.5277,0.44154612221456235,0.44920000000000004
Decision Tree,MACCS,Random shuffle,2,0.001,15.0,11.0,53.0,27.0,23.0,0.1377245508982036,4.173913043478261,2.5478409259101933,0.4104915776364947,0.7257,-0.3152084223635053,-0.251
Decision Tree,MACCS,Random shuffle,3,0.0,20.0,20.0,161.0,81.0,58.0,0.3473053892215569,7.568965517241379,4.817754767400571,0.9713335238305644,0.5652,0.40613352383056434,0.4301999999999999
