index,model,model_short,fingerprint,protocol,inner_pr_auc_mean,inner_pr_auc_std,test_pr_auc_mean,test_pr_auc_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,l2_norm_mean,l2_norm_std,n_nonzero_coefficients_mean,n_nonzero_coefficients_std,approx_margin_mean,approx_margin_std,effective_depth_mean,effective_depth_std,n_nodes_mean,n_nodes_std,n_leaves_mean,n_leaves_std,n_features_used_mean,n_features_used_std,feature_min_depth_mean_mean,feature_min_depth_mean_std
0,Decision Tree,DT,ECFP4,OOD holdout,0.8502903680806804,0.05925447302952828,0.9423,0.031077162032592434,-0.09200963191931966,0.0582977324870948,-0.10123333333333336,0.24797020654371632,,,,,,,20.0,0.0,625.0,329.2962192312569,313.0,164.64810961562844,243.33333333333334,104.96348571447756,10.696630447372875,1.4063856437653208
1,Decision Tree,DT,ECFP4,Random shuffle,0.7895031129744788,0.3335874858487134,0.6488666666666667,0.08835102338588573,0.14063644630781214,0.41474188785767874,0.20193333333333338,0.3159770614037249,,,,,,,15.0,8.660254037844387,82.33333333333333,66.4931074122223,41.666666666666664,33.24655370611115,39.333333333333336,31.13411847689498,5.692592592592592,2.963696668417136
2,Decision Tree,DT,MACCS,OOD holdout,0.8503250306969142,0.03309714048058555,0.9456333333333333,0.008938866445659279,-0.09530830263641905,0.036851748486423405,-0.09443333333333333,0.24807217363770032,,,,,,,15.0,5.0,657.0,326.0184043884639,329.0,163.00920219423196,104.0,14.422205101855956,6.19828502415459,0.21803166956590833
3,Decision Tree,DT,MACCS,Random shuffle,0.7836904078938738,0.3232013528599218,0.6062,0.10517485440921705,0.1774904078938738,0.42705692364580494,0.20946666666666666,0.3988889736923463,,,,,,,13.666666666666666,5.507570547286102,94.33333333333333,58.286647985051715,47.666666666666664,29.143323992525858,36.666666666666664,18.717193521821944,5.58095952023988,1.7705170990474166
4,Logistic Regression,LR,ECFP4,OOD holdout,0.8676427568614616,0.05211456216453757,0.9563,0.010875201147565029,-0.08865724313853829,0.06291938346545325,-0.08649999999999998,0.21884508219286078,7.309127472222957,0.18905749796171534,1024.0,0.0,0.13687579592326357,0.0035122258082961994,,,,,,,,,,
5,Logistic Regression,LR,ECFP4,Random shuffle,0.7793135452656506,0.34571497945313134,0.6664,0.06327155759106937,0.11291354526565056,0.39154025042375246,0.30129999999999996,0.0963251265247028,2.8225083794217305,2.702948037421624,676.6666666666666,328.54426388743013,1.1533978732625547,1.4917428273174693,,,,,,,,,,
6,Logistic Regression,LR,MACCS,OOD holdout,0.7872918971419732,0.05389311673509749,0.8431000000000001,0.037375928082122575,-0.05580810285802673,0.0852433987182883,-0.1469,0.4560581980405571,3.830854584633677,1.4835194520611668,112.33333333333333,36.555893277737496,0.2875680345374338,0.1050592563189494,,,,,,,,,,
7,Logistic Regression,LR,MACCS,Random shuffle,0.7681417947233244,0.3553695932775307,0.6104666666666666,0.11356761568921547,0.15767512805665784,0.4689261625863371,0.20476666666666665,0.3979565596058612,5.299496849040524,4.293381668869367,80.33333333333333,51.79124765183142,0.5848798144496926,0.7761665247310752,,,,,,,,,,
8,Logistic Regression,LR,RDKit desc,OOD holdout,0.8073194665704545,0.04402683118441589,0.8775666666666666,0.02945001414827056,-0.07024720009621221,0.062300742303997056,-0.1439666666666667,0.4098441939729454,6.56758850065533,1.170569403994615,205.0,0.0,0.15573265067879075,0.0293210487404072,,,,,,,,,,
9,Logistic Regression,LR,RDKit desc,Random shuffle,0.7999503474935672,0.3021645198834571,0.6578333333333334,0.07879634086258917,0.14211701416023384,0.3787898758075885,0.28909999999999997,0.1399818559671217,2.533022012801478,1.71699068036462,98.0,79.73079706111058,0.7797477018996988,0.8564460670798515,,,,,,,,,,
10,SVM linear,SVM,ECFP4,OOD holdout,0.8681657373558181,0.04548135875276158,0.9440333333333334,0.009346835471609279,-0.0758675959775152,0.05477136406014641,-0.09273333333333329,0.2346048237639911,5.513147864744821,0.20539688308581214,1024.0,0.0,0.18154928144514904,0.006631519299242339,,,,,,,,,,
11,SVM linear,SVM,ECFP4,Random shuffle,0.7863652464046146,0.3371324277824519,0.6943333333333334,0.05308166664050149,0.09203191307128127,0.3881834210076111,0.23953333333333335,0.14612413672399682,0.4581571171829372,0.2882587237106048,714.3333333333334,133.320416040955,2.7973079462187513,1.5407104078205747,,,,,,,,,,
12,SVM linear,SVM,MACCS,OOD holdout,0.7848945056237332,0.051710940976751246,0.8339,0.03709595665298308,-0.04900549437626667,0.07993971816185758,-0.11896666666666667,0.4013493033921117,6.053939790995717,4.183321496928681,148.66666666666666,1.5275252316519499,0.21476608318599655,0.10863436865898736,,,,,,,,,,
13,SVM linear,SVM,MACCS,Random shuffle,0.7659027275017524,0.36201214112977803,0.5840333333333333,0.1440553481594256,0.18186939416841907,0.5060418082282402,0.23096666666666668,0.43285152573755975,6.277428340246613,4.981429568481872,134.0,3.605551275463989,0.5344710521055792,0.7305434401700799,,,,,,,,,,
