model,fingerprint,protocol,fold,C,class_weight,l2_norm,approx_margin,n_nonzero_coefficients,inner_pr_auc,test_pr_auc,inner_test_gap,train_test_gap
SVM linear,ECFP4,OOD holdout,1,0.05,balanced,5.420885869152514,0.18447169413591386,1024.0,0.8853267302021868,0.9393,-0.05397326979781325,0.05230000000000001
SVM linear,ECFP4,OOD holdout,2,0.05,balanced,5.370060278072217,0.18621764900541996,1024.0,0.816600601380899,0.9548,-0.13819939861910102,-0.36339999999999995
SVM linear,ECFP4,OOD holdout,3,0.05,balanced,5.748497447009733,0.17395850119411332,1024.0,0.9025698804843686,0.938,-0.03543011951563135,0.03290000000000004
SVM linear,ECFP4,Random shuffle,1,0.01,,0.7819262350677675,1.2788930146503303,725.0,0.9935644418254153,0.6479,0.3456644418254152,0.34629999999999994
SVM linear,ECFP4,Random shuffle,2,0.01,,0.2293901201620105,4.359385658343672,576.0,0.39735428955582996,0.7522,-0.35484571044417,0.07300000000000006
SVM linear,ECFP4,Random shuffle,3,0.001,balanced,0.3631549963190337,2.753645165662252,842.0,0.9681770078325985,0.6829,0.2852770078325986,0.2993
SVM linear,MACCS,OOD holdout,1,0.05,balanced,3.351561495294045,0.2983683878109079,149.0,0.8364241686558698,0.8285,0.007924168655869757,0.1109
SVM linear,MACCS,OOD holdout,2,50.0,balanced,10.872554843874086,0.09197470275934538,147.0,0.7330041733938625,0.8734,-0.14039582660613747,-0.5824
SVM linear,MACCS,OOD holdout,3,0.1,,3.9377030338190173,0.2539551589877363,150.0,0.7852551748214677,0.7998,-0.014544825178532284,0.11460000000000004
SVM linear,MACCS,Random shuffle,1,2.0,,7.749767158684341,0.1290361348314067,135.0,0.9721792352898421,0.5052,0.4669792352898421,0.4868
SVM linear,MACCS,Random shuffle,2,2.0,balanced,10.356734436991466,0.09655553167688352,130.0,0.34789895933783876,0.7503,-0.4024010406621612,-0.2688
SVM linear,MACCS,Random shuffle,3,0.005,balanced,0.7257834250640303,1.3778214898084475,137.0,0.9776299878775764,0.4966,0.4810299878775764,0.47490000000000004
