model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,mean_importance,max_importance,cumulative_top_10,cumulative_top_20,cumulative_top_50,min_depth_mean,min_depth_std,min_depth_min,min_depth_max
Decision Tree,dt,ecfp4,OOD holdout,1,1024,358,0.000976562499999984,0.052997394169231,0.3011932502319308,0.4184197934090776,0.6072212540426348,12.273743016759777,4.223176411636464,0.0,19.0
Decision Tree,dt,ecfp4,OOD holdout,2,1024,152,0.0009765624999999926,0.1493068642605016,0.3994339427396506,0.5037368510250676,0.6985886666243446,10.243421052631579,4.449863024197867,0.0,19.0
Decision Tree,dt,ecfp4,OOD holdout,3,1024,220,0.0009765624999999898,0.1131883771522032,0.3247060860906109,0.42838030753665834,0.6119242033567625,9.572727272727272,4.2079704560595665,0.0,19.0
Decision Tree,dt,ecfp4,Random shuffle,1,1024,72,0.000976562499999997,0.1430210251695838,0.5779512475709622,0.7388484694873585,0.9688896620111165,7.777777777777778,4.5632402072823615,0.0,19.0
Decision Tree,dt,ecfp4,Random shuffle,2,1024,10,0.0009765624999999998,0.2078321047727339,0.9999999999999997,0.9999999999999998,0.9999999999999998,2.3,1.3374935098492586,0.0,4.0
Decision Tree,dt,ecfp4,Random shuffle,3,1024,36,0.0009765624999999983,0.2179411195763369,0.7137695360024172,0.9053996389258022,0.9999999999999982,7.0,5.313056693521294,0.0,19.0
Decision Tree,dt,maccs,OOD holdout,1,167,100,0.0059880239520957775,0.1213758483696146,0.3611060846507488,0.5325357474155678,0.8304426485481561,6.38,2.7516019209386253,0.0,13.0
Decision Tree,dt,maccs,OOD holdout,2,167,92,0.005988023952095784,0.1730414561202791,0.4787145900970981,0.6508645464043779,0.8998217046910513,5.956521739130435,2.2770380002246937,0.0,9.0
Decision Tree,dt,maccs,OOD holdout,3,167,120,0.005988023952095777,0.0574562551431834,0.30022494797467897,0.43652381230637866,0.7267058738529244,6.258333333333334,2.45803718009136,0.0,15.0
Decision Tree,dt,maccs,Random shuffle,1,167,29,0.005988023952095798,0.1703958836648823,0.8440891715446228,0.9780745163139991,0.9999999999999983,5.0,2.6186146828319083,0.0,9.0
Decision Tree,dt,maccs,Random shuffle,2,167,23,0.005988023952095802,0.154980869350532,0.7837605988378945,0.9870234507861622,0.9999999999999989,4.173913043478261,2.6051029278748534,0.0,10.0
Decision Tree,dt,maccs,Random shuffle,3,167,58,0.0059880239520957905,0.0804121154803063,0.4928762973093071,0.7289526608329481,0.994056321158001,7.568965517241379,4.859832027151083,0.0,19.0
Logistic Regression,lr,ecfp4,OOD holdout,1,1024,1024,0.0009765624999999519,0.0047206727749841,0.0379671686160967,0.0692806312525523,0.15080084017456621,,,,
Logistic Regression,lr,ecfp4,OOD holdout,2,1024,1024,0.0009765624999999512,0.0044231667299546,0.0368225623041682,0.06814021691549019,0.1483816908167894,,,,
Logistic Regression,lr,ecfp4,OOD holdout,3,1024,1024,0.0009765624999999541,0.0044129846340681,0.036327556787349204,0.06816902042957189,0.1506897295804059,,,,
Logistic Regression,lr,ecfp4,Random shuffle,1,1024,886,0.0009765624999999623,0.0065698555703451,0.06100915723510231,0.10721260527213959,0.21762134420058502,,,,
Logistic Regression,lr,ecfp4,Random shuffle,2,1024,298,0.0009765624999999855,0.0157762803523857,0.11899680257075021,0.21398222585873788,0.4429605019167953,,,,
Logistic Regression,lr,ecfp4,Random shuffle,3,1024,846,0.000976562499999964,0.0113358582841862,0.09228823970169629,0.16775564043205127,0.336329249070078,,,,
Logistic Regression,lr,maccs,OOD holdout,1,167,110,0.0059880239520957775,0.0305670882024059,0.25558104017487837,0.43240984114856224,0.7645665043958663,,,,
Logistic Regression,lr,maccs,OOD holdout,2,167,150,0.005988023952095763,0.0270877137092551,0.2036387493880219,0.35052428975609307,0.6487366999069443,,,,
Logistic Regression,lr,maccs,OOD holdout,3,167,77,0.005988023952095788,0.0618791305866157,0.3974802132309641,0.6059053945037923,0.9234548958338125,,,,
Logistic Regression,lr,maccs,Random shuffle,1,167,47,0.005988023952095796,0.0749976544784849,0.5131501007411019,0.7808823730423237,0.9999999999999979,,,,
Logistic Regression,lr,maccs,Random shuffle,2,167,54,0.005988023952095795,0.1171297041369742,0.49028838157585464,0.7159373923241209,0.9969302092183322,,,,
Logistic Regression,lr,maccs,Random shuffle,3,167,140,0.005988023952095772,0.0295023133660462,0.2357047414174036,0.4275949388431045,0.7591327009941451,,,,
