model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,1,0.8628534344864465,0.9511324673653343,0.9783,0.9105,-0.04764656551355351,0.06779999999999997,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",holdout,18.9,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,2,0.7857617783352532,0.9539225078253246,0.5579,0.9438,-0.1580382216647468,-0.3859,"{'ccp_alpha': 0.001, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",holdout,16.0,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_kdr_hi_inner_ood_holdout_ecfp4,3,0.9022558914203413,0.9823009503924446,0.987,0.9726,-0.07034410857965867,0.014399999999999968,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",holdout,25.6,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,1,0.9932231601509093,0.9931973242321421,0.9925,0.5623,0.43092316015090926,0.4302,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",random_shuffle,9.5,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,2,0.4045278875713658,0.6710429900349548,0.5802,0.7389,-0.3343721124286342,-0.15869999999999995,"{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",random_shuffle,4.9,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_kdr_hi_random_shuffle_ecfp4,3,0.9707582912011613,0.9833750724903667,0.9797,0.6454,0.32535829120116133,0.33430000000000004,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5}",random_shuffle,4.7,0,0,1
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,1,0.8808368367030034,0.9493710003525566,0.9918,0.949,-0.06816316329699657,0.04280000000000006,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2}",holdout,6.9,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,2,0.8151394267759757,0.9453277862825935,0.5716,0.9524,-0.1372605732240243,-0.3808,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2}",holdout,6.7,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_kdr_hi_inner_ood_holdout_maccs,3,0.8549988286117637,0.9657322881662106,0.9902,0.9355,-0.08050117138823631,0.05469999999999997,"{'ccp_alpha': 0.0001, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20}",holdout,7.8,0,1,0
Decision Tree,DT,MACCS,Random shuffle,dt_kdr_hi_random_shuffle_maccs,1,0.9692461222145623,0.9828484326144629,0.9769,0.5277,0.44154612221456235,0.44920000000000004,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20}",random_shuffle,3.5,0,1,1
