protocol,fingerprint,fold,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,entropy,20.0,sqrt,5.0,20.0,0.001,balanced,0.3907,0.3182
OOD holdout,ECFP4,2,entropy,15.0,,10.0,2.0,0.0,balanced,0.3782,0.2997
OOD holdout,ECFP4,3,gini,20.0,,5.0,2.0,0.001,,0.3723,0.2934
Random shuffle,ECFP4,1,gini,15.0,,5.0,2.0,0.0,balanced,0.534,0.3107
Random shuffle,ECFP4,2,entropy,15.0,sqrt,2.0,2.0,0.0,,0.489,0.3009
Random shuffle,ECFP4,3,entropy,15.0,,2.0,20.0,0.0,,0.4219,0.2806
OOD holdout,MACCS,1,gini,5.0,,5.0,2.0,0.001,,0.3969,0.3378
OOD holdout,MACCS,2,gini,5.0,sqrt,2.0,2.0,0.0,,0.3811,0.3459
OOD holdout,MACCS,3,gini,10.0,log2,5.0,20.0,0.0,balanced,0.3905,0.3142
Random shuffle,MACCS,1,gini,10.0,sqrt,5.0,20.0,0.0,balanced,0.4667,0.4016
Random shuffle,MACCS,2,gini,15.0,log2,2.0,20.0,0.0001,balanced,0.4986,0.3567
Random shuffle,MACCS,3,gini,20.0,log2,1.0,20.0,0.001,balanced,0.4646,0.3076
