protocol,fingerprint,fold,C,class_weight,l1_ratio,inner_pr_auc,test_pr_auc
OOD holdout,ECFP4,1,0.05,,0.0,0.4757,0.5053
OOD holdout,ECFP4,2,0.1,balanced,0.5,0.4903,0.5072
OOD holdout,ECFP4,3,0.5,,0.5,0.5414,0.4208
Random shuffle,ECFP4,1,0.1,balanced,0.0,0.5655,0.4876
Random shuffle,ECFP4,2,0.05,,0.0,0.6371,0.5271
Random shuffle,ECFP4,3,0.5,,1.0,0.5487,0.4314
OOD holdout,MACCS,1,0.1,,0.25,0.4985,0.4671
OOD holdout,MACCS,2,10.0,,0.5,0.4913,0.5009
OOD holdout,MACCS,3,0.5,,0.0,0.4707,0.4623
Random shuffle,MACCS,1,0.005,balanced,0.0,0.4894,0.4312
Random shuffle,MACCS,2,0.1,balanced,0.75,0.5553,0.4969
Random shuffle,MACCS,3,1.0,balanced,0.0,0.5787,0.4554
OOD holdout,RDKit desc,1,0.1,,0.25,0.602,0.6076
OOD holdout,RDKit desc,2,0.05,balanced,0.25,0.5824,0.6202
OOD holdout,RDKit desc,3,0.5,balanced,0.0,0.5623,0.5445
Random shuffle,RDKit desc,1,0.5,,0.5,0.6257,0.6119
Random shuffle,RDKit desc,2,0.5,,0.0,0.6869,0.5923
Random shuffle,RDKit desc,3,0.005,balanced,0.0,0.6173,0.5584
