model,model_short,fingerprint,protocol,result_dir,fold,inner_pr_auc,inner_train_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,best_params,inner_split_strategy,time_seconds,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,dt_sol_hi_inner_ood_holdout_ecfp4,1,0.39068944543983397,0.5892579140204436,0.5752,0.3182,0.07248944543983399,0.25700000000000006,"{'ccp_alpha': 0.001, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",holdout,9.3,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_sol_hi_inner_ood_holdout_ecfp4,2,0.3781596729718331,0.6573787872227377,0.706,0.2997,0.0784596729718331,0.40629999999999994,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2}",holdout,4.5,0,0,0
Decision Tree,DT,ECFP4,OOD holdout,dt_sol_hi_inner_ood_holdout_ecfp4,3,0.3723241266790944,0.798691849900905,0.7555,0.2934,0.07892412667909443,0.46209999999999996,"{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",holdout,4.6,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,dt_sol_hi_random_shuffle_ecfp4,1,0.5339989750964889,0.7958230482139512,0.8287,0.3107,0.22329897509648888,0.518,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",random_shuffle,10.4,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_sol_hi_random_shuffle_ecfp4,2,0.48903628025233614,0.7020361683471525,0.8015,0.3009,0.18813628025233614,0.5005999999999999,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",random_shuffle,6.2,0,0,1
Decision Tree,DT,ECFP4,Random shuffle,dt_sol_hi_random_shuffle_ecfp4,3,0.42186060768379174,0.8736366023445358,0.8464,0.2806,0.14126060768379173,0.5658000000000001,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 15, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 20}",random_shuffle,6.9,0,0,1
Decision Tree,DT,MACCS,OOD holdout,dt_sol_hi_inner_ood_holdout_maccs,1,0.39686849760871695,0.6290685971192812,0.5089,0.3378,0.05906849760871696,0.17110000000000003,"{'ccp_alpha': 0.001, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 2}",holdout,3.8,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_sol_hi_inner_ood_holdout_maccs,2,0.38112214236792286,0.49385979485246473,0.4459,0.3459,0.03522214236792287,0.10000000000000003,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",holdout,3.8,0,1,0
Decision Tree,DT,MACCS,OOD holdout,dt_sol_hi_inner_ood_holdout_maccs,3,0.3904947464124505,0.6070514160142464,0.5326,0.3142,0.07629474641245054,0.21839999999999998,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 20}",holdout,3.9,0,1,0
Decision Tree,DT,MACCS,Random shuffle,dt_sol_hi_random_shuffle_maccs,1,0.46667700144107416,0.5617005974414078,0.5965,0.4016,0.06507700144107414,0.19490000000000002,"{'ccp_alpha': 0.0, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20}",random_shuffle,3.8,0,1,1
Decision Tree,DT,MACCS,Random shuffle,dt_sol_hi_random_shuffle_maccs,2,0.4985928502493422,0.5971668151963371,0.6345,0.3567,0.14189285024934217,0.27779999999999994,"{'ccp_alpha': 0.0001, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 15, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20}",random_shuffle,3.6,0,1,1
Decision Tree,DT,MACCS,Random shuffle,dt_sol_hi_random_shuffle_maccs,3,0.4646068383900053,0.564270876345247,0.5773,0.3076,0.1570068383900053,0.26970000000000005,"{'ccp_alpha': 0.001, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20}",random_shuffle,3.7,0,1,1
Logistic Regression,LR,ECFP4,OOD holdout,lr_sol_hi_inner_ood_holdout_ecfp4,1,0.47566351149837854,0.9037574750354981,0.8502,0.5053,-0.029636488501621427,0.3449,"{'C': 0.05, 'class_weight': None, 'l1_ratio': 0.0}",holdout,35.9,1,0,0
Logistic Regression,LR,ECFP4,OOD holdout,lr_sol_hi_inner_ood_holdout_ecfp4,2,0.4902507552464061,0.6780360660591754,0.6969,0.5072,-0.016949244753593884,0.18969999999999998,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.5}",holdout,34.6,1,0,0
Logistic Regression,LR,ECFP4,OOD holdout,lr_sol_hi_inner_ood_holdout_ecfp4,3,0.5414335267989707,0.9577805448427553,0.944,0.4208,0.12063352679897071,0.5231999999999999,"{'C': 0.5, 'class_weight': None, 'l1_ratio': 0.5}",holdout,36.9,1,0,0
Logistic Regression,LR,ECFP4,Random shuffle,lr_sol_hi_random_shuffle_ecfp4,1,0.5654612579059428,0.9315068059279593,0.9044,0.4876,0.07786125790594284,0.4168,"{'C': 0.1, 'class_weight': 'balanced', 'l1_ratio': 0.0}",random_shuffle,52.2,1,0,1
Logistic Regression,LR,ECFP4,Random shuffle,lr_sol_hi_random_shuffle_ecfp4,2,0.6371035293030463,0.8700208540356864,0.8528,0.5271,0.11000352930304624,0.3257,"{'C': 0.05, 'class_weight': None, 'l1_ratio': 0.0}",random_shuffle,49.1,1,0,1
Logistic Regression,LR,ECFP4,Random shuffle,lr_sol_hi_random_shuffle_ecfp4,3,0.5487009331227756,0.8844911549377483,0.8782,0.4314,0.11730093312277556,0.4468,"{'C': 0.5, 'class_weight': None, 'l1_ratio': 1.0}",random_shuffle,58.8,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,1,0.49853235902097137,0.586287477264805,0.5944,0.4671,0.03143235902097136,0.12730000000000002,"{'C': 0.1, 'class_weight': None, 'l1_ratio': 0.25}",holdout,4.0,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,2,0.4913384635466529,0.7483442357466881,0.7025,0.5009,-0.00956153645334712,0.2016,"{'C': 10.0, 'class_weight': None, 'l1_ratio': 0.5}",holdout,12.1,1,1,0
Logistic Regression,LR,MACCS,OOD holdout,lr_sol_hi_inner_ood_holdout_maccs,3,0.4706713568371286,0.7546281007159111,0.6885,0.4623,0.008371356837128585,0.2262,"{'C': 0.5, 'class_weight': None, 'l1_ratio': 0.0}",holdout,4.2,1,1,0
