model,model_short,fingerprint,protocol,inner_mean,inner_std,inner_train_mean,inner_train_std,train_mean,train_std,test_mean,test_std,inner_test_gap_mean,inner_test_gap_std,train_test_gap_mean,train_test_gap_std,model_order,fingerprint_order,protocol_order
Decision Tree,DT,ECFP4,OOD holdout,0.3803910816969205,0.00938379571227388,0.6817761837146955,0.10682728158707701,0.6789,0.09315487104816356,0.3037666666666667,0.012890435730933738,0.07662441503025384,0.00358851075612431,0.3751333333333333,0.10604255435122883,0,0,0
Decision Tree,DT,ECFP4,Random shuffle,0.4816319543442056,0.05643466481792567,0.7904986063018798,0.08592403329848312,0.8255333333333333,0.02261688160055082,0.2974,0.015352198539622885,0.18423195434420558,0.04115830721170208,0.5281333333333333,0.0337605292217604,0,0,1
Decision Tree,DT,MACCS,OOD holdout,0.38949512879636344,0.00792062828165259,0.5766599359953307,0.07254713361609733,0.4958,0.04480993193478426,0.33263333333333334,0.016469466698510116,0.05686179546303013,0.020625029733783943,0.16316666666666668,0.05959734334123737,0,1,0
Decision Tree,DT,MACCS,Random shuffle,0.47662556336014056,0.019052366354835582,0.5743794296609973,0.019776255663371684,0.6027666666666667,0.029110364706292004,0.3553,0.047015635697074225,0.12132556336014054,0.04929537197193374,0.24746666666666664,0.04570386562790211,0,1,1
Logistic Regression,LR,ECFP4,OOD holdout,0.5024492645145852,0.03454021495929662,0.8465246953124762,0.14839453042006684,0.8303666666666666,0.12473821921661915,0.4777666666666667,0.04934372638272603,0.02468259784791847,0.0833377292311704,0.35259999999999997,0.16688328256598978,1,0,0
Logistic Regression,LR,ECFP4,Random shuffle,0.5837552401105882,0.046954840980786144,0.8953396049671314,0.03214649624849864,0.8784666666666666,0.025801033571028396,0.4820333333333333,0.048092237765915334,0.10172190677725489,0.02098358761144251,0.39643333333333336,0.06306665785764562,1,0,1
Logistic Regression,LR,MACCS,OOD holdout,0.4868473931349176,0.014463268847476911,0.6964199379091348,0.09542924554568681,0.6618,0.05878834918587188,0.4767666666666667,0.021037426965609028,0.010080726468250941,0.0205503363705242,0.18503333333333336,0.05148925454241236,1,1,0
Logistic Regression,LR,MACCS,Random shuffle,0.5411126436052149,0.04627490361546773,0.5789275462945467,0.08507601887917232,0.5768333333333333,0.08269294609175157,0.4611666666666667,0.033227448492674436,0.0799459769385482,0.037517153491297854,0.11566666666666663,0.09025078023670119,1,1,1
Logistic Regression,LR,RDKit desc,OOD holdout,0.5822027747659496,0.01984492974698646,0.789034698790553,0.037868989246556135,0.7357,0.026694006818010645,0.5907666666666667,0.040560366533518084,-0.008563891900717121,0.027897176075010133,0.14493333333333333,0.06363531514287746,1,2,0
Logistic Regression,LR,RDKit desc,Random shuffle,0.6432975735441627,0.03803509926172338,0.7619582361698861,0.06752814295650784,0.7510666666666667,0.060396219528488136,0.5875333333333334,0.027066646141207348,0.05576424021082941,0.040523473160475,0.1635333333333333,0.03772987322180307,1,2,1
Linear SVM,SVM,ECFP4,OOD holdout,0.4794280382044879,0.036382012290548264,0.8267709085184753,0.045659353266094466,0.7582,0.03500471396826431,0.49676666666666663,0.03844688977451014,-0.017338628462178762,0.07473058071936517,0.26143333333333335,0.06832337325786346,2,0,0
Linear SVM,SVM,ECFP4,Random shuffle,0.5885752927208078,0.05854885501815326,0.8487405989085345,0.10142515922805986,0.8313666666666667,0.09498801678808402,0.46293333333333325,0.07233376343958146,0.1256419593874744,0.03523908319313151,0.36843333333333333,0.15991192367466944,2,0,1
Linear SVM,SVM,MACCS,OOD holdout,0.4813716148923675,0.017799776276379627,0.6507207819667443,0.05432043693796666,0.6293333333333333,0.02765001506931478,0.4755666666666667,0.017601515086302477,0.005804948225700842,0.013481221505344972,0.15376666666666666,0.03938024039202065,2,1,0
Linear SVM,SVM,MACCS,Random shuffle,0.5404882727863891,0.038850877349925074,0.5770055853016239,0.10693895840935996,0.5735,0.10256549127264976,0.45130000000000003,0.012113215923114727,0.08918827278638909,0.03533840141132539,0.12219999999999999,0.10547307713345613,2,1,1
