feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
139,rdkit_desc_139,1.7076365410775307,1.7076365410775307,0.036681825428408726,positive,1
115,rdkit_desc_115,1.4623819351460787,1.4623819351460787,0.03141349904637083,positive,2
197,rdkit_desc_197,-1.317366075645844,1.317366075645844,0.0282984061594608,negative,3
27,rdkit_desc_27,-1.2303464202100245,1.2303464202100245,0.026429132615148607,negative,4
71,rdkit_desc_71,1.177520868027248,1.177520868027248,0.02529438430266217,positive,5
38,rdkit_desc_38,1.1525632268337287,1.1525632268337287,0.02475826797149731,positive,6
45,rdkit_desc_45,1.0807477490519937,1.0807477490519937,0.023215596123198085,positive,7
75,rdkit_desc_75,-0.9995488116676369,0.9995488116676369,0.021471357712707178,negative,8
105,rdkit_desc_105,0.9693786554350846,0.9693786554350846,0.020823271086865845,positive,9
176,rdkit_desc_176,0.9384388656030891,0.9384388656030891,0.020158651923415073,positive,10
130,rdkit_desc_130,-0.9168869697987654,0.9168869697987654,0.019695694578260932,negative,11
16,rdkit_desc_16,0.8671380245336118,0.8671380245336118,0.018627035011915326,positive,12
22,rdkit_desc_22,0.8670521622943694,0.8670521622943694,0.018625190600885803,positive,13
101,rdkit_desc_101,-0.8248949484441098,0.8248949484441098,0.01771960939446144,negative,14
35,rdkit_desc_35,-0.7759576721547384,0.7759576721547384,0.016668385329734057,negative,15
116,rdkit_desc_116,-0.7743374417108906,0.7743374417108906,0.016633581079025347,negative,16
137,rdkit_desc_137,-0.7664164475970957,0.7664164475970957,0.016463429810700803,negative,17
124,rdkit_desc_124,0.735628834518152,0.735628834518152,0.015802079563647306,positive,18
201,rdkit_desc_201,-0.7305050290770327,0.7305050290770327,0.015692014844253522,negative,19
148,rdkit_desc_148,-0.6985294576732498,0.6985294576732498,0.015005146005368722,negative,20
126,rdkit_desc_126,-0.6853917110488579,0.6853917110488579,0.014722933417030386,negative,21
128,rdkit_desc_128,0.6536986162828524,0.6536986162828524,0.014042132472844077,positive,22
40,rdkit_desc_40,0.5732496368349687,0.5732496368349687,0.012314003946068231,positive,23
73,rdkit_desc_73,-0.552755598814576,0.552755598814576,0.011873770496558626,negative,24
157,rdkit_desc_157,-0.49748092262488697,0.49748092262488697,0.010686412429529573,negative,25
54,rdkit_desc_54,-0.4961814773891545,0.4961814773891545,0.010658498981823167,negative,26
59,rdkit_desc_59,-0.4873021473406797,0.4873021473406797,0.010467761651645252,negative,27
4,rdkit_desc_4,0.4820817900547752,0.4820817900547752,0.010355622897273882,positive,28
195,rdkit_desc_195,0.4673054449255992,0.4673054449255992,0.010038211492996758,positive,29
79,rdkit_desc_79,0.431504470961216,0.431504470961216,0.00926916899154042,positive,30
149,rdkit_desc_149,-0.4314651919176367,0.4314651919176367,0.009268325236452666,negative,31
21,rdkit_desc_21,0.4303908385362517,0.4303908385362517,0.009245246998059196,positive,32
20,rdkit_desc_20,0.4135142112183014,0.4135142112183014,0.008882719327676404,positive,33
184,rdkit_desc_184,-0.4132068841090931,0.4132068841090931,0.008876117618765746,negative,34
58,rdkit_desc_58,0.41079415060527263,0.41079415060527263,0.008824289570429085,positive,35
212,rdkit_desc_212,-0.40789430565880874,0.40789430565880874,0.00876199785697786,negative,36
151,rdkit_desc_151,0.38936690278659536,0.38936690278659536,0.008364009794851078,positive,37
84,rdkit_desc_84,-0.37741963993118827,0.37741963993118827,0.008107370047535282,negative,38
77,rdkit_desc_77,-0.36762487211234396,0.36762487211234396,0.00789696815310409,negative,39
133,rdkit_desc_133,0.3541155981802296,0.3541155981802296,0.007606774768199313,positive,40
65,rdkit_desc_65,-0.3466632330652022,0.3466632330652022,0.007446690142693641,negative,41
183,rdkit_desc_183,0.3410036499065409,0.3410036499065409,0.007325116355514916,positive,42
109,rdkit_desc_109,-0.3397261951430263,0.3397261951430263,0.007297675286235406,negative,43
164,rdkit_desc_164,0.3247103048022034,0.3247103048022034,0.0069751181993586925,positive,44
198,rdkit_desc_198,0.3200018000886265,0.3200018000886265,0.006873974575538554,positive,45
39,rdkit_desc_39,-0.31226472824597307,0.31226472824597307,0.006707774150663491,negative,46
88,rdkit_desc_88,-0.30968713092544375,0.30968713092544375,0.006652404654484446,negative,47
100,rdkit_desc_100,-0.30780984137148276,0.30780984137148276,0.006612078504252546,negative,48
68,rdkit_desc_68,-0.3055448859058625,0.3055448859058625,0.0065634248833007615,negative,49
135,rdkit_desc_135,0.3039772123395617,0.3039772123395617,0.00652974960949133,positive,50
152,rdkit_desc_152,0.30178815003200893,0.30178815003200893,0.0064827262532407715,positive,51
98,rdkit_desc_98,-0.3006437588955974,0.3006437588955974,0.0064581435303498825,negative,52
53,rdkit_desc_53,-0.2999765299074504,0.2999765299074504,0.006443810751286407,negative,53
70,rdkit_desc_70,0.28127761588457384,0.28127761588457384,0.006042138449606116,positive,54
118,rdkit_desc_118,-0.2812278235860239,0.2812278235860239,0.0060410688587657045,negative,55
102,rdkit_desc_102,0.2812099931117433,0.2812099931117433,0.0060406858414613,positive,56
196,rdkit_desc_196,0.2773449272438722,0.2773449272438722,0.005957660169414551,positive,57
5,rdkit_desc_5,0.277292083504635,0.277292083504635,0.005956525030425044,positive,58
78,rdkit_desc_78,-0.26769593733342795,0.26769593733342795,0.005750389737480567,negative,59
93,rdkit_desc_93,0.2654242883648736,0.2654242883648736,0.00570159233305951,positive,60
187,rdkit_desc_187,-0.26275607932198114,0.26275607932198114,0.005644276401967919,negative,61
91,rdkit_desc_91,0.2605843749930506,0.2605843749930506,0.005597625913319039,positive,62
