,smiles,value,preds
383,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,True,-1.804220011931486
386,CC(C)Oc1ccccc1N1CCN(Cc2cccc(CN3CCCCC3=O)c2)CC1,True,-1.269835051595047
389,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,True,-1.269835051595047
2695,COc1ccccc1N1CCN(CC2COCC(c3ccccc3)(c3ccccc3)O2)CC1,True,-0.9763883923676051
2995,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,False,-0.9763883923676051
4155,N#C/N=C(\NCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccncc1,False,-1.3862837342672254
1298,CCOc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1,False,-2.27668772473257
50,C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,0.1818275874558548
56,C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,False,0.1818275874558548
3190,C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.000240236272747
4152,Ic1cccn1C1CCN(Cc2ccccc2)CC1,False,0.9488496015934782
4161,N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-0.336579758857356
4162,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,-0.07481356103353853
5498,O=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.5813668011050073
5499,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,-0.40781241954702985
6192,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,False,-0.3720645689028732
6194,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,True,-1.0277859074198563
51,C(#Cc1ccc2[nH]ccc2c1)CCN1CC=C(c2ccccc2)CC1,True,2.405020419694912
52,C(#Cc1ccc2c(c1)OCCO2)CCN1CC=C(c2ccccc2)CC1,True,1.5244913355526375
53,C(#Cc1ccc2occc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.98519083949712
54,C(#Cc1ccccc1)CCN1CC=C(c2ccccc2)CC1,True,0.20222273414600345
55,C(#Cc1ccccn1)CCN1CC=C(c2ccccc2)CC1,True,0.7201627569758866
57,C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,True,1.391307434467235
58,C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,True,1.391307434467235
59,C(#Cc1cnc2ccccc2c1)CCN1CC=C(c2ccccc2)CC1,True,1.2902639471017334
60,C(#Cc1cncc2ccccc12)CCN1CC=C(c2ccccc2)CC1,True,1.9614086247111597
2243,COc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.5238082677237497
4293,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,1.2617118075106344
4294,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1,True,0.342309948015048
4295,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)nc1,True,1.9659354640614435
4304,Nc1cccc(C#CCCN2CC=C(c3ccccc3)CC2)c1,True,1.2617118075106344
4306,Nc1ccccc1C#CCCN1CC=C(c2ccccc2)CC1,True,0.9999456096805428
6061,Oc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,0.8098678750281518
76,C1=C(c2ccccc2)CCN(CCCCc2ccncc2)C1,True,0.43012337208385354
77,C1=C(c2ccccc2)CCN(CCc2c[nH]c3ncccc23)C1,True,0.14646115741937216
78,C1=C(c2ccccc2)CCN(Cc2cn(-c3ccccc3)nn2)C1,True,0.9967179028442867
80,C1=C(c2ccccn2)CCN(CCCCc2ccncc2)C1,True,-0.24102130540067357
72,C1=C(c2ccc3ccccc3c2)CCN(CCCCc2ccncc2)C1,True,1.0002245623273236
81,C1=C(c2cccs2)CCN(CCCCc2ccncc2)C1,True,0.09996614746973442
2265,COc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,False,0.7517089058423618
3353,Cc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,True,0.1268477383847948
3742,Clc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,True,1.1338417604151072
4072,Fc1ccc(C2=CCN(CCCCc3ccncc3)CC2)cc1,False,0.6237397092354353
66,C1=C(/C=C/c2ccccc2)CCN(CCc2cc3ccc[nH]c-3n2)C1,False,-1.6044070722850297
6134,c1c[nH]c2nc(CN3CCc4ccccc4C3)cc-2c1,True,-1.1473811522730148
6178,c1ccc(CCC2CCN(Cc3cc4ccc[nH]c-4n3)CC2)cc1,True,-1.2443817872984955
68,C1=C(c2c[nH]c3ccccc23)CCN(CCCCc2ccncc2)C1,True,1.2886627615776813
69,C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccccc2)C1,True,1.2886627615776813
70,C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccco2)C1,True,0.8294330221106474
71,C1=C(c2c[nH]c3ccccc23)CCN(Cc2cccs2)C1,True,0.7206655953169996
363,CC(C)Oc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,True,0.8014206481362844
364,CC(C)Oc1ccc2[nH]cc(C3=CCN(Cc4cccs4)CC3)c2c1,True,0.23342348191834894
1285,CCOc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,True,1.8815764005755664
2297,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC(C)C)cc34)CC2)cc1,True,1.4380586569530518
2298,COc1ccc(CN2CC=C(c3c[nH]c4ccc(OC)cc34)CC2)cc1,True,1.4487822736203437
2299,COc1ccc(CN2CC=C(c3c[nH]c4ccccc34)CC2)cc1,True,1.6102482954912585
2413,COc1ccc2[nH]cc(C3=CCN(Cc4cc(=O)[nH]c5ccccc45)CC3)c2c1,True,2.2805074573079676
2414,COc1ccc2[nH]cc(C3=CCN(Cc4ccccc4)CC3)c2c1,True,1.6102482954912585
2416,COc1ccc2[nH]cc(C3=CCN(Cc4cccs4)CC3)c2c1,True,1.0422511292826453
2546,COc1cccc(CN2CC=C(c3c[nH]c4ccc(OC(C)C)cc34)CC2)c1,True,1.4380586569530518
2547,COc1cccc(CN2CC=C(c3c[nH]c4ccc(OC)cc34)CC2)c1,True,1.4487822736203437
2548,COc1cccc(CN2CC=C(c3c[nH]c4ccccc34)CC2)c1,True,1.6102482954912585
3528,Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,True,2.3944744543497816
3529,Cc1cccc(S(=O)(=O)NCCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,True,1.8843724033396736
3534,Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,True,1.741481115383129
3535,Cc1cccc(S(=O)(=O)NCCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,True,1.2313790643390288
3540,Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c[nH]c4ccc(Cl)cc34)CC2)c1,True,2.213335379615918
3541,Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c[nH]c4ccc(F)cc34)CC2)c1,True,1.703233328563746
5441,O=C1c2ccccc2C(=O)N1CCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1,True,0.5406884345151592
5539,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(Cl)cc1,True,2.697750087892862
5540,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(F)cc1,True,2.5284497115916036
5541,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc2ccccc2c1,True,2.697750087892862
5542,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(Cl)c1,True,2.697750087892862
5543,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(F)c1,True,2.5284497115916036
5544,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(O)c1,True,3.667446836021737
5546,O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1,True,2.1876480368556965
