,smiles,value,preds
383,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,True,0.48954101039445796
386,CC(C)Oc1ccccc1N1CCN(Cc2cccc(CN3CCCCC3=O)c2)CC1,True,1.6781357526255072
389,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,True,1.2463018573749196
2695,COc1ccccc1N1CCN(CC2COCC(c3ccccc3)(c3ccccc3)O2)CC1,True,0.8005561955374196
2995,COc1ccccc1N1CCN(C[C@H]2OCCOC2(c2ccccc2)c2ccccc2)CC1,False,-0.6189051064859226
4155,N#C/N=C(\NCCCN1CCN(c2cccc(Cl)c2)CC1)c1ccncc1,False,-1.0002819417762363
1298,CCOc1ccccc1N1CCN(CCCN/C(=N\C#N)c2ccccn2)CC1,False,-1.0002724364861821
50,C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.502447344989724
56,C(#Cc1cccn1C1CCN(Cc2ccccc2)CC1)c1ccccc1,False,-1.000361522787348
3190,C[Si](C)(C)C#Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.2906966937851458
4152,Ic1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.0002650702892546
4161,N#CC(C#N)=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-2.4404736052432243
4162,N#CC(C#N)=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,-3.0481338960908273
5498,O=Cc1cccn1C1CCN(Cc2ccccc2)CC1,False,-1.4451682123320353
5499,O=Cc1ccn(C2CCN(Cc3ccccc3)CC2)c1,False,-1.2394222315935104
6192,c1ccc(CN2CCC(n3ccc(-c4cnco4)c3)CC2)cc1,False,-1.0000364928744923
6194,c1ccc(CN2CCC(n3cccc3-c3cnco3)CC2)cc1,True,-0.16605089135067508
51,C(#Cc1ccc2[nH]ccc2c1)CCN1CC=C(c2ccccc2)CC1,True,2.1916293515281033
52,C(#Cc1ccc2c(c1)OCCO2)CCN1CC=C(c2ccccc2)CC1,True,1.2584059322264356
53,C(#Cc1ccc2occc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.4195535590943884
54,C(#Cc1ccccc1)CCN1CC=C(c2ccccc2)CC1,True,1.3602141306055346
55,C(#Cc1ccccn1)CCN1CC=C(c2ccccc2)CC1,True,1.5281044076088766
57,C(#Cc1cccnc1)CCN1CC=C(c2ccccc2)CC1,True,1.2141749268469815
58,C(#Cc1ccncc1)CCN1CC=C(c2ccccc2)CC1,True,0.9020850466053554
59,C(#Cc1cnc2ccccc2c1)CCN1CC=C(c2ccccc2)CC1,True,0.9779815602427127
60,C(#Cc1cncc2ccccc12)CCN1CC=C(c2ccccc2)CC1,True,2.395360510532478
2243,COc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,1.100666749692356
4293,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1,True,2.0770924695635973
4294,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1,True,0.9376084819223325
4295,Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)nc1,True,2.308170894457634
