,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.012828854660428456
21,CC(C)CCS(=O)(=O)O,0,0.012608142766168472
90,O=S(=O)(O)CCO,0,0.013937491849645546
106,O=S(=O)(O)CO,0,0.020974700504590812
117,O=S(=O)(O)CCCCBr,0,0.010788688289366646
123,CCCCCCCCS(=O)(=O)O,0,0.012656739342307205
126,O=S(=O)(O)CCCCCO,0,0.01437895725179252
171,CCCCS(=O)(=O)O,0,0.012575723837290288
408,O=S(=O)(O)CS(=O)(=O)O,0,0.015358027191244059
480,CNCCS(=O)(=O)O,0,0.0130394500063072
802,O=C(O)CS(=O)(=O)O,0,0.017072160276753463
929,O=C(O)CCS(=O)(=O)O,0,0.013420529530314824
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.012738680810917296
1120,NCCS(=O)(=O)O,0,0.014166892132344577
1351,NCS(=O)(=O)O,0,0.019386923891107227
1370,CN(C)CCS(=O)(=O)O,0,0.013640057280459932
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.02432059658923493
2578,O=S(=O)(O)CCCCO,0,0.014320119968835563
2822,NCCCS(=O)(=O)O,0,0.012958810422707258
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.028160085290385196
3133,O=S(=O)(O)CCCO,0,0.012734339704890612
3292,CCCS(=O)(=O)O,0,0.01263858034651032
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.024135530121897838
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.012735722236476352
4183,O=S(=O)(O)CCS,0,0.0230533907247534
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.02770364210235027
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.012928812943289675
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.023830354186038922
5923,C[S+](C)CCS(=O)(=O)O,0,0.013211133216937853
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.010263215916864509
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.013881536944959404
6648,CC(=O)CCS(=O)(=O)O,0,0.013309094629395519
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.015459704370560835
17847,NCCCCCS(=O)(=O)O,0,0.012932733012380227
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.012198854987215204
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.011872318280028943
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.012020797188489057
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.01526108439552995
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.012044109500279815
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.013430441989402716
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.011134417641639686
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.01644913401230206
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.023692133822923414
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.7268267845851155
16,NNP(=S)(NN)c1ccccc1,1,0.24328880287152105
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.024129246708278575
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.018010006037199003
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.01756624356921461
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.016720369894195234
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.013135957672832994
125,CCOC(C)CCCS(=O)(=O)O,0,0.013390159746242282
1676,CC(O)CS(=O)(=O)O,0,0.012321674176717796
23,CCCNP(=S)(NCCC)NCCC,0,0.012542721575596173
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.013085288589404828
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.01176809177494269
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.011992503651155688
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.010920996470895287
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.013804268377424071
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.010906307786535948
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.01233550774709848
26906,C#CCOC(=O)C=[N+]=[N-],0,0.01278312660244864
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.010773934211791455
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.012231109629666077
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.009266613226804915
34,Nc1nc(O)c2nn[nH]c2n1,0,0.012360373624408734
13982,COc1nc(O)c2nn[nH]c2n1,0,0.010602559627686865
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.01358131577633071
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.011906842114819653
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.011881002467988197
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.012457506902420219
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.013265369165261023
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.011910029859968278
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.013160209316294368
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.019151021409767734
36,Nc1nc(S)c2nc[nH]c2n1,0,0.028974285695012744
37,Sc1ncnc2[nH]cnc12,0,0.03193832425247466
1937,Nc1nnnc2[nH]cnc12,0,0.01354832505173815
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.013957288430927112
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.049271310382409686
781,Sc1nnc(S)c2[nH]cnc12,0,0.08683571307200107
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.013905088740980908
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.024068279660787086
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.03059978397961114
41,CCCCOB(OCCCC)OCCCC,0,0.009503305830832141
42,CCCCCOB(OCCCCC)OCCCCC,0,0.009292789844733154
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.010702925606252958
51,NC1(C(=O)O)CCCC1,0,0.010839143169897635
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.011617777575099117
4076,NC1(C(=O)O)CSSC1,0,0.049992422912987076
53,CCOC(=S)SCCSC,0,0.013263033666714752
9721,CCOC(=S)SSC(=S)OCC,0,0.020875264635137284
9722,CCOC(=S)SSSC(=S)OCC,0,0.024197290652864592
58,CCCCCOC(=S)S,0,0.02518341008929631
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.020716407742824086
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.012318034627859947
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.020228418249034853
13095,CCCCCCCCCOC(=S)NC,0,0.014170555304916396
13096,CCCCCCCCCCCCOC(=S)NC,0,0.013572530227505847
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.012224205391236621
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.013585046870980244
64,CCC(C)(C(=O)O)C(=O)O,0,0.012323598977054092
94,CCC(CC)(C(=O)O)C(=O)O,0,0.01344937005563793
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,0.012064325711970497
65,CC(C)C(C(=O)O)C(=O)O,0,0.012229611990661342
318,CC(CCC(C)C(=O)O)C(=O)O,0,0.011749236103724997
66,CCOC(=O)C(=O)C1CCCCC1=O,0,0.010853706316763363
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.011957737586903787
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.013174574090902008
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.011306478585354605
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.010741077743575437
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.019627978163194365
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,0.019203276588774215
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.010764734715942595
1152,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,0.014772755184407585
2738,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,0,0.012338764041024347
9752,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.011242437831034503
19729,CCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCC,0,0.016198747333010997
19730,CCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,0,0.014946418736273689
19731,CCCCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.013993072882752661
21674,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,0,0.0122881361611529
