,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.009147430370621712
21,CC(C)CCS(=O)(=O)O,0,0.019756647689844194
90,O=S(=O)(O)CCO,0,0.011860398054847947
106,O=S(=O)(O)CO,0,0.013305079863793593
117,O=S(=O)(O)CCCCBr,0,0.043691377812636885
123,CCCCCCCCS(=O)(=O)O,0,0.014920582421629887
126,O=S(=O)(O)CCCCCO,0,0.01931115012717528
171,CCCCS(=O)(=O)O,0,0.00823802043739376
408,O=S(=O)(O)CS(=O)(=O)O,0,0.017795523823358347
480,CNCCS(=O)(=O)O,0,0.008513963119040594
802,O=C(O)CS(=O)(=O)O,0,0.008841578348850871
929,O=C(O)CCS(=O)(=O)O,0,0.01978288171345237
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.014920582421629887
1120,NCCS(=O)(=O)O,0,0.01707206839752623
1351,NCS(=O)(=O)O,0,0.008901400911337627
1370,CN(C)CCS(=O)(=O)O,0,0.01072780054400395
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.019780467691539818
2578,O=S(=O)(O)CCCCO,0,0.019455233334939172
2822,NCCCS(=O)(=O)O,0,0.01106841923114376
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0156740832802143
3133,O=S(=O)(O)CCCO,0,0.016234649186739666
3292,CCCS(=O)(=O)O,0,0.009972148872518941
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.004991529774708232
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.003461414689632721
4183,O=S(=O)(O)CCS,0,0.023112710826141088
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.01645822202200759
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.015794759295893683
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.012887129491334842
5923,C[S+](C)CCS(=O)(=O)O,0,0.014417118343201914
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.015158756791878393
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.019048973031802106
6648,CC(=O)CCS(=O)(=O)O,0,0.010111791327420095
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.011600775120734307
17847,NCCCCCS(=O)(=O)O,0,0.04446015319969176
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.010772594227768327
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.032872952087454256
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.013149842702333825
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.018169050856829
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.018035939548446157
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.006910506200946375
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.01770171269936856
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.015000651699406753
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.0645046883789858
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.08342151443365761
16,NNP(=S)(NN)c1ccccc1,1,0.03010595450386242
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.010220933882168546
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.008497700492627628
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.013535773185209054
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.014605465353244808
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.009935499018229004
125,CCOC(C)CCCS(=O)(=O)O,0,0.02171646745074409
1676,CC(O)CS(=O)(=O)O,0,0.013807304205199208
23,CCCNP(=S)(NCCC)NCCC,0,0.017434363676750872
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.008934340981916245
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.0030124957260863087
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.006356939428083275
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.006422816192888426
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.005618348543932905
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.004704943872080297
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.021556356333018716
26906,C#CCOC(=O)C=[N+]=[N-],0,0.02599356516421519
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.020017213391386596
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.011055705537594922
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.04874664010952348
34,Nc1nc(O)c2nn[nH]c2n1,0,0.01088669396092701
13982,COc1nc(O)c2nn[nH]c2n1,0,0.00499674798144848
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.01634249439853325
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.004715117652412475
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.018883052732339735
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.003693408820423333
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.0079246383540317
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.005024196083384952
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.009088295737792556
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.017273561513045203
36,Nc1nc(S)c2nc[nH]c2n1,0,0.06298348421402868
37,Sc1ncnc2[nH]cnc12,0,0.022659632985092944
1937,Nc1nnnc2[nH]cnc12,0,0.006950856211068198
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.018831472696101675
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.0398838508809499
781,Sc1nnc(S)c2[nH]cnc12,0,0.027691737354944197
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.013709897011882452
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.01351029141272088
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.010965835056307601
41,CCCCOB(OCCCC)OCCCC,0,0.009693037882065283
42,CCCCCOB(OCCCCC)OCCCCC,0,0.01072417630721452
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.0036808373375254878
51,NC1(C(=O)O)CCCC1,0,0.00441225120809532
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.008317863498677571
4076,NC1(C(=O)O)CSSC1,0,0.008531685721322005
53,CCOC(=S)SCCSC,0,0.027549297370125066
9721,CCOC(=S)SSC(=S)OCC,0,0.01073488476643114
9722,CCOC(=S)SSSC(=S)OCC,0,0.008119258434359901
58,CCCCCOC(=S)S,0,0.00904131890941774
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.005750637537176097
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.0045739187949189195
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.0048090112740710065
13095,CCCCCCCCCOC(=S)NC,0,0.006659715800993812
13096,CCCCCCCCCCCCOC(=S)NC,0,0.006659715800993812
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.004144845325088382
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.0037746250521225027
64,CCC(C)(C(=O)O)C(=O)O,0,0.010228525989849739
94,CCC(CC)(C(=O)O)C(=O)O,0,0.006586878138151369
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,0.010067422319664645
65,CC(C)C(C(=O)O)C(=O)O,0,0.013869312722728467
318,CC(CCC(C)C(=O)O)C(=O)O,0,0.019857758227100963
66,CCOC(=O)C(=O)C1CCCCC1=O,0,0.0038480704530307855
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.008507324253305602
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.023918297495457333
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.024791483207076387
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.004442021093246368
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.02153735205697322
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,0.019517906193057585
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.00975595487312745
1152,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,0.002496281987517051
2738,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,0,0.017217017466374794
9752,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.00975595487312745
19729,CCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCC,0,0.02252630483177336
19730,CCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,0,0.02252630483177336
19731,CCCCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.02252630483177336
21674,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,0,0.018797340794009177
24295,CCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCC,0,0.02252630483177336
24296,CCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCC,0,0.02252630483177336
40027,CCCCCCCCCCCC(=O)OCC(O)CO,0,0.00975595487312745
72,CC(C)OC(=S)SSC(=S)OC(C)C,0,0.016428772713570693
878,CC(C)OC(=S)SSC(=S)NCCNC(=S)SSC(=S)OC(C)C,0,0.02254032364867799
6828,CCCCCCCCCCCCSSC(=S)OC(C)C,0,0.03381373730483453
9723,CC(C)OC(=S)SSSC(=S)OC(C)C,0,0.012443243084562097
2987,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0.006652571533241522
17855,CCN(CC)C(=O)N1CCN(C=S)CC1,0,0.0076331734242545
92,C1CCNCC1.S=C(S)N1CCCCC1,0,0.028207942365080205
212,C1COCCN1.S=C(S)N1CCOCC1,0,0.026226687357295865
570,S=C(S)N1CCNCC1,0,0.03515370345587534
9906,S=C(SSC(=S)N1CCCCC1)N1CCCCC1,0,0.02864563298147745
25510,S=C(S)N1CCCCC1.[NaH],0,0.03287235515417068
679,CCCCCCC(CC)(C(=O)O)C(=O)O,0,0.006060695502589563
1047,CCC(C)C(CC)(C(=O)O)C(=O)O,0,0.005698796352137568
3272,CCC(F)(C(N)=O)C(=O)O,0,0.006318968026734743
9853,CCCC#CCC(CC#CCCC)(C(=O)O)C(=O)O,0,0.005660649743192351
3371,CN(C(=O)c1ccccc1S)c1ccccc1,1,0.025445456349916157
29686,CCOC(=O)C(CCCC(C(=O)OCC)C(=O)OCC)C(=O)OCC,0,0.0081200705396955
101,C=C(C)CS(=O)(=O)O,0,0.006803015207507476
6556,CC(C)(C)C(=O)CS(=O)(=O)O,0,0.02275694653677298
6662,CNCS(=O)(=O)O,0,0.0064000939885548525
22718,Oc1cccc2c1NC1=C(CCCC1=Cc1ccccc1)C2,0,0.004476551878096388
1923,CCCCCC1OC1CC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC1OC1CCCCC,0,0.03655833627595188
11305,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.02160413267284341
11837,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(COS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.03723080972586143
12236,CCCCCCC(C)CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(C)CCCCCC,0,0.02792041030859678
