feature_idx,feature_name,raw_weight,abs_weight,normalized_abs_importance,direction,rank_abs_weight
119,maccs_bit_119,0.8326609019775725,0.8326609019775725,0.029991860760509845,positive,1
140,maccs_bit_140,0.6602981000658088,0.6602981000658088,0.02378347371729523,positive,2
82,maccs_bit_82,0.5672337527666995,0.5672337527666995,0.02043136130354604,positive,3
35,maccs_bit_35,0.5576671563406989,0.5576671563406989,0.0200867792206367,positive,4
59,maccs_bit_59,0.522866190590978,0.522866190590978,0.01883327288135981,positive,5
78,maccs_bit_78,-0.49437833796371344,0.49437833796371344,0.01780716044190981,negative,6
28,maccs_bit_28,-0.4843149810773618,0.4843149810773618,0.017444685396183567,negative,7
144,maccs_bit_144,0.4726160462896751,0.4726160462896751,0.01702329798341414,positive,8
150,maccs_bit_150,0.4438657516747934,0.4438657516747934,0.015987732567930766,positive,9
81,maccs_bit_81,0.42863054150235885,0.42863054150235885,0.015438970999970094,positive,10
51,maccs_bit_51,0.40679832673389194,0.40679832673389194,0.014652589960732775,positive,11
67,maccs_bit_67,0.40595331208906327,0.40595331208906327,0.014622153126833043,positive,12
24,maccs_bit_24,-0.389273501533791,0.389273501533791,0.014021358067887327,negative,13
14,maccs_bit_14,0.38895252385390955,0.38895252385390955,0.014009796677338818,positive,14
120,maccs_bit_120,0.386041315590192,0.386041315590192,0.013904937000749112,positive,15
11,maccs_bit_11,0.370018514734259,0.370018514734259,0.013327806969636561,positive,16
125,maccs_bit_125,0.3620560824632381,0.3620560824632381,0.013041005752694252,positive,17
70,maccs_bit_70,-0.32954526756441754,0.32954526756441754,0.011869989038278617,negative,18
131,maccs_bit_131,0.32821964555863187,0.32821964555863187,0.011822241064854902,positive,19
72,maccs_bit_72,-0.3221441649231413,0.3221441649231413,0.011603406520276137,negative,20
48,maccs_bit_48,0.3196645753088769,0.3196645753088769,0.011514093444235695,positive,21
44,maccs_bit_44,0.3192692527737331,0.3192692527737331,0.01149985420422651,positive,22
25,maccs_bit_25,-0.31508653722358876,0.31508653722358876,0.011349195728389815,negative,23
45,maccs_bit_45,-0.30948794971889854,0.30948794971889854,0.011147538539373964,negative,24
164,maccs_bit_164,0.3038552624527811,0.3038552624527811,0.010944653100905952,positive,25
65,maccs_bit_65,-0.29660820696664353,0.29660820696664353,0.010683619253216318,negative,26
151,maccs_bit_151,0.29261481028793324,0.29261481028793324,0.010539779910135709,positive,27
49,maccs_bit_49,0.29202994177786856,0.29202994177786856,0.010518713357262377,positive,28
128,maccs_bit_128,-0.29095041009443773,0.29095041009443773,0.01047982938437603,negative,29
158,maccs_bit_158,-0.28533584583902966,0.28533584583902966,0.010277596724022692,negative,30
137,maccs_bit_137,-0.2805344839453383,0.2805344839453383,0.01010465504147893,negative,31
64,maccs_bit_64,0.27849304752836873,0.27849304752836873,0.010031123935810616,positive,32
124,maccs_bit_124,-0.27247116589207654,0.27247116589207654,0.00981421998953068,negative,33
40,maccs_bit_40,0.2655574581646611,0.2655574581646611,0.009565193093939647,positive,34
97,maccs_bit_97,-0.2605719657081139,0.2605719657081139,0.009385619157870097,negative,35
130,maccs_bit_130,-0.2554032583526654,0.2554032583526654,0.009199445949847162,negative,36
3,maccs_bit_3,0.25414661576364367,0.25414661576364367,0.009154182566558533,positive,37
39,maccs_bit_39,0.25191065899318094,0.25191065899318094,0.00907364497440431,positive,38
89,maccs_bit_89,-0.24966718033164084,0.24966718033164084,0.008992836449017466,negative,39
55,maccs_bit_55,-0.2467701509480161,0.2467701509480161,0.008888487485728304,negative,40
108,maccs_bit_108,0.244925877557664,0.244925877557664,0.008822058053775412,positive,41
9,maccs_bit_9,-0.24485867757371643,0.24485867757371643,0.008819637557560352,negative,42
29,maccs_bit_29,0.24373977733767999,0.24373977733767999,0.008779335557064824,positive,43
50,maccs_bit_50,0.2430547580003637,0.2430547580003637,0.008754661641747975,positive,44
162,maccs_bit_162,-0.2404479499976725,0.2404479499976725,0.008660766248724942,negative,45
135,maccs_bit_135,0.228397703748006,0.228397703748006,0.008226724843884741,positive,46
19,maccs_bit_19,0.2261307437448645,0.2261307437448645,0.008145070537068621,positive,47
57,maccs_bit_57,-0.22150507614415937,0.22150507614415937,0.007978457239536264,negative,48
15,maccs_bit_15,0.22055546336660778,0.22055546336660778,0.007944252854374084,positive,49
104,maccs_bit_104,-0.2188410810049715,0.2188410810049715,0.007882502006029515,negative,50
80,maccs_bit_80,-0.21627719979001245,0.21627719979001245,0.007790152805745329,negative,51
13,maccs_bit_13,0.20659180345185324,0.20659180345185324,0.007441291633454754,positive,52
76,maccs_bit_76,-0.20601027379881812,0.20601027379881812,0.007420345343866142,negative,53
93,maccs_bit_93,0.20550583769659828,0.20550583769659828,0.007402175909821118,positive,54
157,maccs_bit_157,-0.20158276954214024,0.20158276954214024,0.007260869750779601,negative,55
53,maccs_bit_53,0.20107307726814194,0.20107307726814194,0.00724251099311948,positive,56
74,maccs_bit_74,-0.19612547388326432,0.19612547388326432,0.0070643017947951015,negative,57
91,maccs_bit_91,0.18518899437007866,0.18518899437007866,0.006670377485402623,positive,58
94,maccs_bit_94,0.18382009807485508,0.18382009807485508,0.006621070802472735,positive,59
34,maccs_bit_34,0.18351644733776953,0.18351644733776953,0.006610133516231882,positive,60
32,maccs_bit_32,-0.1816046988591468,0.1816046988591468,0.006541273678999469,negative,61
132,maccs_bit_132,-0.17910668085500994,0.17910668085500994,0.006451296825301422,negative,62
62,maccs_bit_62,0.17476693638638707,0.17476693638638707,0.006294982278131012,positive,63
105,maccs_bit_105,-0.17331917218473236,0.17331917218473236,0.006242834828614704,negative,64
38,maccs_bit_38,0.17199826568837945,0.17199826568837945,0.0061952567045282,positive,65
18,maccs_bit_18,-0.17070440609635606,0.17070440609635606,0.006148652790935701,negative,66
87,maccs_bit_87,-0.17025663203592337,0.17025663203592337,0.006132524283831824,negative,67
33,maccs_bit_33,-0.17004370259534715,0.17004370259534715,0.006124854714961221,negative,68
73,maccs_bit_73,-0.16830171814850525,0.16830171814850525,0.006062109658897494,negative,69
30,maccs_bit_30,-0.16308422515266385,0.16308422515266385,0.005874179226378609,negative,70
23,maccs_bit_23,-0.16061011115279744,0.16061011115279744,0.005785063378122268,negative,71
56,maccs_bit_56,-0.15730260304964916,0.15730260304964916,0.005665929259709496,negative,72
106,maccs_bit_106,-0.15411986804078856,0.15411986804078856,0.0055512893805022,negative,73
63,maccs_bit_63,0.14234040655073768,0.14234040655073768,0.005127001452482122,positive,74
152,maccs_bit_152,0.13913295204599366,0.13913295204599366,0.005011471194398089,positive,75
71,maccs_bit_71,-0.13790586077595401,0.13790586077595401,0.004967272228859945,negative,76
68,maccs_bit_68,0.1357965197670288,0.1357965197670288,0.004891295247491097,positive,77
7,maccs_bit_7,-0.13543716010077966,0.13543716010077966,0.0048783513647562525,negative,78
166,maccs_bit_166,0.13416559858489135,0.13416559858489135,0.004832550612202157,positive,79
134,maccs_bit_134,-0.13370035565295846,0.13370035565295846,0.004815792888618399,negative,80
102,maccs_bit_102,0.1319133435955895,0.1319133435955895,0.0047514259696545425,positive,81
111,maccs_bit_111,0.13146986388182627,0.13146986388182627,0.004735452141901002,positive,82
139,maccs_bit_139,-0.12940125888502926,0.12940125888502926,0.004660942443072725,negative,83
133,maccs_bit_133,0.1266951422694952,0.1266951422694952,0.004563470023577536,positive,84
31,maccs_bit_31,0.1226105532805024,0.1226105532805024,0.004416345997541445,positive,85
66,maccs_bit_66,-0.12254035880537054,0.12254035880537054,0.004413817641857502,negative,86
22,maccs_bit_22,0.11976090104931336,0.11976090104931336,0.004313703526001452,positive,87
113,maccs_bit_113,-0.11845101195802384,0.11845101195802384,0.00426652224110581,negative,88
160,maccs_bit_160,0.11735730499407306,0.11735730499407306,0.004227127684573005,positive,89
47,maccs_bit_47,-0.1171098272583088,0.1171098272583088,0.004218213710379261,negative,90
54,maccs_bit_54,-0.11705903529518362,0.11705903529518362,0.0042163842195478965,negative,91
42,maccs_bit_42,-0.11704518913474167,0.11704518913474167,0.0042158854905754465,negative,92
122,maccs_bit_122,-0.11516594732466291,0.11516594732466291,0.004148196520708661,negative,93
147,maccs_bit_147,0.11476874800475363,0.11476874800475363,0.004133889680230627,positive,94
161,maccs_bit_161,0.11443957770832201,0.11443957770832201,0.004122033197389142,positive,95
79,maccs_bit_79,-0.11103307555479106,0.11103307555479106,0.003999333382823057,negative,96
98,maccs_bit_98,-0.10835664464857647,0.10835664464857647,0.0039029302217239003,negative,97
146,maccs_bit_146,-0.1052262707064423,0.1052262707064423,0.0037901763513574194,negative,98
153,maccs_bit_153,-0.10369152054753926,0.10369152054753926,0.0037348957287670357,negative,99
92,maccs_bit_92,0.1021079979685357,0.1021079979685357,0.0036778583578663455,positive,100
129,maccs_bit_129,0.09981370958324443,0.09981370958324443,0.0035952197019228672,positive,101
126,maccs_bit_126,-0.09461577195348403,0.09461577195348403,0.00340799363995294,negative,102
107,maccs_bit_107,-0.09227071249071014,0.09227071249071014,0.003323526245464271,negative,103
156,maccs_bit_156,-0.09121003229309466,0.09121003229309466,0.0032853212898541775,negative,104
41,maccs_bit_41,-0.08803956801045472,0.08803956801045472,0.003171123393585394,negative,105
100,maccs_bit_100,-0.08768501221889888,0.08768501221889888,0.00315835254304237,negative,106
115,maccs_bit_115,0.08691782864137504,0.08691782864137504,0.0031307191295120865,positive,107
90,maccs_bit_90,0.0865916975292841,0.0865916975292841,0.003118972115955582,positive,108
75,maccs_bit_75,0.08637255955043194,0.08637255955043194,0.003111078919897662,positive,109
118,maccs_bit_118,0.0853874214417612,0.0853874214417612,0.0030755949372644528,positive,110
37,maccs_bit_37,0.08313165509380722,0.08313165509380722,0.0029943438180448528,positive,111
58,maccs_bit_58,-0.08192564469468855,0.08192564469468855,0.0029509041706683647,negative,112
112,maccs_bit_112,-0.08175478193048878,0.08175478193048878,0.0029447498139297877,negative,113
43,maccs_bit_43,0.08143343629853451,0.08143343629853451,0.0029331751700060957,positive,114
149,maccs_bit_149,-0.08129263901668983,0.08129263901668983,0.0029281037508215096,negative,115
136,maccs_bit_136,0.08112859301078718,0.08112859301078718,0.002922194928928149,positive,116
21,maccs_bit_21,-0.08035377942711638,0.08035377942711638,0.0028942866879363895,negative,117
61,maccs_bit_61,-0.08014815167580391,0.08014815167580391,0.0028868801207837668,negative,118
165,maccs_bit_165,-0.07766040234040598,0.07766040234040598,0.0027972731373201486,negative,119
96,maccs_bit_96,0.07590479026609355,0.07590479026609355,0.002734037223688087,positive,120
69,maccs_bit_69,-0.07486596823040727,0.07486596823040727,0.0026966195837157332,negative,121
155,maccs_bit_155,-0.0734429944224267,0.0734429944224267,0.0026453650667647797,negative,122
60,maccs_bit_60,0.07002423446374588,0.07002423446374588,0.0025222237346680756,positive,123
116,maccs_bit_116,-0.0691671440648754,0.0691671440648754,0.002491351940590748,negative,124
86,maccs_bit_86,-0.06507086988590473,0.06507086988590473,0.0023438070222202814,negative,125
26,maccs_bit_26,0.05786964419109307,0.05786964419109307,0.0020844239314196347,positive,126
159,maccs_bit_159,0.055682255403824286,0.055682255403824286,0.0020056357239019566,positive,127
83,maccs_bit_83,0.05216376494513898,0.05216376494513898,0.0018789021692539034,positive,128
84,maccs_bit_84,0.050738554470636396,0.050738554470636396,0.0018275670891460434,positive,129
46,maccs_bit_46,-0.050688856975679854,0.050688856975679854,0.00182577702028927,negative,130
154,maccs_bit_154,0.04738834846236622,0.04738834846236622,0.0017068950221852614,positive,131
