,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.029360484007996658
21,CC(C)CCS(=O)(=O)O,0,0.00936384434670266
90,O=S(=O)(O)CCO,0,0.04030398319463762
106,O=S(=O)(O)CO,0,0.012564990210786572
117,O=S(=O)(O)CCCCBr,0,0.012294777526973331
123,CCCCCCCCS(=O)(=O)O,0,0.01522069923078713
126,O=S(=O)(O)CCCCCO,0,0.041986252468375465
171,CCCCS(=O)(=O)O,0,0.014435125588168736
408,O=S(=O)(O)CS(=O)(=O)O,0,0.012738318543683218
480,CNCCS(=O)(=O)O,0,0.038797759125102235
802,O=C(O)CS(=O)(=O)O,0,0.01688232006732272
929,O=C(O)CCS(=O)(=O)O,0,0.023450813512909903
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.01522069923078713
1120,NCCS(=O)(=O)O,0,0.031230644633184486
1351,NCS(=O)(=O)O,0,0.010219169891786289
1370,CN(C)CCS(=O)(=O)O,0,0.006622751013788531
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.007805134029452466
2578,O=S(=O)(O)CCCCO,0,0.05537972467616034
2822,NCCCS(=O)(=O)O,0,0.03954610153402832
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.014543864888407953
3133,O=S(=O)(O)CCCO,0,0.05038404032972508
3292,CCCS(=O)(=O)O,0,0.012874198592199728
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.015451897250863577
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.031436924104895805
4183,O=S(=O)(O)CCS,0,0.032600095929687094
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.08906288526197795
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.023123230946157758
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.06501477251326988
5923,C[S+](C)CCS(=O)(=O)O,0,0.014822603852793534
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.0277162188951336
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.038668174040586624
6648,CC(=O)CCS(=O)(=O)O,0,0.02827063014874908
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.06716496810682906
17847,NCCCCCS(=O)(=O)O,0,0.03289216358028103
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.010768949748292353
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.019075762979748646
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.01497029617860176
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.011195809271350084
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.02272138522176397
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.0192032781725969
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.015288709115330182
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.014897828146387576
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.021137285442996194
