,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.002275569257328664
21,CC(C)CCS(=O)(=O)O,0,0.007421118437444404
90,O=S(=O)(O)CCO,0,0.0031535341476829396
106,O=S(=O)(O)CO,0,0.003897965733586611
117,O=S(=O)(O)CCCCBr,0,0.006314026926261732
123,CCCCCCCCS(=O)(=O)O,0,0.009576417710737752
126,O=S(=O)(O)CCCCCO,0,0.008777626453542544
171,CCCCS(=O)(=O)O,0,0.00601886768759557
408,O=S(=O)(O)CS(=O)(=O)O,0,0.002988341170601891
480,CNCCS(=O)(=O)O,0,0.006556904584681735
802,O=C(O)CS(=O)(=O)O,0,0.0014579538933352978
929,O=C(O)CCS(=O)(=O)O,0,0.0030275636667698486
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.00923613109268377
1120,NCCS(=O)(=O)O,0,0.0036670011145541327
1351,NCS(=O)(=O)O,0,0.006272716619306806
1370,CN(C)CCS(=O)(=O)O,0,0.004993220322411985
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.004144040333777621
2578,O=S(=O)(O)CCCCO,0,0.006506291754470468
2822,NCCCS(=O)(=O)O,0,0.005140221882777197
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.003407048737624554
3133,O=S(=O)(O)CCCO,0,0.004465004216872261
3292,CCCS(=O)(=O)O,0,0.004394915921023851
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.004602301035472459
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.00650826073863477
4183,O=S(=O)(O)CCS,0,0.02242494324342578
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.02360210490576997
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.00428238906449483
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.028750050726895425
5923,C[S+](C)CCS(=O)(=O)O,0,0.009562796444513931
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.004469343151818014
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.00452989498107657
6648,CC(=O)CCS(=O)(=O)O,0,0.004015267846355027
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.0038685275336932416
17847,NCCCCCS(=O)(=O)O,0,0.007481370157127597
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.005970758698897018
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.004064931193306198
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.005266986046085415
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0020027361497487184
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.004041381281725795
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.003759366961580428
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.0036930292796362734
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0030933541251035356
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.08674177511987165
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.2643189534447705
16,NNP(=S)(NN)c1ccccc1,1,0.059409211666538043
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.017317778125267542
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.015213033762314329
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.044289806037478494
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.032553566435928494
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.004818730559607953
125,CCOC(C)CCCS(=O)(=O)O,0,0.013411155519698846
1676,CC(O)CS(=O)(=O)O,0,0.003422623212670352
23,CCCNP(=S)(NCCC)NCCC,0,0.015590641213857377
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.016709806394202154
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.011030378553181515
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.013478181180866161
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.01251892565478491
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.007353401774778432
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.02029360182634048
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.0016428390685836501
26906,C#CCOC(=O)C=[N+]=[N-],0,0.0021869565910461047
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.023987377012874386
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.0037982187052146743
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.004131707350154104
34,Nc1nc(O)c2nn[nH]c2n1,0,0.012481801250047166
13982,COc1nc(O)c2nn[nH]c2n1,0,0.008283749851758362
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.016177946446318137
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.003861383822435586
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.001206222689732007
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.005352549897000759
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.0024543438232990755
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.007952685255649577
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.010479500444714301
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.007960037464351349
36,Nc1nc(S)c2nc[nH]c2n1,0,0.16954142427604002
37,Sc1ncnc2[nH]cnc12,0,0.14976386192728927
1937,Nc1nnnc2[nH]cnc12,0,0.010491202953193541
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.01289845390175821
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.4392014651460099
781,Sc1nnc(S)c2[nH]cnc12,0,0.38501358959555226
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.06884098462455315
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.05324426019731555
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.12913948633601738
41,CCCCOB(OCCCC)OCCCC,0,0.0011568959071999508
42,CCCCCOB(OCCCCC)OCCCCC,0,0.001322817270671862
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.005921216523860082
51,NC1(C(=O)O)CCCC1,0,0.0074258997064627725
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.014335026357438248
4076,NC1(C(=O)O)CSSC1,0,0.03291835299866247
53,CCOC(=S)SCCSC,0,0.024448258286741874
9721,CCOC(=S)SSC(=S)OCC,0,0.025741748385328157
9722,CCOC(=S)SSSC(=S)OCC,0,0.04205620543026249
58,CCCCCOC(=S)S,0,0.058740988498876594
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.022057878708832784
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.010273376236561932
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.03339571722366591
13095,CCCCCCCCCOC(=S)NC,0,0.014684455883703642
13096,CCCCCCCCCCCCOC(=S)NC,0,0.013219232815417092
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.012569754621253098
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.016654816302798577
64,CCC(C)(C(=O)O)C(=O)O,0,0.0020736107391166715
94,CCC(CC)(C(=O)O)C(=O)O,0,0.002088298953000845
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,0.004767233431821012
65,CC(C)C(C(=O)O)C(=O)O,0,0.0013959120849378341
318,CC(CCC(C)C(=O)O)C(=O)O,0,0.00408161635434255
66,CCOC(=O)C(=O)C1CCCCC1=O,0,0.007491697680983845
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.010310553240167617
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.015007036369071502
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.013573765864143427
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.0031985100458913015
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.014648845885252575
