,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,-1.94185040670986
21,CC(C)CCS(=O)(=O)O,0,-1.3412483469383316
90,O=S(=O)(O)CCO,0,-1.824895550531707
106,O=S(=O)(O)CO,0,-1.7788967044118693
117,O=S(=O)(O)CCCCBr,0,-0.9997948124764983
123,CCCCCCCCS(=O)(=O)O,0,-1.6081317961176071
126,O=S(=O)(O)CCCCCO,0,-1.437850434418484
171,CCCCS(=O)(=O)O,0,-2.064690314180373
408,O=S(=O)(O)CS(=O)(=O)O,0,-1.7147791427547143
480,CNCCS(=O)(=O)O,0,-1.76900183272262
802,O=C(O)CS(=O)(=O)O,0,-1.883531295533657
929,O=C(O)CCS(=O)(=O)O,0,-1.4308244517352795
1061,CCCCCCCCCCCCS(=O)(=O)O,0,-1.6081317961176071
1120,NCCS(=O)(=O)O,0,-1.6939440248988493
1351,NCS(=O)(=O)O,0,-2.0098319071265434
1370,CN(C)CCS(=O)(=O)O,0,-1.6609016799419318
1960,C[N+](C)(C)CCS(=O)(=O)O,0,-1.39539892978793
2578,O=S(=O)(O)CCCCO,0,-1.436725215592063
2822,NCCCS(=O)(=O)O,0,-1.8929862646148499
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,-1.5583179588248113
3133,O=S(=O)(O)CCCO,0,-1.3812717089456634
3292,CCCS(=O)(=O)O,0,-1.8240474326411964
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,-2.101798864774379
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,-2.006347934035957
4183,O=S(=O)(O)CCS,0,-1.528634090071026
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,-1.5852348083621444
5653,O=S(=O)(O)CCN(CCO)CCO,0,-1.8159124208977948
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,-1.712135970181298
5923,C[S+](C)CCS(=O)(=O)O,0,-1.7041086660141895
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,-1.3159868699592772
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,-1.4574214431182733
6648,CC(=O)CCS(=O)(=O)O,0,-1.8036420528647312
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,-1.716375990017363
17847,NCCCCCS(=O)(=O)O,0,-1.0776684643086578
10,CC(C)(CCC(=O)O)CCC(=O)O,0,-1.6148150372998629
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,-1.07192104867968
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,-1.4430131070052907
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.535484521439676
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,-1.4531349539775462
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,-1.8112185529668974
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,-1.366465055450509
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,-1.578238214562254
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,-1.1329809546617637
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,-1.0234727156809664
16,NNP(=S)(NN)c1ccccc1,1,-1.3997180546749257
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,-1.8669392429767064
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,-1.9317894162047806
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,-1.647439935108309
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,-1.7439991106046469
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,-1.7611842112949703
125,CCOC(C)CCCS(=O)(=O)O,0,-1.5470561977969193
1676,CC(O)CS(=O)(=O)O,0,-1.7167258287506206
23,CCCNP(=S)(NCCC)NCCC,0,-1.6505211754766373
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,-1.9296282901773067
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,-2.240363171993944
3720,CCOP(=O)(NC1CCCCC1)OCC,0,-2.0605400547534027
