,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.017506741468112572
21,CC(C)CCS(=O)(=O)O,0,0.022144318842793883
90,O=S(=O)(O)CCO,0,0.023340547978541834
106,O=S(=O)(O)CO,0,0.023861417429853597
117,O=S(=O)(O)CCCCBr,0,0.020555962071335383
123,CCCCCCCCS(=O)(=O)O,0,0.0264949171350283
126,O=S(=O)(O)CCCCCO,0,0.027660238326354832
171,CCCCS(=O)(=O)O,0,0.022325963139599666
408,O=S(=O)(O)CS(=O)(=O)O,0,0.01448717719289434
480,CNCCS(=O)(=O)O,0,0.02190273441994881
802,O=C(O)CS(=O)(=O)O,0,0.016442639040401497
929,O=C(O)CCS(=O)(=O)O,0,0.019776372005768327
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.022800604319452977
1120,NCCS(=O)(=O)O,0,0.022739690446416636
1351,NCS(=O)(=O)O,0,0.021973735528089924
1370,CN(C)CCS(=O)(=O)O,0,0.024132309005014566
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.024878635854350194
2578,O=S(=O)(O)CCCCO,0,0.026498563966008117
2822,NCCCS(=O)(=O)O,0,0.021536201224042005
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.030673321985361834
3133,O=S(=O)(O)CCCO,0,0.026117128962008525
3292,CCCS(=O)(=O)O,0,0.021185365477721558
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.02522536016626334
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.020125224311216647
4183,O=S(=O)(O)CCS,0,0.028326092973961624
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.030979867961818078
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.03257407938431522
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.03739324838329961
5923,C[S+](C)CCS(=O)(=O)O,0,0.022431022864287012
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.01867631762797933
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.022463321661211105
6648,CC(=O)CCS(=O)(=O)O,0,0.019368799279480528
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.020664330732211956
17847,NCCCCCS(=O)(=O)O,0,0.024544248663954753
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.0341702998958463
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.03791798181942167
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.03789329678334397
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.030951606847772407
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.03985542591451933
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.024330395130223288
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.01976511152046436
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.03359668720656958
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.04072438222633763
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.2876634484660944
16,NNP(=S)(NN)c1ccccc1,1,0.15028527765737326
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.03402890461197867
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.014258829003762508
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.03219831681609278
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.0396554595888809
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.013440984935301969
125,CCOC(C)CCCS(=O)(=O)O,0,0.02398180424687745
1676,CC(O)CS(=O)(=O)O,0,0.020209666618718727
23,CCCNP(=S)(NCCC)NCCC,0,0.02194015137679368
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,5.912307496865778e-05
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.013598278391731078
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.03292771173731907
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.02381317769684355
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.019447103495531783
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.035512034534589995
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.0222690594571973
26906,C#CCOC(=O)C=[N+]=[N-],0,0.011370624567697097
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.03133615026275024
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.021712496101896458
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.02326776253698649
34,Nc1nc(O)c2nn[nH]c2n1,0,0.024957341774104375
13982,COc1nc(O)c2nn[nH]c2n1,0,0.03649690063640927
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.02735526459559528
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.022809728229007023
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.01847805333270792
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.02296482892122026
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.029558180757752132
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.01072091917670975
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.03567557117877101
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.02158874450481479
36,Nc1nc(S)c2nc[nH]c2n1,0,0.020087430178895214
37,Sc1ncnc2[nH]cnc12,0,0.02666242785602969
1937,Nc1nnnc2[nH]cnc12,0,0.021643711376640524
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.026030793673094105
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.04073006150791675
781,Sc1nnc(S)c2[nH]cnc12,0,0.04072756085016403
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.025248888400302087
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.04072709195592361
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.02316737920551262
41,CCCCOB(OCCCC)OCCCC,0,0.02070631856566778
42,CCCCCOB(OCCCCC)OCCCCC,0,0.015752310038209556
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.010165173439336034
51,NC1(C(=O)O)CCCC1,0,0.028232248034422317
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.026223318132680716
4076,NC1(C(=O)O)CSSC1,0,0.036271498078782355
53,CCOC(=S)SCCSC,0,0.02069746044379596
9721,CCOC(=S)SSC(=S)OCC,0,0.02759161869026425
9722,CCOC(=S)SSSC(=S)OCC,0,0.025904446049970192
58,CCCCCOC(=S)S,0,0.020368123573928115
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.026857638659034237
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.021139758038709728
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.02367331930660939
13095,CCCCCCCCCOC(=S)NC,0,0.023611098073614823
13096,CCCCCCCCCCCCOC(=S)NC,0,0.01810517600024238
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.0197182496512896
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.022229223064095062
64,CCC(C)(C(=O)O)C(=O)O,0,0.03304902121417552
