,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.021738421248115883
21,CC(C)CCS(=O)(=O)O,0,0.028914508586701776
90,O=S(=O)(O)CCO,0,0.02122003077065947
106,O=S(=O)(O)CO,0,0.02061526730599042
117,O=S(=O)(O)CCCCBr,0,0.02801188130737274
123,CCCCCCCCS(=O)(=O)O,0,0.024012407902408443
126,O=S(=O)(O)CCCCCO,0,0.02095856041938063
171,CCCCS(=O)(=O)O,0,0.0223820979653397
408,O=S(=O)(O)CS(=O)(=O)O,0,0.021732461370665875
480,CNCCS(=O)(=O)O,0,0.02253480758935239
802,O=C(O)CS(=O)(=O)O,0,0.017466533960256065
929,O=C(O)CCS(=O)(=O)O,0,0.022070632779080356
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.024012407902408443
1120,NCCS(=O)(=O)O,0,0.02473139164773333
1351,NCS(=O)(=O)O,0,0.021146187372331263
1370,CN(C)CCS(=O)(=O)O,0,0.024920411809210227
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.025591152186835782
2578,O=S(=O)(O)CCCCO,0,0.02052354368538273
2822,NCCCS(=O)(=O)O,0,0.023422264424190303
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.021018283453762637
3133,O=S(=O)(O)CCCO,0,0.02143856512678938
3292,CCCS(=O)(=O)O,0,0.022878537240896175
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.01998486519557082
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.016501417048028075
4183,O=S(=O)(O)CCS,0,0.025657383979929817
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.025695035838846397
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.021106634352883975
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.022368676700076716
5923,C[S+](C)CCS(=O)(=O)O,0,0.0230821682543582
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.024182198275556448
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.02284276761089388
6648,CC(=O)CCS(=O)(=O)O,0,0.019909377106295926
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.02649729030961722
17847,NCCCCCS(=O)(=O)O,0,0.028110112118880336
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.020533192216608376
