,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.020034201630258052
21,CC(C)CCS(=O)(=O)O,0,0.024590365945693426
90,O=S(=O)(O)CCO,0,0.025744656110936747
106,O=S(=O)(O)CO,0,0.026244867760595248
117,O=S(=O)(O)CCCCBr,0,0.023045162405609148
123,CCCCCCCCS(=O)(=O)O,0,0.028753141590838912
126,O=S(=O)(O)CCCCCO,0,0.029852672917471346
171,CCCCS(=O)(=O)O,0,0.02476614839146076
408,O=S(=O)(O)CS(=O)(=O)O,0,0.016984959014144044
480,CNCCS(=O)(=O)O,0,0.024356289834732085
802,O=C(O)CS(=O)(=O)O,0,0.01896801391174305
929,O=C(O)CCS(=O)(=O)O,0,0.022281182841845704
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.025224608635804738
1120,NCCS(=O)(=O)O,0,0.025165840555867607
1351,NCS(=O)(=O)O,0,0.02442511857321025
1370,CN(C)CCS(=O)(=O)O,0,0.026504459341218305
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.027217731760751214
2578,O=S(=O)(O)CCCCO,0,0.028756592084531164
2822,NCCCS(=O)(=O)O,0,0.024000512141776814
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.03266884467644907
3133,O=S(=O)(O)CCCO,0,0.02839536060893745
3292,CCCS(=O)(=O)O,0,0.02365924087102974
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.027548160401168847
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.02262351998812533
4183,O=S(=O)(O)CCS,0,0.030478256949285257
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.03295331690874299
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.0344270277621885
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.03882817737954054
5923,C[S+](C)CCS(=O)(=O)O,0,0.02486773368455217
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.021196502676472113
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.02489895201537411
6648,CC(=O)CCS(=O)(=O)O,0,0.021880235250646914
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.02315106294400042
17847,NCCCCCS(=O)(=O)O,0,0.02689849944677629
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.035893406738154776
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.039302890291327414
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.039280577062908266
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.03292710592560324
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.04104856942234534
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.02669404526833342
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.022270119777261704
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.03536747912421552
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.04182802290130081
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.2367836376111329
16,NNP(=S)(NN)c1ccccc1,1,0.13112993682565788
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.0357638708507038
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.01675122052786479
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.03408051354491859
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.04086889881984304
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.01591005615610549
125,CCOC(C)CCCS(=O)(=O)O,0,0.026360279273116835
1676,CC(O)CS(=O)(=O)O,0,0.022706270008105454
23,CCCNP(=S)(NCCC)NCCC,0,0.024392565543812385
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.00013960687326564674
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.01607233396568253
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.03475266897578093
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.026198600670482942
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.02195735021584269
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.03711925849845156
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.024711100910354916
26906,C#CCOC(=O)C=[N+]=[N-],0,0.013750011630973408
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.03328349263357732
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.024171730281055247
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.02567464370460561
34,Nc1nc(O)c2nn[nH]c2n1,0,0.027292790214858347
13982,COc1nc(O)c2nn[nH]c2n1,0,0.038015316482902205
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.02956550121693606
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.025233409400245325
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.02100014700140689
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.025382947726535578
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.03163090265114064
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.013062085871528028
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.03726826455342103
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.02405156114044394
36,Nc1nc(S)c2nc[nH]c2n1,0,0.022586468812370943
37,Sc1ncnc2[nH]cnc12,0,0.028911571147136883
1937,Nc1nnnc2[nH]cnc12,0,0.024104947699601482
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.028313504555651334
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.04183311029810148
781,Sc1nnc(S)c2[nH]cnc12,0,0.04183087026549039
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.027570561606818127
