,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.012672792291829387
21,CC(C)CCS(=O)(=O)O,0,0.027795264744083507
90,O=S(=O)(O)CCO,0,0.016018026631657162
106,O=S(=O)(O)CO,0,0.014997683934635983
117,O=S(=O)(O)CCCCBr,0,0.027789830902111574
123,CCCCCCCCS(=O)(=O)O,0,0.019017703258505866
126,O=S(=O)(O)CCCCCO,0,0.01238409642192735
171,CCCCS(=O)(=O)O,0,0.013999093206738547
408,O=S(=O)(O)CS(=O)(=O)O,0,0.015231070044404854
480,CNCCS(=O)(=O)O,0,0.021182145816195277
802,O=C(O)CS(=O)(=O)O,0,0.010614358170097891
929,O=C(O)CCS(=O)(=O)O,0,0.016936809187542513
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.019017703258505866
1120,NCCS(=O)(=O)O,0,0.01935390908462496
1351,NCS(=O)(=O)O,0,0.009496099918270108
1370,CN(C)CCS(=O)(=O)O,0,0.025499986187360647
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.023192771825872604
2578,O=S(=O)(O)CCCCO,0,0.012839000652135803
2822,NCCCS(=O)(=O)O,0,0.01361198962742655
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.01962961012638368
3133,O=S(=O)(O)CCCO,0,0.016112209237259825
3292,CCCS(=O)(=O)O,0,0.015216162572295123
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.008878141581174734
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.004914342156226611
4183,O=S(=O)(O)CCS,0,0.024210889673320957
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.017737723127761926
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.0226084145695663
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.01625767330217121
5923,C[S+](C)CCS(=O)(=O)O,0,0.015481263260253775
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.019470059861784995
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.015656177301048367
6648,CC(=O)CCS(=O)(=O)O,0,0.01255683584775874
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.019757103694307623
17847,NCCCCCS(=O)(=O)O,0,0.027729724383432422
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.010453706804871905
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.026476024547908844
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.019023662497263952
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.014930447469321345
