,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.010689862308448402
21,CC(C)CCS(=O)(=O)O,0,0.014102570870838686
90,O=S(=O)(O)CCO,0,0.017513365010614044
106,O=S(=O)(O)CO,0,0.00717865171016576
117,O=S(=O)(O)CCCCBr,0,0.010704032238206462
123,CCCCCCCCS(=O)(=O)O,0,0.010902692580335913
126,O=S(=O)(O)CCCCCO,0,0.014322071548264672
171,CCCCS(=O)(=O)O,0,0.013680050019893765
408,O=S(=O)(O)CS(=O)(=O)O,0,0.006878813779376893
480,CNCCS(=O)(=O)O,0,0.021907272139752226
802,O=C(O)CS(=O)(=O)O,0,0.008043651724183322
929,O=C(O)CCS(=O)(=O)O,0,0.010411984853163058
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.010902692580335913
1120,NCCS(=O)(=O)O,0,0.008857369881632583
1351,NCS(=O)(=O)O,0,0.005016574269751224
1370,CN(C)CCS(=O)(=O)O,0,0.018882422478635287
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.020634706437458718
2578,O=S(=O)(O)CCCCO,0,0.01688851347561623
2822,NCCCS(=O)(=O)O,0,0.010828552668515708
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.020069396248042944
3133,O=S(=O)(O)CCCO,0,0.018316035813221297
3292,CCCS(=O)(=O)O,0,0.010161364627018964
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.01994697194205923
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.020012134630189294
4183,O=S(=O)(O)CCS,0,0.013632145940481434
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.023004426410343285
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.00949400603806979
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.025185319307755225
5923,C[S+](C)CCS(=O)(=O)O,0,0.018815629351243264
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.012789275274285784
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.011964000179442082
6648,CC(=O)CCS(=O)(=O)O,0,0.015910424218871747
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.01938012034539023
17847,NCCCCCS(=O)(=O)O,0,0.008184965925075319
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.02501460860135086
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.02415907154164664
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.026922987983859538
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.021212776773351535
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.025446845583015
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.018567496574906972
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.012597332697036164
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.01916938437611552
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.02988488002601731
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.10185439181518953
16,NNP(=S)(NN)c1ccccc1,1,0.0655581238138746
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.01764870956522655
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.016722626437667715
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.008873063675552944
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.018968663810050405
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.024560337633242075
125,CCOC(C)CCCS(=O)(=O)O,0,0.01914107895015549
1676,CC(O)CS(=O)(=O)O,0,0.010181171933169848
23,CCCNP(=S)(NCCC)NCCC,0,0.018224608372820413
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.016630650790605692
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.01978764800625257
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.020052841538961506
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.015892151167458207
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.018687586598498954
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.016360380909561604
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.013943236559599762
26906,C#CCOC(=O)C=[N+]=[N-],0,0.021471810766785546
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.017057405506199656
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.01892013716892321
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.01686875939316305
34,Nc1nc(O)c2nn[nH]c2n1,0,0.013609373487973487
13982,COc1nc(O)c2nn[nH]c2n1,0,0.026167749608734827
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.018167891341503074
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.027880850802587637
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.012384583295977034
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.02509524374666248
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.02027441514211668
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.02257534525848313
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.020445005201131825
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.02684484128373114
36,Nc1nc(S)c2nc[nH]c2n1,0,0.02262865191897569
37,Sc1ncnc2[nH]cnc12,0,0.029652996081036172
1937,Nc1nnnc2[nH]cnc12,0,0.01490602000756703
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.011113851363253274
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.029924146692371062
781,Sc1nnc(S)c2[nH]cnc12,0,0.027193522573711
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.007944464540663367
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.0299308067582187
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.024435723941734825
41,CCCCOB(OCCCC)OCCCC,0,0.017126590556236276
42,CCCCCOB(OCCCCC)OCCCCC,0,0.020423315438991188
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.024364763343473365
51,NC1(C(=O)O)CCCC1,0,0.016758947679338422
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.014676408058895375
4076,NC1(C(=O)O)CSSC1,0,0.029910693444995234
53,CCOC(=S)SCCSC,0,0.01833267585386796
9721,CCOC(=S)SSC(=S)OCC,0,0.01962176777520448
9722,CCOC(=S)SSSC(=S)OCC,0,0.01938166798927144
58,CCCCCOC(=S)S,0,0.024644638366249676
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.020118511961001756
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.029877999009460456
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.02347655224335339
13095,CCCCCCCCCOC(=S)NC,0,0.020251287509457292
13096,CCCCCCCCCCCCOC(=S)NC,0,0.020251287509457292
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.020052435995874272
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.02505317206103788
64,CCC(C)(C(=O)O)C(=O)O,0,0.024902714806558885
94,CCC(CC)(C(=O)O)C(=O)O,0,0.023676479867845338
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,0.020387106278784643
65,CC(C)C(C(=O)O)C(=O)O,0,0.029935065423138334
318,CC(CCC(C)C(=O)O)C(=O)O,0,0.02745520033928809
66,CCOC(=O)C(=O)C1CCCCC1=O,0,0.02141106366477066
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.019826205606148267
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.0171556656734981
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.02036660597152048
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.019337820022507737
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.02324566402344456
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,0.02871022595000563
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.027322852468446363
1152,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,0.026096723203397197
2738,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,0,0.026512958620194867
9752,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.027322852468446363
19729,CCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCC,0,0.027806264249050756
19730,CCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,0,0.027806264249050756
19731,CCCCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.027806264249050756
21674,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,0,0.02786062096413371
24295,CCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCC,0,0.027806264249050756
24296,CCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCC,0,0.027806264249050756
40027,CCCCCCCCCCCC(=O)OCC(O)CO,0,0.027322852468446363
72,CC(C)OC(=S)SSC(=S)OC(C)C,0,0.02149072233991186
878,CC(C)OC(=S)SSC(=S)NCCNC(=S)SSC(=S)OC(C)C,0,0.027310270799352814
6828,CCCCCCCCCCCCSSC(=S)OC(C)C,0,0.0172264329184656
9723,CC(C)OC(=S)SSSC(=S)OC(C)C,0,0.02094427814786603
2987,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0.025920603984711778
17855,CCN(CC)C(=O)N1CCN(C=S)CC1,0,0.014549930642214635
92,C1CCNCC1.S=C(S)N1CCCCC1,0,0.026890843529670402
212,C1COCCN1.S=C(S)N1CCOCC1,0,0.02003886442338198
570,S=C(S)N1CCNCC1,0,0.029918946466052584
9906,S=C(SSC(=S)N1CCCCC1)N1CCCCC1,0,0.025021481753917548
25510,S=C(S)N1CCCCC1.[NaH],0,0.021616011077316585
679,CCCCCCC(CC)(C(=O)O)C(=O)O,0,0.02798738903842543
1047,CCC(C)C(CC)(C(=O)O)C(=O)O,0,0.029888804717766417
3272,CCC(F)(C(N)=O)C(=O)O,0,0.018504212699838592
9853,CCCC#CCC(CC#CCCC)(C(=O)O)C(=O)O,0,0.02302393146675081
3371,CN(C(=O)c1ccccc1S)c1ccccc1,1,0.061901823063427786
29686,CCOC(=O)C(CCCC(C(=O)OCC)C(=O)OCC)C(=O)OCC,0,0.026488604593237416
101,C=C(C)CS(=O)(=O)O,0,0.006664806077254361
6556,CC(C)(C)C(=O)CS(=O)(=O)O,0,0.012133600166796382
6662,CNCS(=O)(=O)O,0,0.008154357031393588
22718,Oc1cccc2c1NC1=C(CCCC1=Cc1ccccc1)C2,0,0.024367830903858287
1923,CCCCCC1OC1CC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC1OC1CCCCC,0,0.021705466478073924
11305,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.02099917148651818
11837,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(COS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.02730400938306436
12236,CCCCCCC(C)CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(C)CCCCCC,0,0.028619552145237426
12237,CCCCCCCCC(C)CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(C)CCCCCCCC,0,0.028619552145237426
12238,CCCCCCCCCCC(C)CCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC(C)CCCCCCCCCC,0,0.028619552145237426
12239,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)COCCOCCOCCOCCOCCOC)COP(=O)([O-])OCC[N+](C)(C)C,0,0.028619552145237426
12241,CCCCCCCCCCCCCCCCCC(=O)OCC(CN(C)CCN(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0,0.02591752831159762
13322,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCN)OC(=O)CCCN.O=C(O)C(F)(F)F,0,0.01683872843213753
13618,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],0,0.02018920295688802
17319,CCCCCCCCCCCC(=O)OC(COC(N)=O)COc1ccc(Cl)cc1,0,0.01641604149189054
21671,CCCCCCCC(=O)OC(CBr)COC(=O)C(C)(C)C,0,0.021126197799881837
21672,CCCCCCCC(=O)OCC(COC(=O)C(C)(C)C)OC(=O)Cc1ccccc1,0,0.026716320169555736
21673,CCCCCCCC(=O)OC(COC(=O)Cc1ccccc1)COC(=O)C(C)(C)C,0,0.026716320169555736
21985,CCCCCCCCCCCCCCCCCCSCC(COP(=O)(O)OP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.[NaH],0,0.026986819722906782
22265,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCC=CCCCCC.[NaH],0,0.029910597767867038
26648,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0,0.026304870786759266
30683,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)CCC(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.02359937330686958
39296,CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)CO[PH](=O)O,0,0.028196191423366115
110,Cc1cc(SCC(=O)c2ccccc2[N+](=O)[O-])cc(C)[o+]1,0,0.019579799827129353
112,CCSC(SCC)C(O)C(O)C(O)C(O)C(O)C(O)CO,0,0.020167207982038124
