,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.009162950518973112
21,CC(C)CCS(=O)(=O)O,0,0.014511774597346663
90,O=S(=O)(O)CCO,0,0.016390854217750328
106,O=S(=O)(O)CO,0,0.008511473655709844
117,O=S(=O)(O)CCCCBr,0,0.016615482565206258
123,CCCCCCCCS(=O)(=O)O,0,0.012861953165884002
126,O=S(=O)(O)CCCCCO,0,0.015864352700876192
171,CCCCS(=O)(=O)O,0,0.008823771601278788
408,O=S(=O)(O)CS(=O)(=O)O,0,0.012994469917173764
480,CNCCS(=O)(=O)O,0,0.021972137346620634
802,O=C(O)CS(=O)(=O)O,0,0.009260025886628283
929,O=C(O)CCS(=O)(=O)O,0,0.007823483164281953
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.012861953165884002
1120,NCCS(=O)(=O)O,0,0.0145464147103808
1351,NCS(=O)(=O)O,0,0.013885912033140636
1370,CN(C)CCS(=O)(=O)O,0,0.022005386320317427
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.022000019365846613
2578,O=S(=O)(O)CCCCO,0,0.015598524195913647
2822,NCCCS(=O)(=O)O,0,0.006119624141839041
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.017043221300189267
3133,O=S(=O)(O)CCCO,0,0.00934812487766053
3292,CCCS(=O)(=O)O,0,0.011553172355679767
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.00989271853659133
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.005987021644223295
4183,O=S(=O)(O)CCS,0,0.02199160775164393
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.011156578918368004
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.02196359126935521
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.00854372998845171
5923,C[S+](C)CCS(=O)(=O)O,0,0.007525711874111594
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.020986425456238317
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.010440697023837296
6648,CC(=O)CCS(=O)(=O)O,0,0.014190302331480545
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.01587432564757891
17847,NCCCCCS(=O)(=O)O,0,0.011613685031959994
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.015404517213380946
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.014919169192760474
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.02196972597023169
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.013155334566766338
