,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.00984894
21,CC(C)CCS(=O)(=O)O,0,0.011692012
90,O=S(=O)(O)CCO,0,0.011644842
106,O=S(=O)(O)CO,0,0.011644842
117,O=S(=O)(O)CCCCBr,0,0.012328121
123,CCCCCCCCS(=O)(=O)O,0,0.010353699
126,O=S(=O)(O)CCCCCO,0,0.012319067
171,CCCCS(=O)(=O)O,0,0.009336663
408,O=S(=O)(O)CS(=O)(=O)O,0,0.020290785
480,CNCCS(=O)(=O)O,0,0.010803508
802,O=C(O)CS(=O)(=O)O,0,0.011441108
929,O=C(O)CCS(=O)(=O)O,0,0.020763658
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.010353699
1120,NCCS(=O)(=O)O,0,0.014053257
1351,NCS(=O)(=O)O,0,0.014053257
1370,CN(C)CCS(=O)(=O)O,0,0.009940886
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.009929347
2578,O=S(=O)(O)CCCCO,0,0.012319067
2822,NCCCS(=O)(=O)O,0,0.014053257
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.024335891
3133,O=S(=O)(O)CCCO,0,0.011111141
3292,CCCS(=O)(=O)O,0,0.009967592
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.0082598915
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.006042634
4183,O=S(=O)(O)CCS,0,0.018025735
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.018383216
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.013875577
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.011732795
5923,C[S+](C)CCS(=O)(=O)O,0,0.015291024
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.011008779
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.011978394
6648,CC(=O)CCS(=O)(=O)O,0,0.01568712
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.016720548
17847,NCCCCCS(=O)(=O)O,0,0.014321237
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.011717136
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.018416187
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.015485667
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.013538765
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.017456833
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.009789328
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.01639049
