,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.0041572526
21,CC(C)CCS(=O)(=O)O,0,0.0025352126
90,O=S(=O)(O)CCO,0,0.0047947257
106,O=S(=O)(O)CO,0,0.0018406083
117,O=S(=O)(O)CCCCBr,0,0.0019725186
123,CCCCCCCCS(=O)(=O)O,0,0.0024839633
126,O=S(=O)(O)CCCCCO,0,0.0019277685
171,CCCCS(=O)(=O)O,0,0.0033150967
408,O=S(=O)(O)CS(=O)(=O)O,0,0.0043808264
480,CNCCS(=O)(=O)O,0,0.017365653
802,O=C(O)CS(=O)(=O)O,0,0.009121525
929,O=C(O)CCS(=O)(=O)O,0,0.0048148427
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.0024839633
1120,NCCS(=O)(=O)O,0,0.0058462843
1351,NCS(=O)(=O)O,0,0.0054396517
1370,CN(C)CCS(=O)(=O)O,0,0.004760183
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.006603574
2578,O=S(=O)(O)CCCCO,0,0.0032451458
2822,NCCCS(=O)(=O)O,0,0.004541166
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.0031895814
3133,O=S(=O)(O)CCCO,0,0.0032095402
3292,CCCS(=O)(=O)O,0,0.0026054333
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.0054357527
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.0046630395
4183,O=S(=O)(O)CCS,0,0.004738424
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.01081092
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.0024684162
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.00815562
5923,C[S+](C)CCS(=O)(=O)O,0,0.0034591341
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.004049235
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.0045447526
6648,CC(=O)CCS(=O)(=O)O,0,0.0040502045
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.003788228
17847,NCCCCCS(=O)(=O)O,0,0.0031072118
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.0076431865
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.015121132
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.012148756
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.0028759923
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.028340887
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.008231674
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.004239026
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.003054609
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.039948687
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.36714596
16,NNP(=S)(NN)c1ccccc1,1,0.045344923
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.012275288
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.0094262
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.008158857
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.009943744
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.031005988
125,CCOC(C)CCCS(=O)(=O)O,0,0.002309738
1676,CC(O)CS(=O)(=O)O,0,0.008839798
23,CCCNP(=S)(NCCC)NCCC,0,0.0038580399
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.004532791
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.0130018005
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.0029260947
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.005308175
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.028449934
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.003930319
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.012249978
26906,C#CCOC(=O)C=[N+]=[N-],0,0.01167972
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.0064288243
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.007251483
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.0052225403
34,Nc1nc(O)c2nn[nH]c2n1,0,0.0035306416
13982,COc1nc(O)c2nn[nH]c2n1,0,0.010575053
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.004999727
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,0.0061743264
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.0029553291
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,0.010012488
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.017908478
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.0067795403
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.0048695426
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.003574026
36,Nc1nc(S)c2nc[nH]c2n1,0,0.016859815
37,Sc1ncnc2[nH]cnc12,0,0.03172821
1937,Nc1nnnc2[nH]cnc12,0,0.0040034065
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.0061423173
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.026825957
781,Sc1nnc(S)c2[nH]cnc12,0,0.01897374
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.0037681013
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.09230443
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.02781183
41,CCCCOB(OCCCC)OCCCC,0,0.002237143
42,CCCCCOB(OCCCCC)OCCCCC,0,0.0030205029
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.0032169812
51,NC1(C(=O)O)CCCC1,0,0.005105555
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.0072673857
4076,NC1(C(=O)O)CSSC1,0,0.0442229
53,CCOC(=S)SCCSC,0,0.0047967876
9721,CCOC(=S)SSC(=S)OCC,0,0.012579605
9722,CCOC(=S)SSSC(=S)OCC,0,0.011485556
58,CCCCCOC(=S)S,0,0.010824013
288,CCCCOC(=S)SSC(=S)OCCCC,0,0.009360638
1284,CCCCCCCCCCCCOC(=N)N(C)C,0,0.010172236
9724,CCCCCOC(=S)SSSC(=S)OCCCCC,0,0.010189106
13095,CCCCCCCCCOC(=S)NC,0,0.009950454
13096,CCCCCCCCCCCCOC(=S)NC,0,0.009950454
13103,CCCCCCCCCCCOC(=S)NC(C)C,0,0.0049431073
13106,C=CCNC(=S)OCCCCCCCCCC,0,0.014986256
64,CCC(C)(C(=O)O)C(=O)O,0,0.037627313
94,CCC(CC)(C(=O)O)C(=O)O,0,0.034825277
2200,CCC(CC)(CC(=O)O)CC(=O)O,0,0.018325116
65,CC(C)C(C(=O)O)C(=O)O,0,0.07963858
318,CC(CCC(C)C(=O)O)C(=O)O,0,0.04859766
66,CCOC(=O)C(=O)C1CCCCC1=O,0,0.016931675
10933,CN1C(=O)CC(CC(=O)C2CCCCC2=O)CC1=O,0,0.0109686935
33072,O=C1CC(CC(=O)C2CCCCC2=O)CC(=O)N1,0,0.009391459
34993,CCOC(=O)C1CN(C2CC2)CCC1=O,0,0.0051642633
40473,CCOC(=O)N1C2CCCC2C(=O)C2CCCC21,0,0.004017625
32084,COC(=O)C1=C(C)NC(CF)=C(C(=O)OC)C1c1cccc2c(=O)c3ccccc3oc12,0,0.009428698
105,CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC,0,0.020807022
204,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.021908205
1152,CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,0,0.0073455377
2738,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,0,0.019980244
9752,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,0,0.021908205
19729,CCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCC,0,0.008323237
19730,CCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCC,0,0.008323237
19731,CCCCCCCCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.008323237
21674,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,0,0.023157569
24295,CCCCCCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCCCCCC,0,0.008323237
24296,CCCCCCCC(=O)OCC(C[As](=O)(O)O)OC(=O)CCCCCCC,0,0.008323237
40027,CCCCCCCCCCCC(=O)OCC(O)CO,0,0.021908205
72,CC(C)OC(=S)SSC(=S)OC(C)C,0,0.012697643
878,CC(C)OC(=S)SSC(=S)NCCNC(=S)SSC(=S)OC(C)C,0,0.034378637
6828,CCCCCCCCCCCCSSC(=S)OC(C)C,0,0.005268214
9723,CC(C)OC(=S)SSSC(=S)OC(C)C,0,0.010967979
2987,CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O,0,0.013544885
17855,CCN(CC)C(=O)N1CCN(C=S)CC1,0,0.0050230823
92,C1CCNCC1.S=C(S)N1CCCCC1,0,0.014100806
212,C1COCCN1.S=C(S)N1CCOCC1,0,0.015606686
570,S=C(S)N1CCNCC1,0,0.012947441
9906,S=C(SSC(=S)N1CCCCC1)N1CCCCC1,0,0.023408365
25510,S=C(S)N1CCCCC1.[NaH],0,0.007705102
679,CCCCCCC(CC)(C(=O)O)C(=O)O,0,0.031415872
1047,CCC(C)C(CC)(C(=O)O)C(=O)O,0,0.059261873
3272,CCC(F)(C(N)=O)C(=O)O,0,0.01042537
9853,CCCC#CCC(CC#CCCC)(C(=O)O)C(=O)O,0,0.01607027
3371,CN(C(=O)c1ccccc1S)c1ccccc1,1,0.12174557
29686,CCOC(=O)C(CCCC(C(=O)OCC)C(=O)OCC)C(=O)OCC,0,0.01269567
101,C=C(C)CS(=O)(=O)O,0,0.0058614225
6556,CC(C)(C)C(=O)CS(=O)(=O)O,0,0.0028952593
6662,CNCS(=O)(=O)O,0,0.007241082
22718,Oc1cccc2c1NC1=C(CCCC1=Cc1ccccc1)C2,0,0.007905556
1923,CCCCCC1OC1CC=CCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCC=CCC1OC1CCCCC,0,0.020745667
11305,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.025859695
11837,CCCCCCCCCCCCCCCCCC(=O)OCC(COC1OC(COS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCCCCCCCCCCC.[NaH],0,0.035025284
12236,CCCCCCC(C)CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC(C)CCCCCC,0,0.0065536452
12237,CCCCCCCCC(C)CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCC(C)CCCCCCCC,0,0.0065536452
12238,CCCCCCCCCCC(C)CCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC(C)CCCCCCCCCC,0,0.0065536452
12239,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)COCCOCCOCCOCCOCCOC)COP(=O)([O-])OCC[N+](C)(C)C,0,0.0065536452
12241,CCCCCCCCCCCCCCCCCC(=O)OCC(CN(C)CCN(C)C)OC(=O)CCCCCCCCCCCCCCCCC,0,0.01031486
13322,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCN)OC(=O)CCCN.O=C(O)C(F)(F)F,0,0.0059576114
13618,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],0,0.007814118
17319,CCCCCCCCCCCC(=O)OC(COC(N)=O)COc1ccc(Cl)cc1,0,0.0040008384
21671,CCCCCCCC(=O)OC(CBr)COC(=O)C(C)(C)C,0,0.0061078095
21672,CCCCCCCC(=O)OCC(COC(=O)C(C)(C)C)OC(=O)Cc1ccccc1,0,0.008513859
21673,CCCCCCCC(=O)OC(COC(=O)Cc1ccccc1)COC(=O)C(C)(C)C,0,0.008513859
21985,CCCCCCCCCCCCCCCCCCSCC(COP(=O)(O)OP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC.[NaH],0,0.027274193
22265,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COC1OC(CS(=O)(=O)O)C(O)C(O)C1O)OC(=O)CCCCCCCC=CCC=CCCCCC.[NaH],0,0.031747025
26648,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,0,0.013172037
30683,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)CCC(=O)O)OC(=O)CCCCCCCCCCCCCCCCC,0,0.0073938286
39296,CCCCCCCCCCCCCCCC(=O)OC(COC(C)=O)CO[PH](=O)O,0,0.01144306
110,Cc1cc(SCC(=O)c2ccccc2[N+](=O)[O-])cc(C)[o+]1,0,0.019719234
112,CCSC(SCC)C(O)C(O)C(O)C(O)C(O)C(O)CO,0,0.006347779
113,O=C(O)C(O)C(O)C(O)C(O)C(O)C(O)CO,0,0.022552835
2315,CCSC(CC(O)C(O)C(O)CO)SCC,0,0.012549677
1840,O=C(NNc1ccccc1)C(O)C(O)C(O)C(O)C(O)CO,0,0.007128516
2159,O=C(O)C(O)C(O)C(=O)O,0,0.12537274
124,CCOCCCCS(=O)(=O)O,0,0.0023540447
4399,O=C(CBr)OCCCS(=O)(=O)O,0,0.0013240763
119,O=S(=O)(O)CC(S(=O)(=O)O)S(=O)(=O)O,0,0.008904336
457,CCC(N)CS(=O)(=O)O,0,0.008538193
1596,CC(CO)CS(=O)(=O)O,0,0.003978782
1703,O=S(=O)(O)CC(O)CCl,0,0.0067946925
4575,O=S(=O)(O)CC(O)CSSCC(O)CS(=O)(=O)O,0,0.020237716
6553,O=C(O)C(CS(=O)(=O)O)S(=O)(=O)O,0,0.007760426
9741,CSC(C)CS(=O)(=O)O,0,0.004815885
121,CCOC(=O)C(CCCCS(=O)(=O)O)C(=O)OCC,0,0.0017266858
5028,CCCCCCCCCCCCS(=O)(=O)O.CCC[N+](C)(C)C,0,0.0033181373
5981,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)O,0,0.008162465
6754,CCCCCCCCCCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)O,0,0.005923663
283,CCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0,0.015080566
303,CCCCCCCCCCCCCCCCC(C(=O)O)S(=O)(=O)O,0,0.015080566
1744,CCCCCCCCCCCCCCCCC(O)CS(=O)(=O)O,0,0.007907714
2309,CCCCCCCCCCCCCCCC(O)S(=O)(=O)O,0,0.005289963
3553,CCCCCCCCCCCC(=O)N(C)CCS(=O)(=O)O,0,0.0030911479
4820,CCCCCCC(C)S(=O)(=O)O,0,0.0027374432
6931,CCCC[Sn](CCCC)(CCCC)CS(=O)(=O)O,0,0.0009176728
7691,CCCCCCCCCCCCCCCCNCCCS(=O)(=O)O,0,0.0067745815
8870,CCCC[Sn](CCCC)(SCCS(=O)(=O)O)SCCS(=O)(=O)O.N=C(N)N,0,0.0045971465
