,smiles,value,preds
4,O=S(=O)(O)CCS(=O)(=O)O,0,0.001583771
21,CC(C)CCS(=O)(=O)O,0,0.00030121856
90,O=S(=O)(O)CCO,0,0.0013716624
106,O=S(=O)(O)CO,0,0.002740526
117,O=S(=O)(O)CCCCBr,0,0.0016604355
123,CCCCCCCCS(=O)(=O)O,0,0.0002193841
126,O=S(=O)(O)CCCCCO,0,0.00072222704
171,CCCCS(=O)(=O)O,0,0.00025147435
408,O=S(=O)(O)CS(=O)(=O)O,0,0.0029557308
480,CNCCS(=O)(=O)O,0,0.00073372386
802,O=C(O)CS(=O)(=O)O,0,0.0013707026
929,O=C(O)CCS(=O)(=O)O,0,0.001044691
1061,CCCCCCCCCCCCS(=O)(=O)O,0,0.00018784292
1120,NCCS(=O)(=O)O,0,0.0019966832
1351,NCS(=O)(=O)O,0,0.001076616
1370,CN(C)CCS(=O)(=O)O,0,0.00083387486
1960,C[N+](C)(C)CCS(=O)(=O)O,0,0.00037090442
2578,O=S(=O)(O)CCCCO,0,0.0012835902
2822,NCCCS(=O)(=O)O,0,0.00038676593
3101,C[Si](C)(C)CCCS(=O)(=O)O,0,0.00029855446
3133,O=S(=O)(O)CCCO,0,0.0009473717
3292,CCCS(=O)(=O)O,0,0.00084494107
3829,C[N+](C)(C)CCCS(=O)(=O)O,0,0.00017849599
4017,CS(=O)(=O)OCCCS(=O)(=O)O,0,0.00023804755
4183,O=S(=O)(O)CCS,0,0.0013729171
4529,CS(=O)(=O)SCCCS(=O)(=O)O,0,0.0032528455
5653,O=S(=O)(O)CCN(CCO)CCO,0,0.0014746273
5922,C[SH](C)(=O)CCCS(=O)(=O)O,0,0.00044571204
5923,C[S+](C)CCS(=O)(=O)O,0,0.0012423694
6092,O=S(=O)(O)CCC(O)S(=O)(=O)O,0,0.00026330183
6595,O=S(=O)(O)CCCCS(=O)(=O)O,0,0.00030120133
6648,CC(=O)CCS(=O)(=O)O,0,0.00041367303
8871,C[Sn](C)(SCCS(=O)(=O)O)SCCS(=O)(=O)O,0,0.00031043435
17847,NCCCCCS(=O)(=O)O,0,0.0002899601
10,CC(C)(CCC(=O)O)CCC(=O)O,0,0.00012517914
397,CC(=O)C(C)(CCC(=O)O)CCC(=O)O,0,0.00012754592
489,CC(=O)C(CCC(=O)O)(CCC(=O)O)C(C)C,0,0.0004244041
675,CC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.00012436723
2560,C=C(C)C(CCC(=O)O)(CCC(=O)O)C(C)=O,0,0.00030553705
4221,CC(C#N)(CCC(=O)O)N=NC(C)(C#N)CCC(=O)O,0,0.00033136108
33844,NC(CCC(=O)O)(CCC(=O)O)CCC(=O)O,0,0.0005187636
33875,CCCC(CCC(=O)O)(CCC(=O)O)[N+](=O)[O-],0,0.00022764358
7469,O=C(O)c1ccccc1SSC(=S)N1CCOCC1,0,0.0013853697
7801,O=C(O)c1cc(Br)cc(SSc2cc(Br)cc(C(=O)O)c2O)c1O,1,0.9141528
16,NNP(=S)(NN)c1ccccc1,1,0.88837546
1989,C=CP(=S)(c1ccccc1)c1ccccc1,0,0.0016743555
14792,C=C(C(=C)P(=S)(c1ccccc1)c1ccccc1)P(=S)(c1ccccc1)c1ccccc1,0,0.00017242502
19,CC(C)N(C(C)C)P(=O)(OP(=O)(c1ccc([N+](=O)[O-])cc1)N(C(C)C)C(C)C)c1ccc([N+](=O)[O-])cc1,0,0.003518105
5985,Clc1ccc2c(c1)Sc1ccc(Cl)cc1S2,0,0.0012108064
13884,BrC12c3ccccc3Sc3ccccc3C1(Br)c1ccccc12,0,0.00018028411
125,CCOC(C)CCCS(=O)(=O)O,0,0.0002512917
1676,CC(O)CS(=O)(=O)O,0,0.0007501885
23,CCCNP(=S)(NCCC)NCCC,0,0.0005722951
24,CCCCCCCCCCCCNP(=S)(NCCCCCCCCCCCC)NCCCCCCCCCCCC,0,0.0006242626
26,S=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.00026399057
3720,CCOP(=O)(NC1CCCCC1)OCC,0,0.00062757643
4478,O=P(NC1CCCCC1)(NC1CCCCC1)NC1CCCCC1,0,0.00035571776
3416,O=C1C(OC(=O)c2ccccc2)=C(c2ccc(O)cc2)C(=O)C(OC(=O)c2ccccc2)=C1c1ccc(O)cc1,0,0.00042338885
20908,CC(C)(C)C#COC(=O)c1ccccc1,0,0.002376571
33,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0,0.000113879425
26906,C#CCOC(=O)C=[N+]=[N-],0,0.004404236
33527,[N-]=[N+]=CC(=O)OCCCN=[N+]=[N-],0,0.0013544247
33528,[N-]=[N+]=CC(=O)OCCCCl,0,0.001430985
33530,[N-]=[N+]=CC(=O)OC(CCl)CCl,0,0.00029219934
34,Nc1nc(O)c2nn[nH]c2n1,0,0.00092083245
13982,COc1nc(O)c2nn[nH]c2n1,0,0.0008241781
33996,Oc1nc(Br)nc2[nH]nnc12,0,0.0053366483
35,CS(=O)(=O)OCCCCOS(C)(=O)=O,0,2.16493e-05
1590,CS(=O)(=O)OCCC(=O)N1CCN(C(=O)CCOS(C)(=O)=O)CC1,0,0.000523348
3834,CS(=O)(=O)OCCCNCCCOS(C)(=O)=O,0,5.355482e-05
4439,CS(=O)(=O)OCCNCC(O)C(O)CNCCOS(C)(=O)=O,0,0.00041839445
6293,CS(=O)(=O)NOCCCCONS(C)(=O)=O,0,0.0003134978
8014,NS(=O)(=O)OCCCCCCCOS(N)(=O)=O,0,0.00015277008
22690,CS(=O)(=O)OCCCSCCSCCCOS(C)(=O)=O,0,0.0001406706
36,Nc1nc(S)c2nc[nH]c2n1,0,0.0015770386
37,Sc1ncnc2[nH]cnc12,0,0.0012304081
1937,Nc1nnnc2[nH]cnc12,0,6.578549e-05
2181,CS(=O)(=O)c1nc(N)nc2[nH]cnc12,0,0.0011118186
35936,Sc1nc(S)c2nc[nH]c2n1,0,0.011218248
781,Sc1nnc(S)c2[nH]cnc12,0,0.019318834
2521,CC(C)NS(=O)(=O)c1ncnc2[nH]cnc12,0,0.0017166489
2854,c1nc(SSc2ncnc3[nH]cnc23)c2nc[nH]c2n1,0,0.009130869
6693,Sc1ncnc2c1ccc1[nH]cnc12,0,0.0068226107
41,CCCCOB(OCCCC)OCCCC,0,9.224512e-05
42,CCCCCOB(OCCCCC)OCCCCC,0,0.00022603941
300,CCCCCCOP(OCCCCCC)OCCCCCC,0,0.0005341491
51,NC1(C(=O)O)CCCC1,0,0.00051552657
2582,NC1(C(=O)N2CCCC2C(=O)O)CCCC1,0,0.00017831924
4076,NC1(C(=O)O)CSSC1,0,0.014230959
