feature_idx,feature_name,tree_importance,minimum_depth,used_in_tree,normalized_tree_importance,rank_tree_importance,permutation_importance_mean,permutation_importance_std,permutation_scoring,permutation_eval_set,permutation_n_repeats,permutation_importance_rank
42,maccs_bit_42,0.01367215000916847,5.0,True,0.013672150009168474,16,0.0024929272043612283,0.0013227721240179375,average_precision,test,10,1
151,maccs_bit_151,0.0721854709350061,5.0,True,0.07218547093500612,7,0.0006129470125986969,0.00033679951533809347,average_precision,test,10,2
150,maccs_bit_150,0.08329657504466592,6.0,True,0.08329657504466594,5,0.000283637071245757,0.0009666340122163887,average_precision,test,10,3
82,maccs_bit_82,0.009721892014279306,8.0,True,0.009721892014279308,17,0.00021091871434500976,0.00010412303924472156,average_precision,test,10,4
117,maccs_bit_117,0.004450657624718728,4.0,True,0.004450657624718729,21,0.0001050047008366417,9.321943054723374e-06,average_precision,test,10,5
104,maccs_bit_104,0.019877093191941194,8.0,True,0.019877093191941198,13,9.100555495104024e-05,8.937441358411344e-05,average_precision,test,10,6
115,maccs_bit_115,0.03346470375590117,11.0,True,0.03346470375590118,9,3.924001702153568e-05,3.3280011041935276e-05,average_precision,test,10,7
41,maccs_bit_41,0.002863611997212247,10.0,True,0.0028636119972122475,22,3.900046452927075e-05,2.6339288629976266e-05,average_precision,test,10,8
128,maccs_bit_128,0.0021057672060310595,13.0,True,0.00210576720603106,24,2.0803383292389287e-05,1.0306696153197906e-05,average_precision,test,10,9
22,maccs_bit_22,0.0008809624467423053,10.0,True,0.0008809624467423055,28,8.898684504610178e-06,9.800299713408095e-06,average_precision,test,10,10
92,maccs_bit_92,0.008027070901716896,12.0,True,0.008027070901716898,18,4.270521931648563e-06,2.611628091247055e-05,average_precision,test,10,11
0,maccs_bit_0,0.0,,False,0.0,30,0.0,0.0,average_precision,test,10,12
1,maccs_bit_1,0.0,,False,0.0,31,0.0,0.0,average_precision,test,10,13
2,maccs_bit_2,0.0,,False,0.0,32,0.0,0.0,average_precision,test,10,14
3,maccs_bit_3,0.0,,False,0.0,33,0.0,0.0,average_precision,test,10,15
4,maccs_bit_4,0.0,,False,0.0,34,0.0,0.0,average_precision,test,10,16
5,maccs_bit_5,0.0,,False,0.0,35,0.0,0.0,average_precision,test,10,17
6,maccs_bit_6,0.0,,False,0.0,36,0.0,0.0,average_precision,test,10,18
7,maccs_bit_7,0.0,,False,0.0,37,0.0,0.0,average_precision,test,10,19
8,maccs_bit_8,0.0,,False,0.0,38,0.0,0.0,average_precision,test,10,20
9,maccs_bit_9,0.0,,False,0.0,39,0.0,0.0,average_precision,test,10,21
10,maccs_bit_10,0.0,,False,0.0,40,0.0,0.0,average_precision,test,10,22
11,maccs_bit_11,0.0,,False,0.0,41,0.0,0.0,average_precision,test,10,23
12,maccs_bit_12,0.0,,False,0.0,42,0.0,0.0,average_precision,test,10,24
13,maccs_bit_13,0.0,,False,0.0,43,0.0,0.0,average_precision,test,10,25
14,maccs_bit_14,0.0,,False,0.0,44,0.0,0.0,average_precision,test,10,26
15,maccs_bit_15,0.0,,False,0.0,45,0.0,0.0,average_precision,test,10,27
16,maccs_bit_16,0.0,,False,0.0,46,0.0,0.0,average_precision,test,10,28
18,maccs_bit_18,0.0,,False,0.0,47,0.0,0.0,average_precision,test,10,29
19,maccs_bit_19,0.0,,False,0.0,48,0.0,0.0,average_precision,test,10,30
20,maccs_bit_20,0.0,,False,0.0,49,0.0,0.0,average_precision,test,10,31
21,maccs_bit_21,0.0,,False,0.0,50,0.0,0.0,average_precision,test,10,32
23,maccs_bit_23,0.0,,False,0.0,51,0.0,0.0,average_precision,test,10,33
24,maccs_bit_24,0.0,,False,0.0,52,0.0,0.0,average_precision,test,10,34
25,maccs_bit_25,0.0,,False,0.0,53,0.0,0.0,average_precision,test,10,35
26,maccs_bit_26,0.0,,False,0.0,54,0.0,0.0,average_precision,test,10,36
27,maccs_bit_27,0.0,,False,0.0,55,0.0,0.0,average_precision,test,10,37
28,maccs_bit_28,0.0,,False,0.0,56,0.0,0.0,average_precision,test,10,38
29,maccs_bit_29,0.0,,False,0.0,57,0.0,0.0,average_precision,test,10,39
30,maccs_bit_30,0.0,,False,0.0,58,0.0,0.0,average_precision,test,10,40
31,maccs_bit_31,0.0,,False,0.0,59,0.0,0.0,average_precision,test,10,41
32,maccs_bit_32,0.0,,False,0.0,60,0.0,0.0,average_precision,test,10,42
34,maccs_bit_34,0.0,,False,0.0,61,0.0,0.0,average_precision,test,10,43
35,maccs_bit_35,0.0,,False,0.0,62,0.0,0.0,average_precision,test,10,44
36,maccs_bit_36,0.0,,False,0.0,63,0.0,0.0,average_precision,test,10,45
37,maccs_bit_37,0.0,,False,0.0,64,0.0,0.0,average_precision,test,10,46
38,maccs_bit_38,0.0,,False,0.0,65,0.0,0.0,average_precision,test,10,47
39,maccs_bit_39,0.0,,False,0.0,66,0.0,0.0,average_precision,test,10,48
40,maccs_bit_40,0.0,,False,0.0,67,0.0,0.0,average_precision,test,10,49
43,maccs_bit_43,0.0,,False,0.0,68,0.0,0.0,average_precision,test,10,50
44,maccs_bit_44,0.0,,False,0.0,69,0.0,0.0,average_precision,test,10,51
45,maccs_bit_45,0.0,,False,0.0,70,0.0,0.0,average_precision,test,10,52
46,maccs_bit_46,0.0,,False,0.0,71,0.0,0.0,average_precision,test,10,53
47,maccs_bit_47,0.0,,False,0.0,72,0.0,0.0,average_precision,test,10,54
48,maccs_bit_48,0.0,,False,0.0,73,0.0,0.0,average_precision,test,10,55
49,maccs_bit_49,0.0,,False,0.0,74,0.0,0.0,average_precision,test,10,56
50,maccs_bit_50,0.0,,False,0.0,75,0.0,0.0,average_precision,test,10,57
52,maccs_bit_52,0.0,,False,0.0,76,0.0,0.0,average_precision,test,10,58
53,maccs_bit_53,0.0,,False,0.0,77,0.0,0.0,average_precision,test,10,59
54,maccs_bit_54,0.0,,False,0.0,78,0.0,0.0,average_precision,test,10,60
55,maccs_bit_55,0.0,,False,0.0,79,0.0,0.0,average_precision,test,10,61
56,maccs_bit_56,0.0,,False,0.0,80,0.0,0.0,average_precision,test,10,62
58,maccs_bit_58,0.0,,False,0.0,81,0.0,0.0,average_precision,test,10,63
59,maccs_bit_59,0.0,,False,0.0,82,0.0,0.0,average_precision,test,10,64
60,maccs_bit_60,0.0,,False,0.0,83,0.0,0.0,average_precision,test,10,65
61,maccs_bit_61,0.0,,False,0.0,84,0.0,0.0,average_precision,test,10,66
62,maccs_bit_62,0.0,,False,0.0,85,0.0,0.0,average_precision,test,10,67
63,maccs_bit_63,0.0,,False,0.0,86,0.0,0.0,average_precision,test,10,68
64,maccs_bit_64,0.0,,False,0.0,87,0.0,0.0,average_precision,test,10,69
65,maccs_bit_65,0.0,,False,0.0,88,0.0,0.0,average_precision,test,10,70
